Format Version,1.23,Take Name,silk_table_exp_7,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 02.51.05.603 下午,Capture Start Frame,73360,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,0.00016,0.000845,-0.000092,1,-31.024775,28.729702,41.864155,-59.449333,28.870102,80.7099,-2.1503,28.983477,80.36898,-2.60407,28.625843,3.160325,-59.895302,28.439383,3.217506,-59.485329,28.860157,80.729851,-2.129617,28.990856,80.357635,-2.585381,28.617966,3.163792,-59.906982,28.446787,3.210754,-65.666939,89.172699,76.923584,-61.222393,89.045235,11.637938,-65.890266,132.077866,78.288445,-61.731392,71.856438,56.669842,-63.626011,45.796242,10.383732,-61.702656,130.05542,10.243452,-62.151073,107.988121,36.45332,-63.111641,127.226402,44.012802,-65.164658,47.506912,75.324524,-61.26461,43.245308,43.466236
5,0.041,0.000152,0.000841,-0.000122,1,-31.020546,28.73019,41.866676,-59.445454,28.872919,80.712166,-2.146405,28.982777,80.371765,-2.599496,28.624006,3.163111,-59.890736,28.441059,3.219769,-59.48592,28.863611,80.729362,-2.122003,28.988949,80.367096,-2.584906,28.617966,3.164651,-59.906155,28.448463,3.209678,-65.690987,89.18087,76.962372,-61.224724,89.056061,11.643428,-65.889999,132.082138,78.290123,-61.69529,71.87661,56.68705,-63.630135,45.808411,10.406489,-61.718388,130.066864,10.246647,-62.166439,108.000778,36.452999,-63.125889,127.237633,44.012836,-65.214828,47.509041,75.334755,-61.236687,43.264759,43.482746
6,0.05,0.000125,0.0008,-0.000048,1,-31.027964,28.73325,41.865486,-59.456062,28.873829,80.708656,-2.157,28.992207,80.372925,-2.60374,28.629225,3.164232,-59.894962,28.437742,3.216228,-59.485989,28.861797,80.729744,-2.142095,29.000927,80.363174,-2.584884,28.619844,3.164845,-59.906284,28.446854,3.209851,-65.735611,89.179207,77.010117,-61.223812,89.069351,11.641316,-65.890915,132.084656,78.288895,-61.668724,71.887672,56.698971,-63.636631,45.820168,10.430815,-61.726536,130.081375,10.245438,-62.185997,108.016548,36.446377,-63.136173,127.246117,44.011848,-65.26976,47.507042,75.344566,-61.21648,43.275955,43.500477
7,0.058,0.000141,0.000814,-0.000077,1,-31.022402,28.730974,41.868774,-59.449345,28.871939,80.712769,-2.150297,28.987038,80.375374,-2.599323,28.626558,3.166699,-59.890545,28.438362,3.220367,-59.485714,28.860903,80.728714,-2.129286,28.994057,80.374672,-2.585518,28.619593,3.164641,-59.906399,28.447523,3.21059,-65.769936,89.166786,77.061737,-61.225765,89.076714,11.642202,-65.891182,132.084412,78.286285,-61.642254,71.894867,56.707966,-63.64299,45.83493,10.44817,-61.737461,130.094177,10.240475,-62.202747,108.027397,36.43911,-63.148933,127.254997,44.007965,-65.31971,47.504185,75.35025,-61.208881,43.280857,43.515957
8,0.066,0.000144,0.000842,-0.0001,1,-31.019243,28.730341,41.868103,-59.44408,28.87241,80.713638,-2.14504,28.984859,80.373131,-2.598265,28.624825,3.164485,-59.889496,28.439274,3.221256,-59.485012,28.861601,80.728897,-2.119671,28.991735,80.371101,-2.585696,28.618145,3.165679,-59.905369,28.447947,3.209897,-65.801758,89.16774,77.103638,-61.227287,89.087639,11.640147,-65.888306,132.082382,78.284523,-61.598076,71.904732,56.722397,-63.649349,45.861645,10.472558,-61.74572,130.10965,10.230107,-62.22226,108.033768,36.427055,-63.153202,127.260185,44.003551,-65.392357,47.496574,75.357216,-61.208439,43.289394,43.525459
9,0.075,0.000138,0.000814,-0.00009,1,-31.022007,28.731314,41.870094,-59.449013,28.873312,80.714043,-2.149957,28.986887,80.376732,-2.598864,28.625864,3.168064,-59.890091,28.439192,3.22164,-59.485458,28.861755,80.730873,-2.128375,28.994167,80.37738,-2.585589,28.61867,3.165607,-59.906334,28.448751,3.209961,-65.833725,89.169395,77.139572,-61.234516,89.097054,11.638304,-65.88118,132.079056,78.27919,-61.566116,71.903275,56.73045,-63.660561,45.88847,10.478403,-61.776573,130.127609,10.2137,-62.24757,108.037163,36.415852,-63.15596,127.266357,43.99831,-65.45446,47.483505,75.359512,-61.206024,43.300461,43.534298
10,0.083,0.000143,0.000808,-0.00009,1,-31.028101,28.732183,41.865807,-59.455578,28.87376,80.709419,-2.156508,28.987309,80.372803,-2.604491,28.627157,3.164104,-59.895729,28.440512,3.216991,-59.486221,28.862785,80.730118,-2.140275,28.995335,80.363228,-2.586745,28.618612,3.16545,-59.906864,28.448885,3.209817,-65.863655,89.166733,77.165131,-61.237507,89.102386,11.635731,-65.868469,132.070023,78.278961,-61.5471,71.900246,56.733101,-63.673759,45.895584,10.479002,-61.788261,130.150421,10.204491,-62.280567,108.042587,36.402756,-63.157402,127.271591,43.993362,-65.501297,47.470409,75.36805,-61.214275,43.300957,43.537937
11,0.091,0.000157,0.00084,-0.000108,1,-31.021864,28.729313,41.867451,-59.446835,28.870869,80.712883,-2.147794,28.982374,80.372597,-2.600744,28.624302,3.163931,-59.891975,28.439709,3.220487,-59.485531,28.860601,80.729645,-2.123471,28.989309,80.368034,-2.586759,28.617535,3.166152,-59.907372,28.447979,3.20954,-65.89904,89.161613,77.18589,-61.24448,89.109192,11.632888,-65.856453,132.060913,78.276443,-61.512749,71.894112,56.724686,-63.688366,45.908035,10.476897,-61.805607,130.178345,10.197847,-62.307823,108.043861,36.391239,-63.156998,127.273666,43.988766,-65.541779,47.46241,75.365509,-61.217625,43.306377,43.537273
12,0.1,0.000139,0.0008,-0.000092,1,-31.030087,28.731972,41.868515,-59.458149,28.874012,80.7117,-2.159077,28.987333,80.375946,-2.605891,28.62648,3.167245,-59.897129,28.440062,3.219265,-59.48716,28.862778,80.730339,-2.140621,28.995872,80.36377,-2.592046,28.617256,3.175213,-59.906464,28.448608,3.209903,-65.973564,89.148453,77.206406,-61.262196,89.125366,11.618268,-65.841492,132.049103,78.276146,-61.480129,71.882111,56.718552,-63.70443,45.927311,10.469966,-61.815971,130.210907,10.191927,-62.334545,108.042442,36.382706,-63.153194,127.274574,43.985638,-65.587425,47.450264,75.355476,-61.229069,43.304882,43.532379
13,0.108,0.000142,0.000811,-0.000101,1,-31.028515,28.731304,41.865559,-59.455734,28.873623,80.709351,-2.156678,28.985929,80.372368,-2.605161,28.625536,3.163692,-59.896385,28.44013,3.21694,-59.485512,28.863171,80.730164,-2.141657,28.993475,80.362091,-2.587886,28.617191,3.165372,-59.905876,28.44787,3.210505,-66.015121,89.129906,77.222923,-61.277878,89.143448,11.618279,-65.82486,132.034485,78.272682,-61.426086,71.89035,56.691753,-63.720959,45.943649,10.460321,-61.82497,130.239517,10.185202,-62.357021,108.045563,36.369473,-63.145298,127.269638,43.978085,-65.655052,47.428696,75.330887,-61.235039,43.306709,43.524223
