Format Version,1.23,Take Name,cotton_hang_exp_8,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.41.32.515 下午,Capture Start Frame,564635,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,-0.000173,0.000225,0.00142,0.999999,-52.238827,69.448631,33.019569,-51.768417,71.753601,68.765472,-51.770889,67.217133,68.923843,-52.690552,67.053261,-2.896613,-52.725452,71.770538,-2.714428,-51.7714,71.757668,68.758713,-51.767456,67.211823,68.937096,-52.693314,67.050781,-2.89847,-52.722805,71.773567,-2.717462,-80.084648,80.661537,78.309448,-79.880569,73.536339,70.4842,-78.958008,96.748093,63.475937,-79.520134,96.250519,79.437309,-79.039223,81.046532,46.379269,-78.669044,86.762413,56.248665,-78.272995,97.769516,46.638405,-79.771797,62.745975,61.082615,-81.909683,64.579094,46.025772,-80.869087,63.279133,77.550072
5,0.041,-0.000164,0.000227,0.001084,0.999999,-52.239716,69.449066,33.019344,-51.767647,71.753067,68.765282,-51.773174,67.216591,68.923569,-52.693165,67.054657,-2.896872,-52.724884,71.771957,-2.714607,-51.769714,71.757545,68.760628,-51.770718,67.210869,68.935738,-52.694981,67.051224,-2.899502,-52.723167,71.775864,-2.718002,-80.085106,80.66156,78.304504,-79.88443,73.540024,70.477081,-78.94651,96.74617,63.481194,-79.517746,96.248367,79.435516,-79.030075,81.05098,46.378021,-78.673019,86.764847,56.246693,-78.269661,97.773064,46.636974,-79.779915,62.743603,61.0732,-81.90419,64.580849,46.018482,-80.885979,63.280914,77.545753
6,0.05,-0.000165,0.00023,0.001001,1,-52.24033,69.4487,33.019913,-51.767658,71.752701,68.765846,-51.773937,67.216232,68.924149,-52.694393,67.054283,-2.896294,-52.725334,71.771584,-2.714038,-51.769138,71.757683,68.760231,-51.772137,67.209824,68.937531,-52.695473,67.052483,-2.899443,-52.724342,71.77388,-2.716746,-80.085739,80.665421,78.299301,-79.88765,73.543861,70.469193,-78.941605,96.74617,63.478821,-79.51413,96.247658,79.431442,-79.017059,81.055359,46.373062,-78.675278,86.765152,56.243931,-78.263367,97.776855,46.635147,-79.783638,62.745636,61.070206,-81.898323,64.5839,46.008408,-80.907402,63.282936,77.539589
7,0.058,-0.000163,0.000206,0.001205,0.999999,-52.240883,69.447777,33.019672,-51.770844,71.751854,68.765625,-51.775276,67.215385,68.923912,-52.692276,67.053291,-2.896565,-52.725147,71.770569,-2.714294,-51.771927,71.757362,68.758736,-51.773994,67.208504,68.936356,-52.69294,67.052299,-2.898006,-52.724533,71.772148,-2.716838,-80.087448,80.667915,78.29512,-79.888657,73.546432,70.464355,-78.935257,96.749969,63.475914,-79.510101,96.249359,79.430977,-79.010025,81.057877,46.370346,-78.679749,86.765213,56.238346,-78.251801,97.775383,46.621845,-79.788902,62.748573,61.066257,-81.890015,64.58606,46.004482,-80.922791,63.286263,77.533638
8,0.066,-0.000164,0.000229,0.00142,0.999999,-52.238495,69.448624,33.020077,-51.767838,71.75293,68.766006,-51.770317,67.216454,68.924294,-52.690472,67.053925,-2.896136,-52.725357,71.771202,-2.713865,-51.770149,71.756432,68.759796,-51.767712,67.211899,68.934715,-52.692406,67.051994,-2.895834,-52.723484,71.773697,-2.717274,-80.090927,80.666428,78.290634,-79.885475,73.549423,70.459602,-78.928017,96.74971,63.472015,-79.502335,96.250839,79.428436,-79.001381,81.062714,46.368061,-78.673401,86.769844,56.235641,-78.245949,97.771301,46.616768,-79.792915,62.750954,61.059803,-81.878441,64.589409,45.99778,-80.939194,63.288944,77.531097
9,0.075,-0.000165,0.000221,0.001382,0.999999,-52.239777,69.447517,33.020073,-51.769482,71.751854,68.766006,-51.772308,67.215385,68.924316,-52.691387,67.05278,-2.896145,-52.725922,71.770058,-2.713892,-51.771896,71.756172,68.758354,-51.769562,67.209831,68.938026,-52.693527,67.050018,-2.897636,-52.723854,71.77346,-2.716928,-80.09655,80.664482,78.286201,-79.87751,73.552567,70.458595,-78.920708,96.751282,63.47176,-79.495674,96.252914,79.428352,-78.99231,81.064453,46.365154,-78.674667,86.771378,56.233807,-78.239861,97.771896,46.614368,-79.794769,62.7519,61.055099,-81.862503,64.588333,45.993889,-80.95787,63.293404,77.525452
10,0.083,-0.000162,0.000222,0.001344,0.999999,-52.238865,69.447723,33.019661,-51.768326,71.751877,68.76561,-51.7715,67.215408,68.923889,-52.690731,67.053177,-2.896565,-52.724903,71.770454,-2.714282,-51.770679,71.756973,68.756783,-51.768887,67.209091,68.938103,-52.69252,67.051041,-2.898241,-52.723164,71.77327,-2.716637,-80.10025,80.664558,78.285393,-79.879448,73.549919,70.457275,-78.914139,96.750328,63.467621,-79.488281,96.254738,79.424278,-78.984451,81.062393,46.363701,-78.670357,86.77298,56.234306,-78.234962,97.774467,46.611481,-79.79425,62.75444,61.053295,-81.84761,64.577194,45.984753,-80.976234,63.299351,77.52504
11,0.091,-0.000162,0.00022,0.001398,0.999999,-52.238567,69.448227,33.019218,-51.76844,71.752426,68.765175,-51.771118,67.215958,68.923447,-52.69001,67.053627,-2.897015,-52.724701,71.770897,-2.714735,-51.770985,71.756027,68.757584,-51.768471,67.211662,68.93425,-52.692181,67.050545,-2.898583,-52.722557,71.774513,-2.715903,-80.105904,80.669861,78.284393,-79.875,73.550995,70.457413,-78.910675,96.751068,63.463348,-79.478142,96.255058,79.421341,-78.975136,81.062164,46.363266,-78.673782,86.770554,56.231384,-78.231438,97.773178,46.609543,-79.801346,62.752945,61.051266,-81.831276,64.572235,45.980667,-80.995186,63.30154,77.525307
12,0.1,-0.000159,0.000242,0.001683,0.999999,-52.236504,69.448532,33.020782,-51.766079,71.752747,68.766731,-51.766163,67.21627,68.924973,-52.688206,67.05394,-2.895445,-52.725571,71.771187,-2.713126,-51.768303,71.755371,68.759216,-51.763683,67.212685,68.939003,-52.689999,67.052261,-2.897491,-52.72382,71.773529,-2.716289,-80.110695,80.67205,78.288803,-79.88356,73.544044,70.462967,-78.904892,96.746338,63.460236,-79.46962,96.257133,79.415215,-78.967407,81.059631,46.362507,-78.674187,86.769417,56.231911,-78.215218,97.770859,46.608677,-79.802238,62.751625,61.051445,-81.814568,64.565552,45.981068,-81.014305,63.304943,77.525635
13,0.108,-0.000165,0.000219,0.00128,0.999999,-52.238338,69.447502,33.019497,-51.767731,71.751747,68.765434,-51.771481,67.215279,68.923737,-52.690292,67.052864,-2.89672,-52.723862,71.770142,-2.714461,-51.768978,71.756241,68.760147,-51.770012,67.209641,68.934647,-52.691643,67.050728,-2.898504,-52.722591,71.77272,-2.717034,-80.117867,80.671799,78.289185,-79.885788,73.542221,70.461853,-78.903046,96.744987,63.455338,-79.464745,96.259483,79.414719,-78.957977,81.055161,46.362022,-78.678528,86.765671,56.229382,-78.211845,97.76432,46.60297,-79.808319,62.746132,61.055744,-81.798332,64.559853,45.981678,-81.033745,63.306797,77.525818
14,0.116,-0.000159,0.000221,0.001282,0.999999,-52.238853,69.446777,33.020432,-51.768131,71.750656,68.766388,-51.771854,67.21418,68.924644,-52.690918,67.052505,-2.895811,-52.72451,71.769783,-2.713504,-51.769382,71.756775,68.760323,-51.770275,67.206154,68.938141,-52.691734,67.050049,-2.89736,-52.723778,71.772774,-2.717197,-80.121376,80.67244,78.288864,-79.878639,73.545143,70.463791,-78.89994,96.736481,63.457741,-79.455406,96.262047,79.411537,-78.949867,81.053162,46.360142,-78.686172,86.760872,56.229965,-78.211227,97.758209,46.599319,-79.808151,62.742764,61.060047,-81.769623,64.56369,45.98177,-81.079918,63.299049,77.526436
15,0.125,-0.00016,0.000229,0.001679,0.999999,-52.238888,69.448448,33.019993,-51.769386,71.752731,68.765953,-51.76952,67.216263,68.92421,-52.689659,67.05378,-2.89624,-52.72699,71.771027,-2.713931,-51.77232,71.756325,68.758018,-51.766277,67.211601,68.93808,-52.691929,67.051758,-2.897926,-52.724766,71.77372,-2.716863,-80.12735,80.670837,78.287544,-79.883156,73.544167,70.461029,-78.89621,96.729141,63.453205,-79.446754,96.264168,79.403252,-78.941925,81.049576,46.356945,-78.686592,86.762062,56.2257,-78.207054,97.755157,46.593258,-79.806175,62.738907,61.061115,-81.752518,64.561043,45.982342,-81.109131,63.30439,77.529968
16,0.133,-0.000158,0.000217,0.001302,0.999999,-52.240841,69.448677,33.019981,-51.770489,71.75248,68.765953,-51.774036,67.216003,68.924202,-52.692532,67.054489,-2.896273,-52.726318,71.771767,-2.713948,-51.772465,71.758308,68.757301,-51.771862,67.208931,68.937355,-52.694321,67.053741,-2.897586,-52.724571,71.77314,-2.715922,-80.132614,80.670639,78.2836,-79.890724,73.54261,70.462456,-78.891579,96.726883,63.448681,-79.44339,96.267525,79.399818,-78.934326,81.044594,46.359955,-78.691109,86.758713,56.223511,-78.205498,97.749657,46.587784,-79.800507,62.740047,61.065983,-81.73774,64.556519,45.985138,-81.131447,63.307106,77.531212
17,0.141,-0.000145,0.000217,0.001167,0.999999,-52.240818,69.448616,33.019718,-51.769848,71.751389,68.765739,-51.77462,67.214912,68.923874,-52.693153,67.055443,-2.896589,-52.725662,71.772728,-2.714148,-51.771534,71.757767,68.758003,-51.772671,67.207016,68.93679,-52.694286,67.054787,-2.897711,-52.724564,71.773987,-2.716595,-80.135757,80.674423,78.283592,-79.899696,73.541527,70.465126,-78.887093,96.726418,63.444744,-79.435463,96.270393,79.394653,-78.926636,81.042183,46.3619,-78.694824,86.754646,56.220222,-78.203735,97.747246,46.582901,-79.79644,62.739285,61.072849,-81.709152,64.551476,45.981899,-81.151024,63.309109,77.534744
