,5,5.1,0.041,0.00099,-0.002008,-0.016547,0.999861,-52.996254,68.120277,32.15493,-52.582474,70.350655,67.822433,-53.351963,70.276367,-3.487146,-52.848553,65.853951,67.886261,-53.202034,66.000137,-3.601816,-52.527237,70.365578,67.848427,-53.45332,70.237648,-3.551512,-52.916492,65.834175,67.982399,-53.088207,66.045876,-3.718787,-67.711334,90.436203,27.380875,-68.509727,82.457748,16.933998,-68.125694,82.524033,49.078106,-67.626358,99.06517,31.841314,-66.839012,99.912567,48.88237,-68.166107,99.844048,15.533763,-68.372528,76.394012,38.436108,-70.282005,66.478798,48.791866,-69.378319,64.735962,32.958069,-70.025726,66.318604,16.694361
0,6,6,0.05,0.000977,-0.002032,-0.017022,0.999853,-52.998131,68.120567,32.153496,-52.583851,70.351448,67.820969,-53.35017,70.2761,-3.488654,-52.854218,65.854996,67.884888,-53.204304,65.999725,-3.603214,-52.527214,70.367203,67.847641,-53.452713,70.236984,-3.550696,-52.92374,65.834366,67.980049,-53.088715,66.045868,-3.720704,-67.716805,90.430923,27.380123,-68.516029,82.451012,16.949217,-68.124367,82.532082,49.084274,-67.632957,99.069,31.835365,-66.842133,99.918449,48.877422,-68.171402,99.83815,15.532019,-68.388687,76.397469,38.443581,-70.341454,66.481522,48.807602,-69.428947,64.735527,32.969524,-70.041267,66.312836,16.708126
1,7,7,0.058,0.00099,-0.001996,-0.016657,0.999859,-52.996021,68.121109,32.155258,-52.580906,70.351334,67.822754,-53.352093,70.277336,-3.486806,-52.84798,65.854683,67.886581,-53.203114,66.001076,-3.601497,-52.527733,70.366554,67.849281,-53.452427,70.238525,-3.552836,-52.91407,65.834335,67.982872,-53.090675,66.046837,-3.719265,-67.731583,90.428696,27.381256,-68.520393,82.450081,16.96146,-68.121269,82.533791,49.091537,-67.636147,99.068962,31.832785,-66.844627,99.923935,48.875538,-68.178085,99.832825,15.529445,-68.410362,76.394508,38.448635,-70.386139,66.485855,48.814877,-69.463249,64.738861,32.984631,-70.050484,66.308128,16.723167
2,8,8,0.066,0.000988,-0.002,-0.015947,0.99987,-52.995331,68.119812,32.153915,-52.583672,70.350861,67.821404,-53.354179,70.275291,-3.488165,-52.844353,65.853844,67.885254,-53.199123,65.999252,-3.602824,-52.526825,70.367218,67.851654,-53.452621,70.237259,-3.551944,-52.913982,65.832603,67.981049,-53.088497,66.043892,-3.719357,-67.753777,90.423668,27.383507,-68.524292,82.445068,16.967495,-68.11261,82.533203,49.093838,-67.638542,99.066666,31.835117,-66.850288,99.926476,48.878727,-68.197098,99.820534,15.528562,-68.425522,76.393387,38.456711,-70.426346,66.489563,48.824001,-69.502701,64.737106,32.993641,-70.056625,66.305145,16.731377
3,9,9,0.075,0.001012,-0.00202,-0.016249,0.999865,-52.996246,68.119522,32.153225,-52.58466,70.348587,67.820839,-53.352375,70.276955,-3.48877,-52.848064,65.851723,67.88446,-53.199898,66.000816,-3.603628,-52.525677,70.363983,67.850372,-53.453117,70.239517,-3.552511,-52.919895,65.831718,67.981178,-53.086758,66.044838,-3.719919,-67.788902,90.413628,27.379625,-68.528839,82.436691,16.974525,-68.103645,82.533875,49.097652,-67.646065,99.062592,31.827667,-66.854462,99.926186,48.876839,-68.197807,99.81562,15.523851,-68.437309,76.393478,38.457073,-70.464828,66.49321,48.836029,-69.535919,64.739243,33.006416,-70.054359,66.290245,16.739946
4,10,10,0.083,0.000988,-0.002039,-0.016596,0.99986,-52.997387,68.118507,32.154716,-52.58556,70.348984,67.822235,-53.350712,70.27449,-3.487396,-52.852089,65.852303,67.886063,-53.201199,65.998253,-3.60204,-52.528316,70.363815,67.850464,-53.453213,70.237167,-3.55004,-52.921677,65.833084,67.979637,-53.085838,66.042183,-3.719179,-67.815224,90.41185,27.378168,-68.533051,82.427917,16.9823,-68.096313,82.536903,49.098976,-67.652855,99.055588,31.827085,-66.85836,99.926147,48.877113,-68.212875,99.802422,15.529431,-68.455086,76.388039,38.460091,-70.494759,66.498184,48.846977,-69.572609,64.735184,33.012634,-70.050301,66.281601,16.750055
5,11,11,0.091,0.000999,-0.002045,-0.01662,0.999859,-52.997326,68.119606,32.152946,-52.585869,70.349327,67.820518,-53.350067,70.276337,-3.489119,-52.852619,65.852654,67.884239,-53.200756,66.000092,-3.603858,-52.528744,70.363983,67.84845,-53.453056,70.239319,-3.552745,-52.922676,65.833435,67.979637,-53.085033,66.043709,-3.721432,-67.847107,90.405312,27.382587,-68.535492,82.42234,16.985174,-68.082901,82.532356,49.101665,-67.66021,99.050087,31.824987,-66.862335,99.928116,48.871796,-68.230331,99.780746,15.51853,-68.468857,76.383698,38.465492,-70.522621,66.503769,48.857109,-69.630089,64.718918,33.012634,-70.046272,66.268768,16.760483
6,12,12,0.1,0.00101,-0.001993,-0.015749,0.999874,-52.99387,68.119431,32.153706,-52.582657,70.349136,67.821281,-53.354,70.276276,-3.488278,-52.841568,65.852013,67.884941,-53.197258,66.000298,-3.603119,-52.529697,70.363945,67.846886,-53.451942,70.239014,-3.55349,-52.908905,65.831635,67.986649,-53.086548,66.0448,-3.722591,-67.888382,90.394661,27.381769,-68.541527,82.409058,16.988014,-68.059547,82.524986,49.103153,-67.672203,99.03688,31.818026,-66.868317,99.924545,48.871796,-68.235245,99.767914,15.518368,-68.477676,76.381859,38.468166,-70.54332,66.503273,48.868511,-69.672287,64.715179,33.029041,-70.042923,66.259132,16.767929
7,13,13,0.108,0.001005,-0.001967,-0.015097,0.999884,-52.992779,68.121124,32.154411,-52.582653,70.351799,67.82193,-53.357552,70.277069,-3.487575,-52.83569,65.854332,67.885658,-53.195232,66.001297,-3.602376,-52.529423,70.36747,67.848167,-53.453491,70.23851,-3.551637,-52.90255,65.833145,67.985718,-53.086502,66.047295,-3.720982,-67.921745,90.382973,27.380657,-68.548294,82.39743,16.992867,-68.041573,82.522858,49.104939,-67.678955,99.027321,31.814518,-66.873428,99.92498,48.869579,-68.244179,99.750977,15.517281,-68.486885,76.378563,38.4739,-70.554474,66.50399,48.875408,-69.697121,64.718613,33.039658,-70.038475,66.238762,16.780481
8,14,14,0.116,0.001001,-0.00198,-0.01552,0.999877,-52.993595,68.118896,32.154583,-52.582497,70.349411,67.822105,-53.355629,70.274963,-3.487429,-52.839344,65.852173,67.885849,-53.196926,65.999054,-3.602198,-52.527992,70.364571,67.848335,-53.453518,70.23642,-3.550121,-52.906673,65.832069,67.983368,-53.085537,66.04512,-3.721593,-67.949104,90.370262,27.382448,-68.556961,82.38723,16.994785,-68.021744,82.515259,49.103539,-67.689255,99.012718,31.815382,-66.880035,99.922737,48.87188,-68.250023,99.739876,15.518329,-68.494278,76.375175,38.479626,-70.554863,66.50164,48.884155,-69.719353,64.718292,33.051842,-70.03508,66.221794,16.791122
