,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,0.483,-116.254845,100.080231,25.274738,-118.753906,65.608589,38.319962,-120.10202,34.300785,58.17889,-119.854965,35.786301,26.209541,-112.218048,134.878922,30.893097,-116.364182,85.648628,59.756325,-120.572662,91.268112,-2.111503,-110.766983,139.880768,63.74538,-113.150024,138.688293,-4.61306,-122.970535,39.247082,-6.688238
59,0.491,-116.265488,100.159645,25.221487,-118.743729,65.701332,38.319153,-120.052208,34.370762,58.184063,-119.843697,35.867142,26.202223,-111.895111,134.915085,30.812517,-116.228851,85.705605,59.750469,-120.469261,91.319443,-2.135121,-110.401619,139.92363,63.682556,-112.812843,138.665329,-4.673667,-122.985931,39.300308,-6.666022
60,0.5,-116.292725,100.249573,25.20031,-118.725121,65.798065,38.310307,-120.009506,34.449055,58.199638,-119.918228,35.930771,26.2276,-111.551704,134.947906,30.766245,-116.077187,85.773216,59.73922,-120.378304,91.358017,-2.152919,-109.979973,139.957565,63.628525,-112.429344,138.658997,-4.730347,-123.004059,39.358799,-6.643294
61,0.508,-116.307869,100.329353,25.18285,-118.686951,65.8909,38.276329,-119.96553,34.513073,58.212917,-119.895897,36.029297,26.233488,-111.200203,134.984909,30.713104,-115.88855,85.819115,59.75626,-120.25666,91.398102,-2.190159,-109.586243,139.987549,63.579296,-112.051025,138.65567,-4.760762,-123.027298,39.40625,-6.624503
62,0.516,-116.326073,100.414299,25.150295,-118.642784,65.981407,38.242062,-119.907356,34.581245,58.22332,-119.824959,36.148106,26.234684,-110.837875,135.01442,30.636808,-115.71624,85.888741,59.766342,-120.132698,91.438751,-2.220443,-109.166351,140.030701,63.509357,-111.647736,138.631622,-4.805813,-123.046043,39.459389,-6.615207
63,0.525,-116.346695,100.513351,25.105173,-118.631653,66.108894,38.235275,-119.857811,34.663715,58.237339,-119.707916,36.299553,26.201019,-110.410355,135.038834,30.582392,-115.532364,85.947411,59.775208,-119.946693,91.492775,-2.272474,-108.647263,140.055923,63.44619,-111.191467,138.597351,-4.873363,-123.059891,39.518288,-6.611004
64,0.533,-116.365646,100.620377,25.051483,-118.651413,66.217621,38.247055,-119.812157,34.736103,58.250343,-119.698372,36.400669,26.205423,-109.981522,135.046875,30.52508,-115.368256,86.010834,59.76947,-119.791534,91.528259,-2.316781,-108.171928,140.06868,63.382877,-110.749092,138.584183,-4.912629,-123.078362,39.568417,-6.597093
65,0.541,-116.395775,100.704849,25.009277,-118.648697,66.303528,38.243614,-119.761894,34.81321,58.269459,-119.716766,36.489079,26.247448,-109.540138,135.054062,30.451283,-115.16069,86.079178,59.751862,-119.64296,91.562691,-2.337065,-107.669022,140.076736,63.333832,-110.326096,138.570374,-4.927226,-123.107956,39.619068,-6.577387
66,0.55,-116.476456,100.803909,24.994915,-118.629875,66.415169,38.2192,-119.715736,34.9048,58.292572,-119.766144,36.586464,26.290163,-109.038231,135.039352,30.43169,-114.955482,86.164009,59.742146,-119.428429,91.598572,-2.376544,-107.080841,140.11702,63.265049,-109.838699,138.539169,-4.954059,-123.144844,39.676811,-6.545094
67,0.558,-116.525063,100.92585,24.950306,-118.605492,66.535423,38.20829,-119.675407,34.981842,58.310127,-119.786629,36.684696,26.307899,-108.569778,135.053772,30.356878,-114.748718,86.232826,59.727795,-119.236481,91.625404,-2.426363,-106.537521,140.138809,63.212204,-109.335899,138.509216,-4.972894,-123.165466,39.723984,-6.519792
68,0.566,-116.580414,101.048134,24.892303,-118.576874,66.694099,38.211121,-119.62558,35.084129,58.327759,-119.804405,36.778694,26.332075,-108.081055,135.036545,30.331806,-114.532761,86.29924,59.704811,-119.02417,91.669914,-2.477956,-105.974449,140.160446,63.164299,-108.816978,138.479065,-5.008272,-123.181129,39.767673,-6.50499
69,0.575,-116.693321,101.180664,24.820177,-118.540634,66.822746,38.204235,-119.564667,35.190453,58.356346,-119.816498,36.918015,26.365774,-108.14476,134.875717,30.555893,-114.302864,86.368843,59.692455,-118.776215,91.713104,-2.533462,-105.310944,140.19043,63.094425,-108.214912,138.407822,-5.030035,-123.201515,39.821453,-6.494755
70,0.583,-116.743126,101.312599,24.722815,-118.494606,66.96814,38.210526,-119.51461,35.28233,58.375786,-119.827904,37.039791,26.382673,-107.6269,134.820374,30.5466,-114.100838,86.422905,59.682419,-118.536018,91.746758,-2.582636,-104.707588,140.206329,63.046276,-107.675842,138.356445,-5.070076,-123.21627,39.872093,-6.493242
71,0.591,-116.750038,101.482689,24.633635,-118.458405,67.115425,38.223148,-119.451836,35.37072,58.39222,-119.834099,37.169659,26.395464,-107.113289,134.784531,30.4764,-113.818871,86.516251,59.67189,-118.286636,91.784523,-2.640627,-104.08062,140.226456,62.98867,-107.120262,138.304489,-5.108416,-123.220154,39.93922,-6.5001
72,0.6,-117.182732,101.523506,24.696495,-118.427277,67.303268,38.226864,-119.38813,35.486385,58.417313,-119.843781,37.320934,26.436249,-106.446388,134.765869,30.438427,-113.464882,86.614922,59.659184,-117.969475,91.849373,-2.711957,-103.344788,140.226959,62.911289,-106.430984,138.228958,-5.122181,-123.232117,39.992599,-6.493834
73,0.608,-117.268646,101.65696,24.673641,-118.392456,67.456497,38.250599,-119.335381,35.608822,58.459412,-119.84967,37.474365,26.46051,-105.896828,134.679871,30.38781,-113.207016,86.682022,59.634781,-117.692474,91.849586,-2.752642,-102.675339,140.233154,62.849022,-105.804649,138.175125,-5.153669,-123.248581,40.038689,-6.483687
74,0.616,-117.248108,101.820816,24.703556,-118.35688,67.614136,38.283375,-119.256416,35.711369,58.496754,-119.852402,37.642296,26.500067,-105.28183,134.618439,30.332422,-112.92366,86.761024,59.559925,-117.388237,91.859795,-2.804098,-101.977692,140.254349,62.775528,-105.161713,138.091019,-5.187842,-123.273849,40.095623,-6.462282
75,0.625,-117.208359,102.015648,24.742804,-118.30735,67.847313,38.308395,-119.163307,35.846458,58.545578,-119.865334,37.819351,26.543034,-104.561066,134.565552,30.300703,-112.598801,86.878792,59.49791,-117.07016,91.876373,-2.839753,-101.187965,140.270538,62.705685,-104.41935,138.005524,-5.246164,-123.294174,40.178314,-6.448752
76,0.633,-117.059532,102.155838,24.812632,-118.241776,68.038124,38.325439,-119.078735,35.961361,58.586395,-119.865158,38.014339,26.574549,-103.950928,134.474625,30.24898,-112.317398,86.993431,59.444553,-116.7631,91.910683,-2.86991,-100.475296,140.269547,62.635185,-103.755333,137.913681,-5.293445,-123.315826,40.224888,-6.436434
77,0.641,-116.91217,102.270683,24.8864,-118.179764,68.258064,38.33569,-119.005821,36.077385,58.61898,-119.912483,38.197021,26.64257,-103.302505,134.423126,30.184731,-112.012314,87.106956,59.359921,-116.440056,91.941368,-2.915415,-99.734726,140.27005,62.549305,-103.073975,137.8367,-5.348217,-123.332237,40.274998,-6.423468
78,0.65,-116.718758,102.409836,24.970301,-118.454277,68.416359,38.398117,-118.890594,36.245899,58.672314,-119.949654,38.418903,26.734478,-102.501534,134.353424,30.117157,-111.709152,87.232162,59.249836,-116.0429,91.984543,-2.953036,-98.89534,140.271729,62.456505,-102.299095,137.734314,-5.397102,-123.351135,40.344418,-6.417963
79,0.658,-116.505562,102.512375,25.038696,-118.455338,68.647659,38.452206,-118.779114,36.40546,58.725292,-119.969521,38.646214,26.789824,-101.78672,134.296875,30.072149,-111.446342,87.348007,59.163486,-115.646591,92.003517,-2.985473,-98.137802,140.291702,62.391281,-101.610092,137.653793,-5.45682,-123.352409,40.423405,-6.413062
80,0.666,-116.230225,102.634392,25.116747,-118.51519,68.874451,38.47905,-118.673943,36.545094,58.763313,-119.987274,38.884148,26.848053,-101.09166,134.242142,30.017551,-111.154663,87.48278,59.061867,-115.227875,92.037064,-3.042431,-97.367119,140.316101,62.321991,-100.934753,137.554398,-5.528561,-123.337578,40.543549,-6.402775
81,0.675,-115.944801,102.775887,25.171083,-118.573547,69.131554,38.533638,-118.52578,36.719349,58.8102,-120.003761,39.183804,26.921814,-100.297424,134.190826,29.946152,-110.844841,87.637932,58.965862,-114.748093,92.087791,-3.079586,-96.492363,140.329819,62.235939,-100.122215,137.457184,-5.588353,-123.313354,40.649956,-6.383007
82,0.683,-115.64473,102.931847,25.201061,-118.633987,69.371574,38.577446,-118.398544,36.857021,58.847301,-120.033241,39.454193,26.96121,-99.521889,134.154129,29.890827,-110.549377,87.797012,58.8811,-114.332787,92.132637,-3.083282,-95.686836,140.348984,62.14782,-99.331703,137.392609,-5.651441,-123.287323,40.753426,-6.374457
83,0.691,-115.256157,103.12809,25.221529,-118.687187,69.635071,38.629967,-118.231926,37.064751,58.882107,-120.118507,39.712486,27.044149,-98.729836,134.135452,29.823387,-110.227058,87.983253,58.785416,-113.908722,92.204819,-3.095134,-94.859062,140.381363,62.050102,-98.51593,137.324768,-5.712091,-123.226631,40.872116,-6.361557
84,0.7,-114.769791,103.337875,25.181433,-118.816231,69.918518,38.728107,-118.04258,37.281849,58.920471,-120.184746,40.0289,27.133772,-97.838951,134.13385,29.758104,-109.882355,88.201195,58.695107,-113.395035,92.278053,-3.092012,-93.94413,140.42099,61.964844,-97.69825,137.241135,-5.799598,-123.172417,41.021473,-6.322113
85,0.708,-114.398453,103.496338,25.140751,-118.987015,70.201126,38.771702,-117.858932,37.491589,58.956234,-120.216385,40.343395,27.207193,-97.00885,134.137695,29.696728,-109.586159,88.414207,58.602978,-112.919327,92.347626,-3.090051,-93.099632,140.464249,61.899036,-96.99646,137.133759,-5.865069,-123.10054,41.184719,-6.312584
86,0.716,-113.874146,103.696152,25.074852,-119.045937,70.490959,38.84486,-117.644188,37.718403,58.995182,-120.254921,40.642731,27.274078,-96.227348,134.152405,29.624626,-109.31131,88.591316,58.500069,-112.43148,92.412117,-3.103073,-92.256973,140.512329,61.830391,-96.160622,137.079544,-5.920118,-123.034302,41.331364,-6.272957
87,0.725,-113.31295,103.888664,25.047535,-119.167099,70.83606,38.906155,-117.409721,37.982147,59.02919,-120.344963,40.985889,27.386444,-95.313789,134.174698,29.557339,-109.013702,88.810524,58.391129,-111.834717,92.507889,-3.125193,-91.274269,140.578476,61.743866,-95.228897,137.010223,-5.98384,-122.933594,41.500538,-6.228532
88,0.733,-112.735107,104.08149,24.983528,-119.269852,71.152534,38.977291,-117.178726,38.221046,59.049183,-120.43644,41.288345,27.479004,-94.46727,134.240799,29.516628,-108.676552,89.036461,58.303688,-111.263969,92.638817,-3.153267,-90.415367,140.651535,61.68824,-94.41568,136.960617,-6.027922,-122.805298,41.669746,-6.200948
89,0.741,-112.171791,104.25724,24.978302,-119.293465,71.506264,39.031055,-116.91021,38.486767,59.062107,-120.683693,41.561691,27.611319,-93.600998,134.268433,29.477131,-108.338097,89.269257,58.232273,-110.671768,92.756744,-3.197396,-89.567528,140.716797,61.6446,-93.612061,136.918289,-6.090199,-122.678902,41.858223,-6.162019
90,0.75,-111.418869,104.477585,24.948235,-119.290901,71.912369,39.085629,-116.595253,38.80373,59.07254,-120.728531,41.972122,27.698854,-92.61895,134.344955,29.429018,-107.890724,89.56778,58.130848,-110.086807,92.893288,-3.224764,-88.585144,140.796494,61.606426,-92.66304,136.894958,-6.141153,-122.492149,42.082668,-6.121207
91,0.758,-110.764709,104.665924,24.945349,-119.212852,72.276344,39.112373,-116.296806,39.074345,59.058868,-120.755455,42.361069,27.783728,-91.758766,134.395981,29.382982,-107.511208,89.788788,58.079208,-109.534966,93.010384,-3.210572,-87.692093,140.866043,61.569031,-91.850082,136.868774,-6.178721,-122.320427,42.295406,-6.095699
92,0.766,-110.061859,104.827538,24.961029,-119.117287,72.610229,39.137821,-115.980927,39.357269,59.04137,-120.809326,42.747284,27.871475,-90.864014,134.479095,29.346081,-106.984238,90.055069,58.048409,-108.97393,93.149162,-3.242038,-86.76503,140.923477,61.526615,-90.980743,136.876633,-6.207159,-122.122482,42.513802,-6.052782
93,0.775,-109.259453,104.986641,24.950829,-118.941566,73.007568,39.182003,-115.602127,39.69379,58.99865,-120.877769,43.216007,27.955935,-89.872108,134.548767,29.318195,-106.491135,90.311325,58.007984,-108.319733,93.322662,-3.239427,-85.726021,140.991806,61.468304,-90.027161,136.863968,-6.237482,-121.863411,42.779442,-6.015459
94,0.783,-108.550346,105.123314,24.988138,-118.755028,73.329552,39.220951,-115.247711,40.009369,58.945889,-120.916534,43.655796,28.046564,-88.966347,134.623581,29.299232,-105.937683,90.569221,58.018517,-107.748306,93.479294,-3.254103,-84.786568,141.046768,61.441334,-89.157066,136.889908,-6.261576,-121.605209,43.045292,-5.971905
95,0.791,-107.743118,105.275711,24.986597,-118.533646,73.680977,39.27737,-114.898155,40.312737,58.895683,-120.967529,44.100628,28.131208,-88.081604,134.701126,29.280746,-105.437599,90.790764,57.980972,-107.164368,93.637611,-3.242456,-83.804878,141.114075,61.429047,-88.269096,136.917526,-6.272211,-121.330536,43.314342,-5.901052
96,0.8,-106.873306,105.440971,25.017557,-118.261292,74.068764,39.344891,-114.520958,40.681534,58.806835,-121.062508,44.582771,28.237036,-87.052406,134.79361,29.228333,-104.813431,91.057144,58.006691,-106.491875,93.846054,-3.260518,-82.727592,141.190308,61.391361,-87.276176,136.951584,-6.30553,-120.980431,43.626328,-5.816222
97,0.808,-106.060005,105.567787,25.041994,-117.945221,74.437485,39.41135,-114.181427,41.029972,58.717281,-121.125267,45.047321,28.325844,-86.149788,134.879852,29.212034,-104.286812,91.319344,57.976105,-105.867264,94.036545,-3.273141,-81.768578,141.269943,61.358768,-86.385155,137.000412,-6.329943,-120.629265,43.898876,-5.743289
98,0.816,-105.205276,105.729004,25.042274,-117.645767,74.813927,39.468414,-113.825287,41.374107,58.625095,-121.203804,45.526512,28.413931,-85.206589,134.9711,29.174318,-103.662491,91.595474,57.992981,-105.259689,94.31678,-3.274131,-80.813042,141.35347,61.334713,-85.426941,137.071091,-6.354418,-120.247475,44.230701,-5.682031
99,0.825,-104.306244,105.905792,25.019875,-117.332008,75.232742,39.523853,-113.450203,41.789772,58.494061,-121.399155,46.048965,28.511673,-84.14315,135.072632,29.152742,-103.099693,91.858971,58.009441,-104.694839,94.621117,-3.13558,-79.679451,141.449478,61.320412,-84.356522,137.157578,-6.406317,-119.733597,44.62376,-5.594662
100,0.833,-103.474167,106.059959,25.041496,-117.010818,75.619499,39.553894,-113.141945,42.176609,58.366657,-121.494781,46.55442,28.614563,-83.171967,135.180267,29.10445,-102.462044,92.159813,58.027344,-104.180481,94.880348,-2.945363,-78.679199,141.530914,61.28931,-83.428749,137.234848,-6.461767,-119.285408,44.947754,-5.495639
101,0.841,-102.585693,106.239128,25.023535,-116.688469,76.036102,39.579933,-112.827316,42.594292,58.206272,-121.601425,47.10416,28.728775,-82.186623,135.304077,29.056314,-101.822701,92.47081,58.063583,-103.653954,95.208603,-2.751381,-77.685898,141.628616,61.23708,-82.474037,137.33493,-6.506574,-118.797112,45.26585,-5.340073
102,0.85,-101.558594,106.466042,24.991154,-116.249504,76.533852,39.632927,-112.483109,43.102108,58.030968,-121.795425,47.719334,28.851027,-81.061829,135.446854,29.009169,-101.20195,92.759178,58.068634,-103.038063,95.554405,-2.508028,-76.55336,141.76033,61.203308,-81.395409,137.462646,-6.566291,-118.248009,45.661465,-5.144154
103,0.858,-100.633072,106.677803,24.966389,-115.818916,77.005798,39.634933,-112.208939,43.558876,57.822262,-121.984734,48.296337,28.95092,-80.021057,135.610001,28.973898,-100.561462,93.060677,58.103348,-102.432945,95.910751,-2.300995,-75.525047,141.892212,61.178295,-80.377129,137.60733,-6.639077,-117.737343,46.005398,-4.893835
104,0.866,-99.674377,106.885231,24.943525,-115.428566,77.495682,39.652794,-111.972954,44.02235,57.613056,-122.174477,48.89986,29.068909,-78.98819,135.761169,28.914768,-99.841568,93.41716,58.102055,-101.793816,96.292343,-2.111764,-74.523163,142.032822,61.138691,-79.387001,137.77713,-6.697447,-117.245743,46.356388,-4.517398
105,0.875,-98.583191,107.151497,24.911125,-114.952766,78.061256,39.673225,-111.717072,44.605785,57.351418,-122.431755,49.590221,29.180496,-77.811295,135.955261,28.85021,-99.165146,93.749413,58.071785,-101.040398,96.79422,-1.986895,-73.415009,142.224823,61.081619,-78.261353,138.008545,-6.760687,-116.612228,46.83149,-4.124423
106,0.883,-97.602615,107.401505,24.879602,-114.449219,78.525986,39.70042,-111.509262,45.116989,57.145672,-122.652283,50.24522,29.269382,-76.745499,136.159012,28.784307,-98.428497,94.109169,58.062565,-100.382065,97.247475,-1.91102,-72.422737,142.429047,61.057896,-77.207664,138.266266,-6.828054,-116.012047,47.301231,-3.734256
107,0.891,-96.607582,107.66481,24.837811,-113.935814,79.040451,39.701004,-111.294128,45.664242,56.945396,-122.886513,50.925129,29.369215,-75.696793,136.355957,28.730663,-97.713142,94.483528,58.058655,-99.68544,97.766525,-1.837076,-71.414345,142.668625,61.029263,-76.214508,138.566345,-6.883435,-115.38842,47.805313,-3.313407
108,0.9,-95.445374,107.990669,24.792107,-113.345978,79.618866,39.71508,-111.048141,46.32238,56.764179,-123.15625,51.739014,29.475857,-74.477875,136.622284,28.674915,-96.932076,94.912788,57.991833,-99.001221,98.236382,-1.754241,-70.309006,142.961151,60.971939,-75.032082,138.964508,-6.947118,-114.702583,48.390831,-2.802993
109,0.908,-94.40963,108.291969,24.743364,-112.706352,80.133858,39.744579,-110.843979,46.938351,56.639755,-123.349937,52.50956,29.58926,-73.402069,136.893219,28.631025,-96.132172,95.355339,57.955067,-98.676666,98.612823,-1.643459,-69.348694,143.277817,60.919308,-74.013885,139.374069,-6.991678,-114.083359,48.910641,-2.295148
110,0.916,-93.359146,108.596039,24.69742,-112.032356,80.689743,39.74641,-110.591873,47.578613,56.533588,-123.563477,53.329159,29.669184,-72.242142,137.245834,28.587746,-95.390701,95.769135,57.899754,-97.911057,99.124847,-1.676892,-68.390045,143.62381,60.874153,-73.002991,139.792969,-7.041935,-113.479233,49.469589,-1.800641
111,0.925,-92.142448,108.957169,24.643976,-111.279938,81.331421,39.768879,-110.341858,48.294479,56.437473,-123.67659,54.303699,29.77784,-71.057106,137.633759,28.534338,-94.498901,96.296692,57.805817,-97.026489,99.677429,-1.796197,-67.329887,144.068619,60.837891,-71.84269,140.345428,-7.083225,-112.778618,50.138783,-1.284183
112,0.933,-91.032372,109.298729,24.606256,-110.472176,81.904488,39.750053,-110.773315,48.628826,56.174732,-123.806488,55.177326,29.802279,-69.977402,138.080917,28.501488,-93.643837,96.784157,57.735233,-96.086853,100.262093,-1.877197,-66.406181,144.518417,60.803146,-70.889412,140.866196,-7.124587,-112.09906,50.82032,-0.805613
113,0.941,-89.898262,109.651138,24.559099,-109.751045,82.45932,39.739006,-110.672829,49.258892,56.071304,-123.762009,56.152683,29.816332,-68.916527,138.541016,28.433939,-92.799599,97.292267,57.652809,-95.131195,100.764122,-1.996969,-65.493225,145.002243,60.779484,-69.871178,141.453354,-7.157246,-111.432938,51.563679,-0.340718
114,0.95,-88.516228,110.121178,24.489412,-108.770409,83.132263,39.70356,-110.573341,50.029022,55.95565,-123.716019,57.216896,29.73226,-67.729836,139.115524,28.397095,-91.858688,97.892197,57.567181,-93.979385,101.408676,-2.16777,-64.497993,145.617905,60.729206,-68.76506,142.160934,-7.189842,-110.664368,52.40184,0.185679
115,0.958,-87.306442,110.538017,24.432043,-107.90641,83.754448,39.656742,-110.363785,50.784134,55.865814,-123.485184,58.197815,29.592747,-66.751564,139.700607,28.36577,-90.91378,98.469475,57.495342,-92.928764,101.929558,-2.332186,-63.631516,146.227875,60.721249,-67.830193,142.871994,-7.209923,-109.992302,53.206516,0.697404
116,0.966,-86.141838,110.95681,24.38015,-106.976555,84.411667,39.634956,-110.127937,51.59391,55.749744,-123.246155,59.149067,29.416101,-65.72776,140.342667,28.367447,-89.967461,99.083176,57.421993,-91.805428,102.565361,-2.473727,-62.776329,146.886642,60.730099,-66.787407,143.648407,-7.261593,-109.32196,54.069771,1.170515
117,0.975,-84.660408,111.51886,24.298359,-105.88266,85.078613,39.568802,-109.902885,52.522404,55.646999,-122.859215,60.209126,29.228111,-64.651184,141.112091,28.362581,-88.937485,99.788666,57.338173,-90.466057,103.286591,-2.620301,-61.840038,147.684662,60.742653,-65.661057,144.584702,-7.312833,-109.288467,54.754173,1.984862
118,0.983,-83.392563,112.038406,24.212568,-104.874695,85.762039,39.47929,-109.608986,53.411652,55.57909,-122.392021,61.186493,29.050838,-63.754387,141.889801,28.352686,-88.05941,100.444321,57.26815,-89.289742,103.990898,-2.739716,-61.080467,148.456223,60.795616,-64.718971,145.464615,-7.361137,-108.609795,55.676453,2.43529
119,0.991,-81.983147,112.640892,24.160648,-103.740021,86.467606,39.408283,-109.195755,54.326366,55.524982,-121.736023,62.228596,28.899929,-62.822575,142.747086,28.367619,-87.070618,101.146057,57.184822,-88.0924,104.748726,-2.825424,-60.327614,149.27771,60.848381,-63.808517,146.347076,-7.404432,-107.866966,56.638889,2.826385
120,1,-80.428787,113.334976,24.0732,-102.404358,87.264542,39.324905,-108.676552,55.404961,55.4524,-120.883896,63.412487,28.763628,-61.815689,143.768738,28.386806,-85.947708,101.954102,57.086647,-86.711639,105.679428,-2.928537,-59.536789,150.237762,60.871685,-62.841034,147.449799,-7.464241,-106.978798,57.743759,3.228541
121,1.008,-79.068092,113.959465,23.978336,-101.163483,87.96759,39.21801,-108.15097,56.355934,55.401409,-120.060715,64.465385,28.657215,-61.01479,144.747314,28.375526,-84.980843,102.673599,56.98251,-85.555321,106.520103,-2.976285,-58.89595,151.162811,60.923946,-62.043983,148.519104,-7.439688,-106.179008,58.757347,3.542449
122,1.016,-77.674629,114.644623,23.900528,-99.81617,88.688972,39.091335,-107.561096,57.343204,55.349075,-119.103363,65.531075,28.542456,-60.157784,145.798965,28.400305,-83.98259,103.440323,56.886471,-84.436745,107.39286,-2.992685,-58.294083,152.128922,60.973083,-61.277401,149.652573,-7.424556,-105.300209,59.79808,3.837059
123,1.024,-76.195503,115.361511,23.831621,-98.469254,89.441574,38.98328,-106.918243,58.372921,55.253006,-118.113007,66.620483,28.413088,-59.418499,146.865463,28.390881,-82.944267,104.221573,56.817905,-83.304855,108.329056,-2.995387,-57.751221,153.153839,61.0079,-60.552193,150.845413,-7.394012,-104.405197,60.880245,4.108502
124,1.033,-74.527939,116.188179,23.757313,-96.928719,90.216248,38.868927,-106.220673,59.521912,55.148041,-116.986061,67.797638,28.232891,-58.632805,148.141846,28.388182,-81.777992,105.144081,56.776703,-82.054306,109.394943,-2.991995,-57.201683,154.362305,61.038185,-59.781982,152.234344,-7.387103,-103.388992,62.110104,4.382988
125,1.041,-73.063957,116.934158,23.702477,-95.423386,90.947166,38.699837,-105.509697,60.576046,55.021488,-115.9431,68.852173,28.032463,-57.961517,149.295364,28.442945,-80.767319,105.958511,56.766438,-80.930817,110.390045,-3.021548,-56.747734,155.484024,61.047131,-59.135784,153.518127,-7.366597,-102.443604,63.206291,4.585
126,1.05,-71.319557,117.826202,23.65851,-93.807068,91.732048,38.551323,-104.761353,61.72356,54.881691,-114.638184,70.082779,27.78529,-57.236893,150.647354,28.43503,-79.569855,106.918266,56.741005,-79.682251,111.49485,-3.066914,-56.313133,156.784088,61.068546,-58.469887,155.010696,-7.383162,-101.386787,64.448822,4.776637
127,1.058,-69.764229,118.657372,23.602274,-92.221512,92.425232,38.349144,-104.002808,62.784248,54.73143,-113.451218,71.162621,27.536158,-56.629009,151.846237,28.415798,-78.492386,107.787537,56.754501,-78.570625,112.534927,-3.152966,-55.945076,157.950684,61.11359,-57.920074,156.350113,-7.35027,-100.406097,65.553108,4.913484
128,1.066,-68.189041,119.554207,23.549547,-90.53215,93.164909,38.185673,-103.242493,63.822765,54.573124,-112.270752,72.209351,27.270037,-56.09911,153.067719,28.402582,-77.500191,108.633614,56.812965,-77.46682,113.558281,-3.252562,-55.629738,159.086426,61.173584,-57.44862,157.720169,-7.349695,-99.424133,66.642258,5.010221
129,1.074,-66.628174,120.515839,23.459373,-88.923164,93.839836,38.009415,-102.479919,64.839256,54.431938,-110.97789,73.275627,26.974827,-55.601795,154.309265,28.388523,-76.432358,109.520363,56.84536,-76.386604,114.552116,-3.357608,-55.331306,160.238876,61.25288,-57.035725,159.099762,-7.364901,-98.402916,67.716827,5.086215
130,1.083,-64.941605,121.667076,23.330854,-87.155502,94.602913,37.808857,-101.557434,66.004089,54.253746,-109.45668,74.443611,26.662987,-55.094345,155.71843,28.337091,-75.255463,110.463585,56.95808,-75.181313,115.71286,-3.517498,-55.108498,161.562393,61.225586,-56.634777,160.617508,-7.322101,-97.21315,68.915573,5.148054
131,1.091,-63.588482,122.729767,23.155066,-85.423103,95.263481,37.619781,-100.721214,67.027542,54.089195,-108.11937,75.436035,26.391441,-54.682411,156.933289,28.341574,-74.178108,111.310898,57.049541,-74.144325,116.72821,-3.666954,-54.94268,162.729187,61.173512,-56.333076,161.94101,-7.307743,-96.172981,69.918419,5.145893
132,1.1,-62.131565,123.939117,22.983385,-83.492348,96.004219,37.363747,-99.751099,68.180321,53.913666,-106.457054,76.560196,26.090435,-54.170872,158.335571,28.321739,-73.012245,112.265274,57.219379,-72.985756,117.810532,-3.854506,-54.819756,164.042313,61.122101,-56.062328,163.436035,-7.30042,-94.963959,71.029488,5.121322
133,1.108,-60.936516,125.015602,22.830616,-81.815971,96.664925,37.14109,-98.90284,69.191635,53.804176,-105.058418,77.466156,25.852615,-53.795223,159.576431,28.325754,-71.872177,113.114929,57.348053,-71.960098,118.78878,-4.02859,-54.741787,165.194443,61.080509,-55.874435,164.738876,-7.290687,-93.87899,71.997055,5.059961
134,1.116,-59.818726,126.08136,22.654308,-80.065659,97.287888,36.931427,-98.024376,70.200081,53.665817,-103.589798,78.295082,25.63262,-53.511215,160.763443,28.287107,-70.722641,113.943497,57.529728,-70.942131,119.683838,-4.186011,-54.696442,166.316833,61.034096,-55.715359,166.026505,-7.27043,-92.747704,72.948441,4.991621
