,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091,-116.931725,100.159882,25.40716,-118.671989,65.783897,38.514023,-119.790161,34.52216,58.542747,-118.725708,35.9076,26.579046,-115.014229,135.485779,31.161461,-116.516968,86.035194,59.922153,-120.006645,91.19603,-2.154963,-114.601326,140.542206,63.952171,-116.788712,139.293427,-4.59616,-119.0411,39.022278,-6.228456
12,0.1,-116.91967,100.1632,25.407547,-118.68898,65.783432,38.509876,-119.873367,34.527367,58.53064,-118.763077,35.909969,26.566864,-115.009644,135.487427,31.165447,-116.55146,86.027725,59.914494,-120.056381,91.186035,-2.167792,-114.584373,140.539902,63.970352,-116.781601,139.299484,-4.593121,-119.203278,39.019211,-6.259319
13,0.108,-116.9132,100.158981,25.40344,-118.708244,65.78376,38.50811,-119.963837,34.522308,58.522713,-118.801178,35.926041,26.540873,-115.004494,135.490982,31.16613,-116.57975,86.022125,59.912376,-120.087639,91.19136,-2.176358,-114.58194,140.536957,63.975788,-116.772079,139.308975,-4.584393,-119.294083,39.046127,-6.292624
14,0.116,-116.889725,100.158669,25.408176,-118.723953,65.784248,38.507545,-120.032974,34.521996,58.51786,-118.850998,35.925365,26.528873,-115.00177,135.49205,31.167189,-116.602028,86.016029,59.909595,-120.111259,91.194687,-2.18501,-114.577499,140.531769,63.983871,-116.76474,139.315979,-4.575645,-119.389816,39.049118,-6.317104
15,0.125,-116.856827,100.171425,25.408804,-118.740654,65.785423,38.505699,-120.102272,34.521477,58.511662,-118.951141,35.917179,26.526293,-114.999046,135.491867,31.170521,-116.624985,86.012939,59.9109,-120.176697,91.189751,-2.185167,-114.575981,140.513901,63.981182,-116.757309,139.317734,-4.567706,-119.517937,39.062878,-6.343811
16,0.133,-116.842415,100.173889,25.412136,-118.765785,65.787445,38.503517,-120.164062,34.51482,58.506721,-119.010399,35.91935,26.52438,-114.997353,135.490753,31.176163,-116.652466,85.999847,59.914761,-120.202217,91.202667,-2.193319,-114.573738,140.506348,63.983871,-116.752533,139.320618,-4.563073,-119.618378,39.066299,-6.366395
17,0.141,-116.833961,100.17067,25.412872,-118.796906,65.769081,38.498283,-120.236374,34.505543,58.501263,-119.052956,35.931591,26.520124,-114.996925,135.489792,31.182304,-116.673836,85.995193,59.918953,-120.217285,91.215363,-2.224604,-114.569542,140.498962,63.989765,-116.747322,139.320328,-4.558842,-119.74498,39.07637,-6.392557
18,0.15,-116.82093,100.164391,25.414553,-118.818283,65.769882,38.495152,-120.298157,34.498806,58.496899,-119.089821,35.934086,26.516083,-114.996979,135.485886,31.187531,-116.693115,85.986473,59.921982,-120.227692,91.224464,-2.245638,-114.566658,140.489227,63.996559,-116.737976,139.319473,-4.550208,-119.875595,39.112179,-6.423985
19,0.158,-116.798058,100.156044,25.424179,-118.831596,65.764328,38.496483,-120.350563,34.49131,58.492893,-119.124435,35.934109,26.511251,-114.996445,135.48143,31.192198,-116.712608,85.978149,59.924393,-120.25032,91.225273,-2.251239,-114.563904,140.480087,64.00309,-116.731323,139.317017,-4.54491,-120.022453,39.105675,-6.446943
20,0.166,-116.787956,100.146172,25.435383,-118.844238,65.756592,38.495003,-120.405243,34.481812,58.491058,-119.166092,35.924576,26.503445,-114.996864,135.474716,31.19891,-116.727112,85.969437,59.924667,-120.279037,91.223793,-2.248495,-114.559158,140.470428,64.008118,-116.723991,139.313766,-4.540548,-120.180511,39.090912,-6.454489
