Format Version,1.23,Take Name,Take 2024-01-20 09.04.49 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 09.04.50.264 上午,Capture Start Frame,238119,Total Frames in Take,303,Total Exported Frames,303,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,-0.144698,-0.434807,0.027353,0.888402,-54.780571,84.587845,26.148588,-64.692627,84.376823,19.667643,-44.8508,84.562126,32.585983,-61.293888,84.737366,36.097511,-48.284954,84.675034,16.24321,-64.704582,84.386894,19.688679,-44.850426,84.571999,32.591839,-61.305099,84.724327,36.086281,-48.250916,84.658798,16.213045,-17.61203,108.022568,22.957211,-20.751936,107.566048,22.217823,-19.842945,108.136154,27.070108,-22.080376,107.417717,25.625641,-26.531073,87.228104,25.829655,-15.168113,87.89711,20.693584,-23.604136,87.837463,30.309168,-9.973204,89.097908,23.902519
5,0.041,-0.144458,-0.434749,0.027398,0.888468,-54.781479,84.590034,26.145628,-64.694687,84.378967,19.666451,-44.850494,84.564392,32.581158,-61.292976,84.733795,36.095829,-48.287735,84.682968,16.239075,-64.704926,84.386253,19.688492,-44.851051,84.571465,32.591354,-61.305016,84.724304,36.086681,-48.252277,84.670952,16.195232,-17.581272,108.053017,22.974455,-20.692774,107.596123,22.251165,-19.81064,108.16761,27.090103,-22.032631,107.457413,25.637255,-26.523983,87.268814,25.806767,-15.176971,87.920807,20.673136,-23.608568,87.868248,30.281322,-9.985358,89.109329,23.885143
6,0.05,-0.144672,-0.434805,0.027299,0.888408,-54.779648,84.588295,26.14851,-64.691696,84.378616,19.667505,-44.849903,84.561241,32.585945,-61.292995,84.737358,36.097424,-48.283981,84.675949,16.243164,-64.705162,84.38842,19.688576,-44.849594,84.570862,32.591267,-61.304466,84.724899,36.087585,-48.246666,84.660133,16.212311,-17.54751,108.088371,22.988087,-20.652855,107.63987,22.264694,-19.762377,108.209183,27.103619,-21.990175,107.500252,25.653944,-26.571676,87.34726,25.768456,-15.202592,87.99617,20.643988,-23.620296,87.903961,30.252993,-9.919298,89.173843,23.816973
7,0.058,-0.144698,-0.434793,0.027315,0.888409,-54.779919,84.588478,26.148325,-64.692123,84.378403,19.667574,-44.850014,84.561829,32.585518,-61.293022,84.738129,36.097389,-48.284492,84.675545,16.242817,-64.704689,84.388992,19.688507,-44.849586,84.572189,32.591003,-61.303913,84.724579,36.086147,-48.250008,84.658554,16.213808,-17.512585,108.145584,22.974802,-20.631348,107.677368,22.272427,-19.730074,108.248375,27.116764,-21.966204,107.546852,25.672943,-26.564472,87.37796,25.73222,-15.212357,88.031189,20.611467,-23.683647,87.982323,30.22897,-9.98945,89.201096,23.8246
8,0.066,-0.144467,-0.434719,0.027346,0.888482,-54.780472,84.590004,26.145435,-64.694023,84.380219,19.666742,-44.849171,84.56308,32.580471,-61.291462,84.734177,36.095966,-48.287209,84.682526,16.238562,-64.70636,84.388321,19.688887,-44.848995,84.570953,32.590927,-61.302711,84.724167,36.086609,-48.2509,84.66951,16.196594,-17.467552,108.194351,22.973431,-20.608177,107.726753,22.283012,-19.708828,108.288528,27.135082,-21.941019,107.589172,25.685518,-26.565508,87.424675,25.696777,-15.225209,88.066551,20.57736,-23.700134,88.014259,30.200375,-10.000081,89.22084,23.802546
9,0.075,-0.144399,-0.434699,0.027393,0.888502,-54.780304,84.590919,26.14513,-64.69429,84.380348,19.667126,-44.848545,84.564789,32.579456,-61.290604,84.733368,36.096134,-48.287758,84.68515,16.237803,-64.705917,84.388031,19.690298,-44.849056,84.572266,32.589512,-61.303036,84.723297,36.085987,-48.248699,84.672195,16.192709,-17.438442,108.233574,22.982079,-20.579029,107.786819,22.285458,-19.692577,108.327736,27.153757,-21.916468,107.633698,25.692501,-26.609612,87.481102,25.651491,-15.275545,88.136848,20.491545,-23.715891,88.049088,30.165979,-10.007024,89.238426,23.778044
10,0.083,-0.144679,-0.434785,0.027346,0.888416,-54.77932,84.587631,26.147923,-64.691704,84.376907,19.667473,-44.849224,84.561615,32.584812,-61.292137,84.736763,36.097187,-48.284203,84.675201,16.24222,-64.706764,84.387177,19.68915,-44.848381,84.571609,32.590199,-61.303509,84.724083,36.086796,-48.245968,84.659126,16.21216,-17.414124,108.277557,22.99052,-20.55204,107.860062,22.292019,-19.675577,108.360672,27.168295,-21.894718,107.674232,25.701363,-26.613775,87.536858,25.612795,-15.284841,88.176521,20.449062,-23.722677,88.08004,30.124378,-10.01799,89.250984,23.751772
11,0.091,-0.144713,-0.434796,0.027347,0.888405,-54.780048,84.587479,26.148092,-64.692238,84.376595,19.667345,-44.850151,84.56163,32.585297,-61.293175,84.737396,36.097141,-48.284618,84.674278,16.242588,-64.705872,84.38726,19.688221,-44.849949,84.572075,32.589825,-61.30389,84.723862,36.086422,-48.248341,84.657249,16.214912,-17.391344,108.318619,22.995672,-20.526953,107.917664,22.298218,-19.651018,108.397064,27.173128,-21.862705,107.721367,25.703028,-26.627981,87.609444,25.565529,-15.288237,88.213158,20.412184,-23.730701,88.111656,30.086971,-10.034387,89.263847,23.724701
12,0.1,-0.144717,-0.434812,0.027333,0.888396,-54.779846,84.587143,26.147928,-64.691772,84.376511,19.666784,-44.850204,84.561043,32.585529,-61.293358,84.73719,36.096718,-48.284019,84.67382,16.242683,-64.70472,84.387283,19.687819,-44.849735,84.571579,32.590927,-61.304123,84.72348,36.0853,-48.249226,84.656578,16.21406,-17.376904,108.38385,23.01033,-20.503014,107.97467,22.301624,-19.615429,108.438095,27.173313,-21.836086,107.785416,25.699011,-26.633587,87.679207,25.493393,-15.288682,88.256851,20.367306,-23.748539,88.150711,30.039593,-10.010676,89.254814,23.620617
13,0.108,-0.144667,-0.434798,0.027326,0.888412,-54.78009,84.587723,26.148098,-64.692268,84.377472,19.667313,-44.850201,84.561241,32.585316,-61.293228,84.736595,36.097157,-48.284645,84.67556,16.242609,-64.704712,84.388229,19.688269,-44.849758,84.571747,32.591843,-61.30349,84.723114,36.085781,-48.25103,84.658325,16.212351,-17.358864,108.426392,23.025354,-20.484627,108.024681,22.308882,-19.593876,108.477798,27.176947,-21.81645,107.836273,25.705168,-26.624384,87.718124,25.440302,-15.279796,88.299416,20.319567,-23.763016,88.185211,29.997873,-10.056602,89.28167,23.569689
