,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118
,ID,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
67,0.558,-33.379692,101.145348,11.474755,-35.445446,120.909515,16.957073,-35.277168,120.548836,20.143898,-32.465271,121.475876,16.704348,-27.630878,100.929985,15.688431,-31.608618,120.4599,20.214836,-32.335297,100.297455,22.767494,-36.050121,100.470314,20.911884
68,0.566,-33.512501,100.900772,11.533035,-35.44521,120.693718,16.896259,-35.26963,120.370377,20.110294,-32.463829,121.271851,16.64654,-27.644608,100.718544,15.641769,-31.577253,120.256294,20.120979,-32.267357,100.139488,22.80945,-36.006458,100.282059,21.057766
69,0.575,-33.631073,100.589821,11.612175,-35.451496,120.445992,16.844416,-35.322906,120.184006,20.103825,-32.489014,121.032356,16.543358,-27.688545,100.466515,15.626762,-31.552383,120.034492,20.020063,-32.195213,99.936607,22.874327,-35.97369,100.068069,21.237368
70,0.583,-33.74313,100.334312,11.693178,-35.457859,120.217606,16.776188,-35.274551,119.930664,20.005575,-32.510479,120.791611,16.447575,-27.765516,100.191841,15.624216,-31.555044,119.816193,19.947235,-32.11602,99.753853,22.913288,-35.932747,99.866501,21.384649
71,0.591,-33.830059,100.053535,11.778868,-35.476994,119.982567,16.699039,-35.265953,119.711304,19.958418,-32.514606,120.557213,16.371983,-27.791613,99.967506,15.618107,-31.54895,119.575058,19.86278,-32.040249,99.550949,22.942804,-35.899559,99.713501,21.551792
72,0.6,-33.944748,99.735268,11.889314,-35.509144,119.729958,16.65333,-35.263084,119.454704,19.891378,-32.533424,120.291054,16.266514,-27.825937,99.643654,15.601955,-31.547647,119.316719,19.777395,-31.980621,99.31514,22.977425,-35.852703,99.481544,21.716488
73,0.608,-34.036766,99.427902,11.990614,-35.533291,119.480743,16.561527,-35.2617,119.209167,19.820169,-32.56591,120.048698,16.152433,-27.85714,99.366066,15.581512,-31.550985,119.069962,19.69017,-31.897593,99.085617,22.99305,-35.796974,99.245575,21.844706
74,0.616,-34.128586,99.1259,12.103652,-35.543304,119.215813,16.484726,-35.265415,118.954803,19.771122,-32.590179,119.789062,16.054632,-27.913469,99.102402,15.584512,-31.542072,118.801239,19.612741,-31.812271,98.835022,23.006735,-35.7486,99.012253,21.969097
75,0.625,-34.215797,98.781693,12.235352,-35.552914,118.906738,16.414309,-35.276119,118.664574,19.701504,-32.610668,119.488297,15.976866,-27.97175,98.75589,15.557544,-31.551493,118.499374,19.543047,-31.761896,98.573845,23.002207,-35.702488,98.744026,22.101219
76,0.633,-34.296776,98.490097,12.33946,-35.549435,118.644974,16.364405,-35.258537,118.408562,19.637077,-32.613979,119.226524,15.922024,-28.020838,98.453751,15.523849,-31.550779,118.235054,19.497364,-31.726669,98.303757,22.985781,-35.659698,98.499466,22.211931
77,0.641,-34.365429,98.185799,12.469498,-35.540928,118.388077,16.304411,-35.27766,118.149391,19.600822,-32.606895,118.993484,15.861532,-28.0655,98.207909,15.506495,-31.557243,117.970215,19.466574,-31.685898,98.024597,22.963539,-35.595726,98.258369,22.291065
78,0.65,-34.442825,97.871658,12.597913,-35.52113,118.110313,16.26502,-35.282429,117.884384,19.578175,-32.536339,118.658508,15.962383,-28.16877,97.861977,15.441884,-31.552681,117.676758,19.446573,-31.611433,97.724304,22.939695,-35.571014,98.001564,22.390621
79,0.658,-34.519096,97.607597,12.708857,-35.510529,117.884026,16.261171,-35.278816,117.651871,19.568008,-32.528664,118.44014,15.962452,-28.232157,97.624878,15.396913,-31.550608,117.453316,19.458044,-31.554647,97.493065,22.901663,-35.530903,97.773399,22.456396
80,0.666,-34.580059,97.365746,12.811921,-35.510445,117.667686,16.279324,-35.282272,117.417191,19.566013,-32.538204,118.253098,15.974847,-28.24618,97.421143,15.356501,-31.554478,117.233017,19.467257,-31.467405,97.236763,22.802046,-35.47905,97.543327,22.489693
81,0.675,-34.627728,97.120766,12.925805,-35.520672,117.465355,16.298559,-35.300499,117.202171,19.59767,-32.58065,118.075089,15.955745,-28.259226,97.223534,15.276994,-31.577137,117.008934,19.498449,-31.413237,96.977219,22.709652,-35.436405,97.339211,22.512106
82,0.683,-34.676777,96.956604,13.006048,-35.537598,117.302032,16.326525,-35.314674,117.023758,19.641104,-32.595871,117.930389,15.981806,-28.303236,97.071556,15.184517,-31.589052,116.820572,19.54464,-31.422728,96.788925,22.631731,-35.396629,97.132996,22.505133
83,0.691,-34.710354,96.799706,13.065854,-35.554359,117.148636,16.379593,-35.333801,116.854706,19.693602,-32.598808,117.772934,16.082712,-28.357723,96.951401,15.08273,-31.627321,116.667343,19.628084,-31.387156,96.543732,22.506863,-35.372654,96.961342,22.467411
84,0.7,-34.752304,96.655327,13.116137,-35.583206,117.009064,16.45105,-35.362816,116.702271,19.756552,-32.591568,117.593239,16.208681,-28.404676,96.810226,14.968057,-31.667042,116.477264,19.702522,-31.368092,96.405434,22.364603,-35.400246,96.773048,22.445463
85,0.708,-34.75613,96.520294,13.167988,-35.614429,116.906403,16.512766,-35.417931,116.57119,19.806717,-32.596764,117.483727,16.291876,-28.451017,96.722717,14.894192,-31.71019,116.342316,19.769249,-31.411495,96.279739,22.258772,-35.397316,96.639839,22.386221
86,0.716,-34.78846,96.423599,13.182858,-35.617226,116.798332,16.553141,-35.439922,116.464272,19.837669,-32.599182,117.386818,16.389803,-28.483463,96.667892,14.794037,-31.736544,116.222763,19.837774,-31.425554,96.084023,22.188837,-35.396969,96.497086,22.301291
87,0.725,-34.809082,96.345802,13.179074,-35.621246,116.698135,16.584366,-35.45776,116.355576,19.863934,-32.585655,117.294289,16.473965,-28.509411,96.621094,14.680852,-31.789387,116.125656,19.938364,-31.352081,95.957901,22.098148,-35.400055,96.343887,22.192652
88,0.733,-34.839321,96.292633,13.16017,-35.620411,116.640305,16.613874,-35.488308,116.277458,19.867619,-32.57365,117.24321,16.519829,-28.534721,96.578743,14.57395,-31.829067,116.05191,20.002243,-31.388176,95.852196,22.014236,-35.428452,96.273933,22.119642
89,0.741,-34.889839,96.25956,13.152668,-35.606731,116.607582,16.632645,-35.503189,116.238693,19.856209,-32.550888,117.218956,16.559305,-28.558334,96.565315,14.498457,-31.853596,116.010246,20.04635,-31.399117,95.850563,21.927498,-35.476818,96.214828,22.032631
90,0.75,-34.959976,96.276802,13.1126,-35.571609,116.608139,16.627634,-35.515228,116.227493,19.841366,-32.513351,117.218872,16.59861,-28.571819,96.572784,14.440487,-31.876564,115.989304,20.084204,-31.453239,95.833817,21.871153,-35.512707,96.190605,21.954443
91,0.758,-34.984676,96.310493,13.07515,-35.525558,116.641212,16.608961,-35.517841,116.24707,19.821175,-32.47168,117.248955,16.636606,-28.57773,96.598267,14.413172,-31.895477,116.001511,20.119471,-31.588375,95.81559,21.794563,-35.536823,96.211594,21.862946
92,0.766,-34.99823,96.385872,13.032108,-35.483261,116.683388,16.592909,-35.504707,116.299759,19.785925,-32.439346,117.269135,16.703423,-28.598938,96.660423,14.410168,-31.908617,116.047028,20.146339,-31.661945,95.839554,21.758356,-35.569035,96.25,21.787968
93,0.775,-34.989033,96.488853,12.964426,-35.446102,116.811546,16.546715,-35.492439,116.375305,19.730049,-32.392075,117.385376,16.73698,-28.606367,96.772644,14.449556,-31.931309,116.137337,20.178238,-31.74217,95.941414,21.747,-35.607536,96.343353,21.702379
94,0.783,-34.970406,96.627388,12.895897,-35.413933,116.950035,16.513147,-35.533852,116.536057,19.729776,-32.345398,117.517029,16.758305,-28.59177,96.876282,14.477078,-31.976906,116.28376,20.235184,-31.905544,96.062416,21.676453,-35.636063,96.467033,21.60187
95,0.791,-34.969006,96.830032,12.814445,-35.381683,117.097237,16.455961,-35.567814,116.711578,19.696144,-32.319965,117.678116,16.770376,-28.567255,97.022575,14.494531,-32.009514,116.444923,20.261326,-31.99881,96.174156,21.648758,-35.691349,96.65641,21.543486
96,0.8,-34.896313,97.046471,12.708591,-35.373413,117.341576,16.389898,-35.611824,116.916862,19.626699,-32.312119,117.890144,16.780706,-28.556099,97.235039,14.588086,-32.073944,116.658195,20.282879,-32.1357,96.354477,21.635426,-35.737053,96.835777,21.443535
97,0.808,-34.842567,97.293716,12.6129,-35.371666,117.573021,16.332018,-35.658722,117.128647,19.554993,-32.312714,118.109688,16.793571,-28.45631,97.421265,14.73301,-32.145222,116.856537,20.285839,-32.241455,96.453529,21.685844,-35.802879,97.067833,21.36837
98,0.816,-34.742973,97.54641,12.51479,-35.357403,117.810486,16.252308,-35.727085,117.380226,19.487745,-32.301437,118.348602,16.809418,-28.302452,97.661392,14.878299,-32.239578,117.082909,20.291388,-32.374493,96.682014,21.684027,-35.874886,97.31823,21.294308
99,0.825,-34.637512,97.872406,12.380034,-35.32864,118.12104,16.180286,-35.800095,117.674461,19.387064,-32.294933,118.658325,16.834864,-28.201984,97.978813,14.977355,-32.345276,117.385193,20.325148,-32.587589,97.146187,21.734446,-36.012318,97.656792,21.235485
100,0.833,-34.524982,98.186783,12.271908,-35.313641,118.420708,16.095854,-35.865738,117.963234,19.284668,-32.306629,118.970261,16.853788,-28.112961,98.299362,15.070562,-32.445984,117.704681,20.369097,-32.756458,97.439842,21.702034,-36.083992,97.911133,21.12294
101,0.841,-34.407669,98.537102,12.152744,-35.296303,118.756447,16.006905,-35.949951,118.288742,19.186611,-32.324528,119.326576,16.859085,-28.013914,98.649406,15.190899,-32.533642,118.062088,20.442163,-32.911499,97.742584,21.699636,-36.195656,98.262718,21.065243
102,0.85,-34.237041,98.950996,12.042466,-35.281487,119.17318,15.91239,-36.053696,118.693008,19.045322,-32.439312,119.805077,16.737791,-27.91065,99.060944,15.427325,-32.638607,118.516266,20.489267,-33.078564,98.15004,21.667814,-36.323582,98.701233,20.985266
103,0.858,-34.095921,99.382324,11.925038,-35.267624,119.590019,15.836589,-36.170887,119.103409,18.929108,-32.42342,120.178558,16.876575,-28.116852,99.425804,15.762936,-32.83289,118.898987,20.479994,-33.246216,98.571007,21.618519,-36.42382,99.0942,20.905376
104,0.866,-33.930706,99.830704,11.830002,-35.273621,120.027992,15.710979,-36.268951,119.493034,18.771278,-32.43367,120.54776,16.952103,-28.117582,99.849174,15.945392,-33.069824,119.296906,20.459848,-33.39082,99.005112,21.560102,-36.531731,99.520912,20.826935
105,0.875,-33.737644,100.364555,11.729525,-35.254639,120.532227,15.600575,-36.413868,119.99366,18.594501,-32.515343,121.059906,16.981108,-28.026325,100.414452,16.149054,-33.402039,119.782295,20.429571,-33.568512,99.563141,21.517925,-36.648895,100.029099,20.719809
106,0.883,-33.534115,100.849747,11.635736,-35.265827,121.009804,15.466057,-36.541832,120.446083,18.408009,-32.663013,121.595718,16.938078,-27.886318,100.964478,16.356215,-33.684696,120.256126,20.409418,-33.717342,100.039413,21.465687,-36.781525,100.523529,20.632406
107,0.891,-33.336632,101.355133,11.548912,-35.284248,121.522606,15.325318,-36.740662,120.962334,18.238459,-32.785324,122.110451,16.968164,-27.841932,101.505043,16.569435,-33.989349,120.765305,20.365234,-33.8741,100.573662,21.444277,-36.901619,101.01091,20.540466
108,0.9,-33.077232,101.950363,11.470841,-35.267757,122.149406,15.192616,-36.970966,121.564255,18.010723,-32.949543,122.726547,16.982641,-27.785311,102.162872,16.824881,-34.345924,121.37326,20.310038,-34.045265,101.183571,21.431633,-37.056141,101.613091,20.427181
109,0.908,-32.819157,102.518288,11.421951,-35.268284,122.717926,15.030161,-37.166954,122.103561,17.78083,-33.103794,123.286102,17.000916,-27.642485,102.827599,17.09873,-34.718994,121.949913,20.256405,-34.202251,101.771225,21.404726,-37.204327,102.169731,20.325874
110,0.916,-32.527809,103.092384,11.412041,-35.332668,123.305466,14.897348,-37.353497,122.674492,17.514076,-33.262802,123.879097,17.042412,-27.608919,103.499374,17.389879,-35.096367,122.552025,20.18927,-34.367241,102.381424,21.376566,-37.344025,102.756668,20.204119
111,0.925,-32.178032,103.800415,11.44647,-35.358421,124.024429,14.801365,-37.521065,123.352203,17.23802,-33.465263,124.552605,17.106625,-27.640141,104.261002,17.719933,-35.494541,123.220253,20.09992,-34.549732,103.092918,21.365761,-37.532063,103.465782,20.06937
112,0.933,-31.940231,104.484726,11.511918,-35.338032,124.74424,14.740446,-37.620602,124.003372,16.997614,-33.61021,125.18631,17.232267,-27.651987,104.958977,18.002197,-35.849064,123.832336,20.052572,-34.740646,103.735123,21.329617,-37.742279,104.155937,19.934938
113,0.941,-31.730429,105.200005,11.577649,-35.256001,125.448929,14.71671,-37.686996,124.672104,16.764509,-33.713966,125.848244,17.410357,-27.707758,105.626343,18.364977,-36.202759,124.478554,20.016804,-34.953926,104.39254,21.289148,-37.965561,104.837547,19.797482
114,0.95,-31.508059,106.020355,11.665043,-35.140564,126.244339,14.773548,-37.726723,125.448845,16.511164,-33.816929,126.61692,17.667953,-27.700468,106.475662,18.69187,-36.573326,125.233307,19.953968,-35.228111,105.149506,21.227751,-38.246746,105.632782,19.602932
115,0.958,-31.305965,106.744408,11.730945,-34.946392,126.941666,14.884992,-37.750053,126.189598,16.280582,-33.861782,127.335274,17.846403,-27.720156,107.23307,18.960125,-36.872658,125.913368,19.887953,-35.512703,105.828072,21.154577,-38.50856,106.372452,19.377481
116,0.966,-31.122425,107.485428,11.80707,-34.760876,127.642189,14.987951,-37.732288,126.937378,16.079859,-33.945885,128.062469,18.095598,-27.76722,107.994736,19.222931,-37.163754,126.673424,19.825228,-35.838566,106.525627,21.062904,-38.774361,107.117256,19.095387
117,0.975,-30.889385,108.341995,11.910124,-34.517704,128.45636,15.112731,-37.678478,127.800026,15.870367,-34.09272,128.888855,18.308884,-28.309956,108.730659,19.930876,-37.403385,127.532852,19.669371,-36.301128,107.377853,20.953442,-39.072975,107.994041,18.711777
118,0.983,-30.723083,109.124413,11.976074,-34.322582,129.185043,15.197714,-37.405624,128.515976,15.794547,-34.236576,129.594391,18.425741,-28.499306,109.551132,20.460915,-37.58403,128.314896,19.45047,-36.755848,108.141197,20.817183,-39.359665,108.800041,18.345375
119,0.991,-30.509285,109.921455,12.091885,-34.119915,129.959915,15.261562,-37.253742,129.304749,15.608746,-34.344967,130.352127,18.460888,-28.684742,110.379433,20.974401,-37.70293,129.074188,19.167885,-37.264462,108.929085,20.678871,-39.927467,109.725693,18.068647
120,1,-30.292076,110.826538,12.245787,-33.876236,130.85759,15.327451,-37.068272,130.231003,15.292125,-34.429871,131.211624,18.517347,-29.153406,111.241928,21.584278,-37.817772,129.971024,18.805275,-37.881191,109.884872,20.453735,-40.45179,110.692528,17.701693
121,1.008,-30.074984,111.623596,12.413113,-33.684193,131.616623,15.394531,-36.881371,131.074173,15.045081,-34.491726,132.025497,18.513744,-29.647917,112.056709,22.172915,-37.865753,130.768524,18.454088,-38.414692,110.723244,20.219147,-40.803505,111.576332,17.254711
122,1.016,-29.861673,112.405304,12.636147,-33.431896,132.405075,15.473978,-36.609531,131.905182,14.872106,-34.490089,132.82547,18.555408,-30.163803,112.906418,22.788755,-37.904934,131.598083,18.124275,-38.961254,111.603798,19.954775,-41.179615,112.539948,16.78676
123,1.024,-29.622803,113.17247,12.884492,-33.177612,133.191284,15.611487,-36.298706,132.704193,14.782357,-34.47575,133.607178,18.569487,-30.763536,113.790749,23.419144,-37.902229,132.434341,17.799664,-39.458706,112.476303,19.612213,-41.394379,113.34761,16.058371
124,1.033,-29.388025,114.02018,13.180238,-32.906414,134.036911,15.824607,-35.932552,133.618591,14.664003,-34.463612,134.459503,18.675194,-31.488441,114.755318,24.093393,-37.871288,133.350357,17.482943,-40.040302,113.462135,19.215658,-41.633621,114.401497,15.296753
125,1.041,-29.200531,114.735291,13.527192,-32.674847,134.774048,16.114773,-35.546623,134.334747,14.72773,-34.471943,135.17627,18.801554,-32.200771,115.59082,24.668068,-37.799152,134.136978,17.288231,-40.642956,114.36187,18.861803,-41.737911,115.462364,14.624874
126,1.05,-29.058971,115.512001,13.923044,-32.418232,135.552963,16.516218,-35.15493,135.15361,14.822263,-34.471466,135.933197,19.002155,-33.101799,116.507248,25.236713,-37.677761,134.996231,17.095604,-41.386955,115.373756,18.407635,-41.950138,116.615868,13.896572
127,1.058,-28.945738,116.162827,14.352028,-32.253109,136.186188,16.938164,-34.869305,135.881409,14.931313,-34.533691,136.553818,19.192059,-33.987312,117.292877,25.694448,-37.581417,135.724625,17.002144,-42.059155,116.262245,17.956732,-42.189068,117.66124,13.201446
128,1.066,-28.831043,116.797165,14.732604,-32.129208,136.828003,17.389421,-34.60577,136.596451,15.0823,-34.600769,137.176102,19.438925,-34.908558,118.033623,26.09536,-37.450172,136.401337,16.984268,-42.641277,117.142036,17.375023,-42.371605,118.721817,12.465927
129,1.074,-28.728304,117.408981,15.089878,-32.052761,137.460587,17.863907,-34.417492,137.289886,15.267076,-34.690922,137.762589,19.681086,-35.856243,118.717659,26.426071,-37.3643,137.073898,16.984753,-43.185043,118.042435,16.762144,-42.489723,119.806053,11.681003
130,1.083,-28.601208,118.086136,15.529119,-32.041977,138.175537,18.403997,-34.310497,138.112686,15.423687,-34.860531,138.451813,19.951809,-36.944736,119.467163,26.731073,-37.311909,137.812729,17.023167,-43.773865,119.0737,16.007431,-42.53672,121.031105,10.785498
131,1.091,-28.533333,118.699333,15.935413,-32.065807,138.806778,18.863388,-34.276577,138.818954,15.57321,-35.056644,139.06041,20.204466,-37.96777,120.141014,26.890356,-37.310413,138.456345,17.090515,-44.253517,120.015015,15.274912,-42.477127,122.157333,9.960654
132,1.1,-28.5453,119.399307,16.453053,-32.118431,139.44162,19.333971,-34.281342,139.60051,15.766684,-35.341698,139.735275,20.47751,-39.091263,120.868752,26.978966,-37.326321,139.18573,17.142994,-44.694221,121.098495,14.418907,-42.316471,123.453728,8.998495
133,1.108,-28.641731,120.001198,17.017193,-32.213551,140.08432,19.610538,-34.037445,139.91539,16.582996,-35.614693,140.326996,20.729851,-40.057369,121.509705,26.957623,-37.352886,139.800644,17.220337,-44.970673,122.06926,13.605436,-42.075176,124.647125,8.144394
134,1.116,-28.692749,120.601944,17.598698,-32.822624,140.581696,20.344084,-34.010956,140.427536,16.964985,-35.877949,140.912033,20.959707,-41.027115,122.158012,26.917204,-37.42115,140.422821,17.319397,-45.148064,123.026886,12.791221,-41.786476,125.789772,7.315636
135,1.125,-28.753809,121.267975,18.224373,-33.089199,141.15744,20.824081,-34.002296,140.99794,17.402401,-36.171486,141.565063,21.145817,-42.045956,122.807022,26.731195,-37.502651,141.101425,17.458055,-45.267471,124.072113,11.841559,-40.996464,126.958046,6.540635
136,1.133,-28.91044,121.78801,18.784492,-33.289207,141.708679,21.212078,-34.008804,141.470779,17.730886,-36.36974,142.103546,21.330675,-42.904671,123.362602,26.526495,-37.52636,141.632523,17.537485,-45.265766,124.995842,10.950826,-40.192768,127.92363,5.957907
137,1.141,-29.007498,122.313599,19.36705,-33.503395,142.234451,21.578884,-33.998482,141.8974,18.070501,-36.573418,142.623886,21.494179,-43.760975,123.932693,26.313274,-37.552082,142.123962,17.644014,-45.154587,125.854019,10.117522,-39.372093,128.87323,5.415099
138,1.149,-29.12726,122.785614,20.000891,-33.710117,142.713562,21.936298,-33.98111,142.272003,18.392681,-36.768456,143.09346,21.653002,-44.587719,124.467941,26.070923,-37.586739,142.551605,17.747602,-44.996563,126.679352,9.296649,-38.479008,129.763397,4.958778
139,1.158,-29.287678,123.265282,20.74774,-33.936436,143.212204,22.289902,-33.971916,142.654587,18.699186,-36.972393,143.608398,21.787476,-45.501751,125.049225,25.78252,-37.622234,142.982971,17.822834,-44.775116,127.55439,8.392958,-37.450108,130.716049,4.526868
140,1.166,-29.455006,123.625351,21.431446,-34.143044,143.635757,22.589766,-33.962349,142.947983,18.91901,-37.118248,143.984314,21.891783,-46.255474,125.53083,25.507528,-37.653389,143.319946,17.864714,-44.493301,128.292007,7.605019,-36.597736,131.543869,4.181929
141,1.175,-29.668293,124.007713,22.200615,-34.312798,144.066971,22.850887,-33.910084,143.181366,19.153717,-37.249809,144.360962,21.979464,-47.066875,126.07653,25.222519,-37.646469,143.668869,17.854319,-44.10532,129.072083,6.739896,-35.510792,132.267365,4.036141
142,1.183,-29.872995,124.279144,22.876389,-34.488899,144.410645,23.072676,-33.842339,143.385086,19.279997,-37.341911,144.651001,22.024738,-47.77829,126.564827,24.942898,-37.601498,143.942108,17.851509,-43.717251,129.694443,6.029058,-34.598179,132.836075,3.925178
143,1.191,-30.121336,124.487808,23.57189,-34.613712,144.727112,23.182671,-33.751621,143.545898,19.339285,-37.376141,144.882889,22.018278,-48.461926,127.072609,24.66581,-37.51939,144.183777,17.782476,-43.308849,130.263885,5.294741,-33.680988,133.29747,3.884114
144,1.199,-30.409517,124.654625,24.278444,-34.702469,145.025177,23.195974,-33.642284,143.704544,19.344027,-37.359325,145.057007,21.98444,-49.085224,127.587555,24.392923,-37.416286,144.418518,17.694986,-42.868717,130.790253,4.630507,-32.789631,133.681961,3.882413
145,1.208,-30.752945,124.820618,25.072039,-34.740292,145.335037,23.146864,-33.788185,143.739578,19.428854,-37.312584,145.215103,21.891018,-49.783226,128.181763,24.112602,-37.245708,144.626938,17.554897,-42.326252,131.310654,3.89696,-31.816841,134.020782,3.931985
146,1.216,-31.047737,124.935059,25.755163,-34.748783,145.5457,23.109678,-33.757252,143.772552,19.404882,-37.240479,145.285873,21.785236,-50.3708,128.724457,23.899094,-37.069042,144.799042,17.391211,-41.849003,131.711197,3.306086,-30.947525,134.19725,4.026357
147,1.225,-31.424019,125.093285,26.548052,-34.689331,145.653854,22.990849,-33.651218,143.818634,19.306906,-37.157322,145.343674,21.648552,-50.942741,129.310699,23.622204,-36.858116,144.951736,17.15103,-41.285091,132.09111,2.645867,-29.994949,134.294617,4.163835
148,1.233,-31.749519,125.219833,27.239599,-34.638519,145.63887,22.846668,-33.606293,143.815186,19.224398,-37.090839,145.343445,21.534794,-51.397938,129.765503,23.399801,-36.706139,145.012253,16.928173,-40.74342,132.333694,2.131652,-29.131504,134.250824,4.325189
149,1.241,-32.06086,125.350662,27.927435,-34.567078,145.554214,22.727188,-33.565445,143.709106,19.133013,-37.05949,145.265625,21.358898,-51.856277,130.153519,23.1591,-36.536701,144.986252,16.658632,-40.182068,132.524994,1.636713,-28.282553,134.095184,4.500988
150,1.25,-32.391567,125.463829,28.685534,-34.477551,145.338257,22.582317,-33.527122,143.529984,19.057611,-37.063454,145.102676,21.165426,-52.354355,130.524414,22.892302,-36.343102,144.904984,16.358156,-39.530518,132.657639,1.102013,-27.365309,133.803482,4.749908
151,1.258,-32.698761,125.553932,29.3885,-34.439754,145.129929,22.469475,-33.520241,143.293579,18.980162,-37.114941,144.950867,20.997663,-52.812092,130.835556,22.669441,-36.144127,144.761978,16.11208,-38.958801,132.726303,0.649207,-26.562531,133.444336,4.999048
152,1.266,-33.003647,125.635597,30.102577,-34.478512,144.899109,22.370377,-33.500969,142.990341,18.916838,-37.210548,144.764221,20.834877,-53.296246,131.102249,22.464104,-35.962025,144.552094,15.909728,-38.39962,132.707413,0.260669,-25.782272,132.98996,5.280979
153,1.274,-33.268719,125.678612,30.797588,-34.545879,144.599258,22.293901,-33.470905,142.596786,18.850058,-37.344097,144.52446,20.671469,-53.770523,131.335861,22.264837,-35.767494,144.295029,15.729467,-37.842846,132.621735,-0.097446,-25.036636,132.476776,5.589125
154,1.283,-33.575867,125.682877,31.585255,-34.63232,144.226196,22.244242,-33.437832,142.109558,18.774378,-37.489738,144.213684,20.473558,-54.261421,131.619293,22.009806,-35.600235,143.952408,15.561989,-37.261562,132.530396,-0.501788,-24.20635,131.83757,5.987304
155,1.291,-33.844303,125.651955,32.283531,-34.71574,143.831253,22.217789,-33.331848,141.600189,18.66087,-37.607109,143.863205,20.280602,-54.691906,131.867691,21.745392,-35.478088,143.599899,15.437868,-36.80788,132.391205,-0.835631,-23.531256,131.19458,6.396034
156,1.3,-34.127743,125.585236,33.056473,-34.82803,143.291595,22.18173,-33.169575,141.001648,18.600954,-37.739208,143.451401,20.03554,-55.157299,132.130463,21.380381,-35.337242,143.141251,15.289675,-36.322113,132.166809,-1.173384,-22.753784,130.42247,6.875396
157,1.308,-34.315479,125.482117,33.680119,-34.860004,142.735931,22.110836,-33.07085,140.406052,18.510534,-37.809746,143.001419,19.784191,-55.541672,132.334503,20.937468,-35.207451,142.695801,15.15952,-35.921303,131.953461,-1.465985,-22.09477,129.677368,7.343812
158,1.316,-34.489758,125.350418,34.297798,-34.772255,142.080185,21.964031,-32.837536,139.792572,18.410761,-37.851154,142.483582,19.519783,-55.901791,132.498886,20.371372,-35.073524,142.19751,14.992614,-35.540947,131.714386,-1.772306,-21.452682,128.909058,7.854537
159,1.324,-34.633732,125.187279,34.864395,-34.700073,141.381409,21.916946,-32.702282,139.138199,18.31502,-37.876308,141.860016,19.186264,-56.189896,132.624237,19.745083,-34.968548,141.68927,14.842463,-35.18346,131.44632,-2.066972,-20.830462,128.12677,8.378145
160,1.333,-34.777596,124.957405,35.473167,-34.583473,140.533997,21.825516,-32.420128,138.396347,18.177938,-37.859833,141.044983,18.79973,-56.457771,132.66008,18.93083,-34.839935,141.038239,14.669264,-34.83147,131.065231,-2.379947,-20.136662,127.222916,8.982412
161,1.341,-34.878208,124.681488,35.985592,-34.619392,139.64035,21.834156,-32.271637,137.646027,18.052769,-37.869541,140.277252,18.502457,-56.674755,132.62529,18.154804,-34.704311,140.393448,14.551962,-34.534195,130.656189,-2.648799,-19.527002,126.383545,9.569172
162,1.35,-34.977455,124.336945,36.535557,-34.513836,138.618912,21.732374,-31.999088,136.795029,17.850328,-37.876465,139.351547,18.189493,-56.835674,132.469101,17.296106,-34.566574,139.627045,14.446527,-34.200737,130.142685,-2.938496,-18.840858,125.415131,10.251863
163,1.358,-35.057049,123.993423,36.972321,-34.407871,137.605087,21.585297,-31.774506,136.010727,17.660831,-37.784275,138.379868,17.922779,-56.966026,132.262878,16.544992,-34.41114,138.873322,14.437998,-33.888931,129.644577,-3.200579,-18.215118,124.517014,10.923071
