,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118
,ID,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133,-31.907698,102.958786,12.407253,-34.368816,123.073021,16.454479,-35.173645,122.763809,19.678802,-31.407646,123.455574,17.229454,-27.387732,102.740654,17.532152,-31.655172,122.433434,20.807413,-33.467911,102.423584,22.949957,-36.616879,102.705276,20.494787
17,0.141,-31.907356,102.963089,12.394854,-34.380047,123.082184,16.431145,-35.177818,122.770622,19.657263,-31.413382,123.461983,17.20083,-27.38316,102.751556,17.518133,-31.644926,122.463371,20.807493,-33.469456,102.439484,22.947237,-36.618034,102.711365,20.489609
18,0.15,-31.899967,102.965996,12.377308,-34.390541,123.090073,16.40333,-35.183521,122.778069,19.633318,-31.423744,123.472389,17.165352,-27.377066,102.76281,17.500799,-31.604973,122.510948,20.821371,-33.468582,102.453659,22.942139,-36.606781,102.731033,20.490591
19,0.158,-31.901943,102.969398,12.36639,-34.400757,123.096375,16.379305,-35.186737,122.785011,19.608,-31.435621,123.480965,17.134241,-27.372581,102.772141,17.482182,-31.517681,122.569443,20.822174,-33.459698,102.468216,22.939812,-36.592621,102.739609,20.491592
20,0.166,-31.906391,102.972076,12.357547,-34.414757,123.112015,16.344025,-35.198227,122.790146,19.565456,-31.445026,123.488388,17.102255,-27.366295,102.781883,17.464308,-31.437889,122.598717,20.806025,-33.449192,102.481163,22.939104,-36.582157,102.746986,20.494137
21,0.175,-31.911057,102.973923,12.349561,-34.43084,123.116646,16.313078,-35.198212,122.792641,19.536572,-31.450615,123.492828,17.069147,-27.37113,102.786293,17.43774,-31.42617,122.621788,20.779961,-33.415623,102.486359,22.923931,-36.572784,102.751732,20.498749
22,0.183,-31.917202,102.972458,12.347762,-34.43821,123.115623,16.290075,-35.198643,122.79525,19.518139,-31.453154,123.491333,17.033587,-27.367702,102.792534,17.41839,-31.4172,122.621727,20.733133,-33.384403,102.493057,22.92358,-36.564728,102.754845,20.506687
23,0.191,-31.924852,102.965782,12.345563,-34.442314,123.112892,16.268755,-35.199459,122.794029,19.499861,-31.456476,123.487267,17.003193,-27.371771,102.791336,17.397329,-31.414341,122.629272,20.68531,-33.357002,102.495781,22.921869,-36.555134,102.754974,20.5124
24,0.2,-31.934711,102.953804,12.343314,-34.44434,123.107208,16.249428,-35.198376,122.792564,19.47859,-31.460651,123.483849,16.976152,-27.367554,102.78891,17.373734,-31.507391,122.59536,20.621693,-33.327084,102.495682,22.919388,-36.541,102.752838,20.518633
25,0.208,-31.945265,102.941444,12.339185,-34.446346,123.100159,16.229258,-35.195965,122.789261,19.460901,-31.460949,123.478867,16.954891,-27.364788,102.785858,17.349972,-31.615082,122.535995,20.56926,-33.298382,102.490913,22.912075,-36.524677,102.74662,20.524389
26,0.216,-31.956078,102.932487,12.325033,-34.447876,123.091721,16.211031,-35.195423,122.785637,19.446966,-31.463587,123.472404,16.931189,-27.359463,102.78318,17.32683,-31.67012,122.491623,20.507612,-33.272144,102.487541,22.902599,-36.510685,102.738663,20.533218
27,0.225,-31.968826,102.922737,12.31026,-34.451122,123.076889,16.196667,-35.19508,122.776985,19.430456,-31.472795,123.458229,16.901646,-27.306786,102.793274,17.276318,-31.663683,122.451355,20.459192,-33.234016,102.485428,22.883596,-36.491714,102.726295,20.541124
