,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072
,ID,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,0.408,-120.483253,133.931198,36.924561,-121.100639,130.834549,3.227964,-122.239746,135.366608,-32.34391,-128.111496,46.846001,2.9448,-123.491737,114.013313,-9.882571,-126.927185,72.522179,10.080652,-124.806061,92.460785,33.784275,-127.829681,51.275723,33.234615,-127.35791,53.890335,-31.677605,-126.329544,93.773544,-29.20694
50,0.416,-120.201019,133.954391,36.932476,-120.847031,130.864029,3.238971,-121.936058,135.4086,-32.349106,-127.960953,46.903854,2.926305,-123.426758,114.077065,-9.85647,-126.88279,72.587898,10.073568,-124.659958,92.514893,33.789616,-127.702568,51.325096,33.212368,-127.28717,53.947865,-31.691624,-126.186516,93.828079,-29.234272
51,0.425,-119.890144,133.988098,36.919788,-120.528671,130.904282,3.216752,-121.600113,135.468979,-32.384674,-127.85041,46.970631,2.887323,-123.352478,114.131569,-9.846303,-126.820503,72.668961,10.084383,-124.530457,92.536942,33.80468,-127.585892,51.366573,33.18716,-127.207901,54.030357,-31.717279,-125.998161,93.898643,-29.233376
52,0.433,-119.585144,134.025543,36.891579,-120.260979,130.931961,3.187604,-121.268776,135.520721,-32.408203,-127.740181,47.059582,2.859519,-123.282875,114.187218,-9.854223,-126.784065,72.738991,10.069015,-124.367455,92.576172,33.817795,-127.480042,51.414825,33.160477,-127.116951,54.124462,-31.728245,-125.825485,93.986717,-29.248837
53,0.441,-119.268967,134.059769,36.869667,-119.972183,130.95488,3.181468,-120.915413,135.588715,-32.40012,-127.616623,47.13884,2.820779,-123.173439,114.26886,-9.841699,-126.738235,72.83876,10.052691,-124.198509,92.620697,33.826073,-127.371918,51.469398,33.126129,-127.051651,54.185974,-31.743914,-125.668655,94.066689,-29.262424
54,0.45,-118.893829,134.109039,36.86298,-119.62513,130.976578,3.165568,-120.502686,135.65715,-32.413197,-127.519753,47.197487,2.780046,-123.050179,114.358986,-9.820823,-126.698662,72.925224,10.022501,-124.027565,92.671463,33.823765,-127.232323,51.542538,33.088795,-126.964127,54.270798,-31.78607,-125.45562,94.167,-29.250938
55,0.458,-118.556526,134.16658,36.830116,-119.267502,131.020599,3.140867,-120.106575,135.726135,-32.422905,-127.418961,47.312248,2.760611,-122.903587,114.432167,-9.814297,-126.615501,73.009964,9.968589,-123.822746,92.734909,33.812267,-127.10508,51.616184,33.054413,-126.84549,54.377819,-31.837992,-125.291122,94.232445,-29.242924
56,0.466,-118.19738,134.228409,36.78764,-118.937721,131.068405,3.135922,-119.702187,135.785919,-32.44965,-127.326691,47.408535,2.725863,-122.766113,114.512611,-9.806699,-126.495872,73.113518,9.925402,-123.594543,92.813316,33.768047,-126.980713,51.692539,33.021996,-126.747963,54.482426,-31.89992,-125.099854,94.324997,-29.23514
57,0.475,-117.783226,134.30481,36.77562,-118.553986,131.112137,3.092152,-119.22728,135.875092,-32.463924,-127.205467,47.535469,2.686211,-122.570694,114.603935,-9.823931,-126.336143,73.229446,9.901131,-123.338127,92.912712,33.73222,-126.847687,51.789581,32.99324,-126.650406,54.577278,-31.958035,-124.827454,94.438866,-29.262342
58,0.483,-117.402519,134.386856,36.698334,-118.168678,131.165283,3.068509,-118.784714,135.939697,-32.486801,-127.141098,47.626366,2.673049,-122.378944,114.695702,-9.836719,-126.195396,73.360611,9.876748,-123.103058,92.996994,33.724976,-126.729347,51.907547,32.951019,-126.550522,54.668503,-32.000351,-124.5746,94.525116,-29.313374
59,0.491,-117.006012,134.482437,36.68095,-117.777428,131.23436,3.033183,-118.335724,136.006683,-32.518856,-127.065674,47.793625,2.644327,-122.130013,114.795685,-9.860319,-126.111603,73.490463,9.816519,-122.818985,93.095795,33.710968,-126.618469,52.021767,32.908337,-126.448997,54.780853,-32.045818,-124.295029,94.617966,-29.329613
60,0.5,-116.551376,134.591644,36.665459,-117.302216,131.310532,2.990242,-117.815506,136.101334,-32.538567,-126.989594,47.944431,2.610291,-121.808777,114.918327,-9.908705,-125.98188,73.70076,9.750156,-122.531471,93.241272,33.622658,-126.491997,52.154411,32.868546,-126.366188,54.911457,-32.069107,-123.987724,94.745621,-29.374222
61,0.508,-116.132805,134.695099,36.599205,-116.877663,131.382431,2.983464,-117.322495,136.197906,-32.553619,-126.907349,48.082428,2.557649,-121.773788,114.98793,-10.032389,-125.874985,73.883408,9.66576,-122.240791,93.361893,33.562687,-126.378288,52.288437,32.840729,-126.304367,55.053581,-32.100452,-123.7043,94.860893,-29.410025
62,0.516,-115.705963,134.817886,36.567886,-116.443611,131.452423,2.953214,-116.826881,136.287659,-32.573345,-126.839813,48.279919,2.53163,-121.557045,115.087494,-10.069963,-125.740799,74.104454,9.581415,-121.924301,93.48114,33.536716,-126.260521,52.424026,32.800831,-126.21524,55.230492,-32.137947,-123.396133,94.994064,-29.431736
63,0.525,-115.187622,134.955551,36.5233,-115.918526,131.551956,2.920113,-116.265976,136.391556,-32.592644,-126.796234,48.463448,2.53497,-121.174873,115.247429,-10.134529,-125.611473,74.33844,9.526261,-121.519745,93.646568,33.484745,-126.113571,52.58633,32.766747,-126.124725,55.38937,-32.164482,-123.026909,95.148697,-29.478403
64,0.533,-114.74881,135.084122,36.490013,-115.413406,131.6577,2.88962,-115.76371,136.491089,-32.624523,-126.716629,48.692154,2.482011,-120.798645,115.382935,-10.138757,-125.530609,74.543648,9.524469,-121.19278,93.777451,33.455238,-125.983093,52.767159,32.738323,-126.058235,55.526699,-32.196228,-122.703781,95.262642,-29.511639
65,0.541,-114.27066,135.235779,36.445042,-114.954147,131.765503,2.871175,-115.241989,136.613617,-32.631466,-126.612816,48.862068,2.469327,-120.382561,115.535332,-10.168178,-125.410614,74.749992,9.503305,-120.839096,93.916885,33.412628,-125.848495,52.949322,32.707897,-125.976585,55.679058,-32.223339,-122.364113,95.398071,-29.551086
66,0.55,-113.751778,135.380966,36.433498,-114.381622,131.889008,2.831651,-114.642609,136.741638,-32.667461,-126.489655,49.117016,2.452323,-119.97998,115.680901,-10.207541,-125.289642,75.017181,9.492379,-120.374123,94.120308,33.352642,-125.708237,53.154797,32.675568,-125.876259,55.881542,-32.256927,-121.946487,95.563065,-29.597197
67,0.558,-113.257309,135.544128,36.388844,-113.871361,132.02182,2.823952,-114.100197,136.851044,-32.689812,-126.390991,49.333424,2.429518,-119.57238,115.821899,-10.240036,-125.184921,75.252495,9.464155,-119.996452,94.269409,33.329067,-125.597588,53.320885,32.661388,-125.78511,56.066681,-32.289047,-121.567154,95.690109,-29.634874
68,0.566,-112.775818,135.683777,36.403255,-113.344452,132.15126,2.81268,-113.538216,136.97583,-32.699184,-126.290596,50.599133,1.779624,-119.121445,115.971283,-10.273745,-125.045082,75.529549,9.404099,-119.575653,94.434944,33.271729,-125.4552,53.522141,32.638969,-125.67897,56.205265,-32.342632,-121.171677,95.833099,-29.688612
69,0.575,-112.223351,135.868942,36.381424,-112.74456,132.307648,2.79735,-112.910187,137.099045,-32.72578,-126.202164,50.90667,1.726654,-118.593468,116.142059,-10.279694,-124.973503,75.840691,9.367481,-119.123459,94.623337,33.242149,-125.314781,53.740841,32.605709,-125.524643,56.3843,-32.398327,-120.72229,95.980171,-29.729897
70,0.583,-111.711082,136.037262,36.371277,-112.219574,132.444412,2.794177,-112.338219,137.207947,-32.748634,-126.196548,51.077377,1.780468,-118.115929,116.288551,-10.309065,-125.126839,76.013161,9.406401,-118.710091,94.788307,33.220486,-125.162277,53.951443,32.580406,-125.410057,56.539196,-32.457977,-120.310272,96.12394,-29.775467
71,0.591,-111.194267,136.191971,36.368351,-111.66246,132.597107,2.777577,-111.751022,137.314529,-32.769672,-126.158432,51.305038,1.821197,-117.618469,116.443764,-10.310734,-124.996078,76.330521,9.377522,-118.275032,94.959084,33.176868,-125.02916,54.147308,32.562672,-125.276413,56.698669,-32.509464,-119.892456,96.249397,-29.804457
72,0.6,-110.582649,136.384171,36.365623,-111.016045,132.7686,2.759241,-111.090408,137.442963,-32.782501,-126.102173,51.633186,1.845798,-117.035278,116.610909,-10.318797,-124.893822,76.675026,9.347314,-117.802223,95.159439,33.157597,-124.873436,54.394829,32.546482,-125.129234,56.885509,-32.55653,-119.373962,96.424194,-29.841969
73,0.608,-110.091003,136.53772,36.368267,-110.437668,132.932755,2.760308,-110.490593,137.549316,-32.792732,-126.288269,51.877911,1.83717,-116.552696,116.751518,-10.326708,-124.793648,77.027008,9.32369,-117.308914,95.334846,33.148952,-124.784111,54.585777,32.541176,-124.997208,57.058334,-32.564301,-118.949104,96.574593,-29.840385
74,0.616,-109.533218,136.719986,36.355816,-109.861008,133.102341,2.773153,-109.896065,137.656921,-32.794575,-126.222931,52.221756,1.830903,-115.966461,116.910934,-10.306292,-124.719551,77.366638,9.278495,-116.777374,95.550415,33.123299,-124.674049,54.784618,32.522381,-124.859131,57.257534,-32.590729,-118.518997,96.711372,-29.879972
75,0.625,-108.956978,136.918503,36.365093,-109.209129,133.273346,2.787831,-109.227814,137.769012,-32.785446,-126.145599,52.594757,1.826089,-115.355469,117.08535,-10.303905,-124.601433,77.773369,9.236619,-116.640282,95.657471,33.04044,-124.448204,55.056244,32.506283,-124.694527,57.467979,-32.601006,-118.3736103,96.79559718,-29.88114342
76,0.633,-108.415367,137.094193,36.365952,-108.62796,133.429367,2.78722,-108.608459,137.874344,-32.789955,-126.054131,52.899551,1.834546,-114.776276,117.248871,-10.258713,-124.545876,78.13176,9.220729,-116.121437,95.919693,32.973488,-124.268326,55.281471,32.507534,-124.555,57.645355,-32.611591,-117.8359098,96.99623664,-29.88249638
77,0.641,-107.901657,137.276108,36.377415,-108.055099,133.580338,2.784238,-107.997131,137.957718,-32.788074,-126.008904,53.197163,1.838553,-114.230202,117.394325,-10.263012,-124.539993,78.427467,9.220244,-115.721786,96.120331,32.959232,-124.070778,55.519302,32.505436,-124.366333,57.827168,-32.599346,-117.421735,97.14975504,-29.88110037
78,0.65,-107.314919,137.509888,36.405392,-107.415817,133.747787,2.789108,-107.309196,138.093552,-32.756516,-125.932457,53.520672,1.850168,-113.575111,117.554092,-10.209934,-124.492668,78.744888,9.251813,-115.183891,96.360611,32.875107,-123.810532,55.804653,32.515976,-124.125626,58.025528,-32.614193,-116.8642923,97.33360556,-29.88279303
79,0.658,-106.767738,137.695496,36.387474,-106.822159,133.892197,2.803538,-106.718781,138.202042,-32.756691,-125.889732,53.805016,1.870361,-113.001671,117.695305,-10.208043,-124.532745,78.983559,9.310341,-114.784195,96.536194,32.828819,-123.594925,56.033524,32.510273,-123.892387,58.21722,-32.618462,-116.4500708,97.46795309,-29.88327972
80,0.666,-106.238434,137.87117,36.42485,-106.210052,134.064514,2.841321,-106.124329,138.31897,-32.747173,-125.76004,54.097221,1.909019,-112.415672,117.82653,-10.153885,-124.465874,79.227379,9.355662,-114.323746,96.740814,32.768116,-123.323593,56.280231,32.526276,-123.661102,58.391335,-32.603027,-115.9728886,97.62451832,-29.88152003
81,0.675,-105.612526,138.089676,36.395012,-105.524872,134.247513,2.864439,-105.455185,138.436249,-32.733276,-125.673851,54.422043,1.951474,-111.734863,117.990425,-10.149999,-124.37719,79.498795,9.413456,-113.804482,96.98407,32.735764,-123.014511,56.53788,32.539112,-123.379494,58.596443,-32.551907,-115.4347539,97.81064593,-29.87569201
82,0.683,-105.09285,138.26535,36.42828,-104.924629,134.382996,2.882358,-104.84729,138.553024,-32.707191,-125.551224,54.687393,1.999854,-111.163376,118.101906,-10.096888,-124.256302,79.762772,9.495144,-113.432816,97.162392,32.711407,-122.698509,56.804062,32.548454,-123.116623,58.780582,-32.493408,-115.0495811,97.94708921,-29.86902274
83,0.691,-104.536713,138.447937,36.433979,-104.333199,134.522736,2.901186,-104.268898,138.658722,-32.692223,-125.446686,54.983788,2.04108,-110.525429,118.247284,-10.083822,-124.121048,80.001831,9.570692,-112.943634,97.392204,32.675762,-122.414551,57.020927,32.564713,-122.839226,58.969654,-32.421204,-114.5426216,98.12293012,-29.86079101
84,0.7,-103.931931,138.640564,36.456272,-103.638168,134.681076,2.899678,-103.632294,138.777573,-32.688377,-125.30172,55.298454,2.110763,-109.887886,118.364128,-10.037262,-123.895309,80.324272,9.671515,-112.482765,97.625671,32.68116,-122.055672,57.28965,32.57357,-122.509979,59.158443,-32.336071,-114.0650041,98.30156767,-29.85108528
85,0.708,-103.403618,138.816803,36.485882,-103.04612,134.824341,2.929222,-103.042534,138.893768,-32.681507,-125.148369,55.616344,2.169854,-109.210075,118.487152,-10.006791,-123.724556,80.525566,9.73772,-112.111786,97.811356,32.694347,-121.721054,57.518589,32.584484,-122.166504,59.335075,-32.237724,-113.6805433,98.44364476,-29.83987307
86,0.716,-102.856956,139.027267,36.464787,-102.446678,134.967392,2.940181,-102.462044,139.000778,-32.671192,-125.006165,55.93483,2.243856,-108.590553,118.595314,-9.99147,-123.515656,80.746643,9.820427,-111.630737,98.04232,32.692493,-121.398819,57.735252,32.610409,-121.820923,59.507858,-32.14962,-113.1820124,98.62036713,-29.82982864
87,0.725,-102.268967,139.214264,36.509804,-101.772621,135.127396,2.95784,-101.834381,139.115219,-32.64986,-124.85701,56.327293,2.314973,-107.897079,118.709137,-9.940077,-123.209312,81.031479,9.930179,-111.138245,98.256683,32.7341,-120.982742,58.002724,32.616642,-121.418747,59.690571,-32.039616,-112.6716226,98.78438722,-29.81728745
88,0.733,-101.723122,139.391571,36.484482,-101.19162,135.274429,2.972917,-101.262108,139.219299,-32.658257,-124.733688,56.659615,2.3883,-107.196358,118.84655,-9.903778,-122.966179,81.237534,10.006794,-110.712471,98.434013,32.761581,-120.637909,58.221466,32.641407,-121.024033,59.848667,-31.907671,-112.2303755,98.92007148,-29.80224485
89,0.741,-101.204475,139.551559,36.516319,-100.590424,135.448074,2.968321,-100.710938,139.315277,-32.664902,-124.612007,57.016651,2.474859,-106.634506,118.938087,-9.871207,-122.710442,81.465553,10.088737,-110.298286,98.609093,32.797871,-120.28495,58.420433,32.66563,-120.622185,60.002369,-31.769186,-111.8011385,99.05403414,-29.78645665
90,0.75,-100.60878,139.755203,36.484547,-99.952606,135.623886,2.976106,-100.090813,139.444763,-32.673695,-124.550713,57.353264,2.555627,-105.862137,119.067612,-9.849521,-122.356689,81.714684,10.171879,-109.76387,98.841812,32.807236,-119.847977,58.659733,32.69368,-120.147034,60.179783,-31.602684,-111.2473012,99.23209935,-29.76747432
91,0.758,-100.090431,139.903946,36.487892,-99.371117,135.767319,2.9648,-99.549171,139.551041,-32.693195,-124.44532,57.653648,2.64335,-105.176544,119.178772,-9.816278,-122.087006,81.94532,10.257082,-109.314362,99.027908,32.847252,-119.474411,58.85297,32.708424,-119.726242,60.326321,-31.434298,-110.7814575,99.37449092,-29.7482772
92,0.766,-99.559013,140.073196,36.448433,-98.818825,135.913193,2.951165,-99.024208,139.652405,-32.738827,-124.385582,57.940174,2.726449,-104.601074,119.257355,-9.81986,-121.745445,82.163918,10.292184,-108.931419,99.1763,32.871372,-119.045403,59.061958,32.73737,-119.297646,60.45808,-31.23243,-110.3845979,99.48803323,-29.72526291
93,0.775,-98.992401,140.235489,36.449409,-98.227867,136.085663,2.93187,-98.445587,139.77861,-32.758091,-124.320457,58.198814,2.806969,-103.818283,119.408844,-9.821815,-121.341064,82.405579,10.361526,-108.377197,99.396225,32.858036,-118.638786,59.261028,32.771313,-118.813911,60.572403,-30.97398,-109.8102348,99.65630909,-29.69579791
94,0.783,-98.469559,140.402634,36.388855,-97.708412,136.235779,2.870522,-97.932762,139.879959,-32.794201,-124.302994,58.432156,2.89991,-103.206947,119.506683,-9.84978,-121.004715,82.612129,10.416071,-107.946686,99.561531,32.885517,-118.203842,59.471245,32.787071,-118.360641,60.695564,-30.726437,-109.3640785,99.78279317,-29.66757637
95,0.791,-97.966278,140.564102,36.367912,-97.21328,136.377258,2.831454,-97.412369,140.003235,-32.844604,-124.288681,58.631481,2.974898,-102.633644,119.583191,-9.864946,-120.685974,82.81884,10.474957,-107.52211,99.711243,32.89978,-117.802689,59.648788,32.779377,-117.898834,60.840195,-30.469009,-108.9240729,99.89734548,-29.63822787
96,0.8,-97.395477,140.77449,36.302456,-96.602783,136.564774,2.787356,-96.862617,140.139679,-32.896584,-124.272095,58.874096,3.074309,-101.911713,119.707703,-9.89741,-120.33728,83.054092,10.508959,-106.94709,99.926781,32.872253,-117.323029,59.846378,32.776096,-117.36412,61.020649,-30.164131,-108.328156,100.0622646,-29.60346977
97,0.808,-96.919266,140.928619,36.277702,-96.092262,136.731049,2.741181,-96.369659,140.26355,-32.922562,-124.250641,59.080261,3.150946,-101.256927,119.802979,-9.936875,-119.977097,83.257919,10.586378,-106.541763,100.085625,32.888161,-116.906403,60.014473,32.773743,-116.912796,61.148018,-29.897209,-107.9080989,100.1838043,-29.5730389
98,0.816,-96.411209,141.088837,36.217445,-95.596123,136.876816,2.71414,-95.88578,140.389526,-32.980412,-124.22538,59.301598,3.232544,-100.677513,119.906403,-9.96674,-119.529282,83.484314,10.583437,-106.069016,100.250221,32.897648,-116.462502,60.189747,32.737408,-116.451813,61.256634,-29.605957,-107.4181717,100.3097451,-29.53983424
99,0.825,-95.895157,141.25679,36.192406,-95.044815,137.040009,2.667108,-95.329025,140.537277,-33.040211,-124.144295,59.588116,3.319702,-99.981972,120.01886,-9.994751,-119.13887,83.694237,10.625688,-105.533089,100.437691,32.853844,-115.990273,60.379696,32.703304,-115.908638,61.410969,-29.290575,-106.8627685,100.453188,-29.50387861
100,0.833,-95.413933,141.427979,36.123447,-94.569618,137.196701,2.594192,-94.842804,140.669678,-33.063591,-124.046638,59.829967,3.392365,-99.356827,120.127739,-10.048943,-118.71077,83.902802,10.71582,-105.093941,100.583054,32.884632,-115.518906,60.549046,32.656002,-115.4039,61.578907,-29.016665,-106.4076613,100.5644127,-29.47265106
101,0.841,-94.955513,141.60434,36.087208,-94.125412,137.336761,2.562376,-94.358017,140.783646,-33.10207,-123.906448,60.099865,3.45848,-98.707909,120.248863,-10.088024,-118.376366,84.055344,10.750319,-104.594681,100.759903,32.848385,-115.068802,60.724674,32.592606,-114.922539,61.723595,-28.768938,-105.8902576,100.6997289,-29.44440855
102,0.85,-94.458702,141.809326,36.031544,-93.596786,137.487747,2.498009,-93.832436,140.919907,-33.149689,-123.720276,60.38652,3.536681,-98.105331,120.363083,-10.128116,-117.826447,84.273277,10.787936,-104.101494,100.929367,32.850475,-114.558617,60.908146,32.526272,-114.336357,61.885323,-28.472555,-105.3791476,100.8293945,-29.41061892
103,0.858,-94.012161,141.968811,36.014786,-93.16732,137.618454,2.459987,-93.374886,141.039413,-33.195,-123.506737,60.663246,3.600582,-97.476822,120.506943,-10.156423,-117.416908,84.44603,10.818722,-103.655533,101.087296,32.856575,-114.074341,61.096909,32.451485,-113.776566,61.960827,-28.273947,-104.9169799,100.950234,-29.3879763
104,0.866,-93.573189,142.16275,35.981701,-92.711136,137.790268,2.439911,-92.89994,141.170807,-33.22237,-123.272614,60.909374,3.648275,-96.91803,120.636604,-10.21496,-117.006241,84.621269,10.885819,-103.139099,101.286339,32.823734,-113.61306,61.25053,32.380352,-113.194801,62.092854,-28.079039,-104.381778,101.102532,-29.3657555
105,0.875,-93.119469,142.361969,35.971878,-92.182068,137.974106,2.426861,-92.37693,141.30513,-33.264069,-123.028168,61.174168,3.686994,-96.281723,120.791771,-10.227201,-116.485786,84.825607,10.91059,-102.646652,101.477852,32.845341,-113.073242,61.461323,32.28756,-112.539803,62.257523,-27.856476,-103.8714349,101.2490684,-29.34038185
106,0.883,-92.675575,142.537552,35.937302,-91.73777,138.12706,2.421815,-91.927422,141.44014,-33.280975,-122.775116,61.425961,3.728466,-95.778534,120.910957,-10.257096,-116.027664,84.989441,10.90481,-102.160576,101.685509,32.768162,-112.626602,61.622017,32.210026,-111.9869,62.343441,-27.639843,-103.3676943,101.4079574,-29.31568425
107,0.891,-92.287193,142.746094,35.932255,-91.296265,138.287445,2.437776,-91.477821,141.560547,-33.303501,-122.503746,61.645508,3.75486,-95.254631,121.044518,-10.28089,-115.561691,85.134361,10.946872,-101.727966,101.860931,32.773121,-112.108849,61.819752,32.126774,-111.413765,62.476242,-27.407269,-102.9193627,101.5421817,-29.28916928
108,0.9,-91.862015,142.981689,35.901237,-90.805023,138.47496,2.418636,-90.986511,141.707245,-33.297745,-122.137131,61.906929,3.803964,-94.69873,121.19706,-10.251539,-114.927498,85.334816,10.905931,-101.175049,102.082611,32.707386,-111.593102,62.016582,32.043087,-110.81176,62.639809,-27.130573,-102.3463521,101.7118004,-29.25762411
109,0.908,-91.467003,143.162094,35.901215,-90.388802,138.659866,2.410036,-90.55793,141.859314,-33.326168,-121.834412,62.13047,3.83902,-94.157158,121.341942,-10.269653,-114.405632,85.46418,10.940424,-100.78614,102.245712,32.688461,-111.103561,62.216431,31.956568,-110.274521,62.758858,-26.893923,-101.9433097,101.8365973,-29.23064444
110,0.916,-91.095367,143.40744,35.902603,-89.973137,138.835144,2.408885,-90.137138,142.006058,-33.336754,-121.520805,62.362598,3.876635,-93.637581,121.469841,-10.244852,-113.815926,85.596703,10.909085,-100.306274,102.458427,32.665623,-110.62516,62.400711,31.895164,-109.669922,62.882591,-26.706835,-101.4460047,101.9993565,-29.20931517
111,0.925,-90.659645,143.660324,35.843491,-89.50518,139.012314,2.398937,-89.709328,142.166061,-33.34251,-121.11937,62.607597,3.915897,-93.065247,121.629761,-10.253191,-113.131966,85.736374,10.931405,-99.822929,102.686981,32.634754,-110.073784,62.62064,31.81126,-109.02655,63.029438,-26.524145,-100.9450944,102.1742348,-29.18848731
112,0.933,-90.333336,143.894684,35.846252,-89.120491,139.196472,2.392447,-89.30677,142.335693,-33.353474,-120.731972,62.827484,3.959687,-92.516418,121.764877,-10.231629,-112.472473,85.868752,10.931129,-99.414787,102.885666,32.632168,-109.613678,62.810509,31.753181,-108.468246,63.151665,-26.349222,-100.52212,102.3262589,-29.16854493
113,0.941,-89.983292,144.113495,35.863541,-88.739304,139.384766,2.406402,-88.913864,142.496735,-33.33704,-120.351517,63.040001,3.99281,-92.035553,121.899841,-10.228441,-111.899948,85.971611,10.968308,-98.946358,103.113876,32.601982,-109.106789,63.017624,31.693258,-107.869125,63.27383,-26.163864,-100.0366678,102.500874,-29.14741289
114,0.95,-89.571609,144.399582,35.807137,-88.310028,139.612228,2.373822,-88.512962,142.672516,-33.349728,-119.941475,63.277359,4.049717,-91.37896,122.093201,-10.20585,-111.099411,86.087189,10.969316,-98.530144,103.363106,32.596146,-108.534157,63.250435,31.629398,-107.369446,63.37104,-26.120564,-99.60532804,102.6915726,-29.14247641
115,0.958,-89.280228,144.631638,35.807194,-87.965149,139.797455,2.369119,-88.162018,142.881821,-33.343147,-119.496284,63.489334,4.10557,-90.912674,122.263206,-10.178329,-110.433182,86.176323,10.999611,-98.087761,103.610458,32.638634,-108.080063,63.44043,31.585636,-107.00518,63.453629,-26.063793,-99.14686831,102.8808343,-29.13600414
116,0.966,-88.960663,144.88974,35.818851,-87.598404,140.003174,2.352407,-87.816223,143.065552,-33.356575,-119.093155,63.677155,4.116098,-90.318336,122.474464,-10.154905,-109.750786,86.276619,10.997725,-97.639748,103.838745,32.620232,-107.565895,63.65435,31.55871,-106.5159,63.557888,-25.988024,-98.68257398,103.0555084,-29.12736597
117,0.975,-88.602531,145.160736,35.812206,-87.217598,140.243286,2.367496,-87.454575,143.283966,-33.342926,-118.52549,63.911976,4.16512,-89.817352,122.673264,-10.139045,-108.915642,86.376183,11.021665,-97.220352,104.05806,32.637646,-106.992271,63.893867,31.514648,-105.779518,63.726978,-25.875736,-98.24793663,103.2233175,-29.1145644
118,0.983,-88.313995,145.411957,35.794922,-86.864159,140.47612,2.386606,-87.15274,143.495163,-33.326515,-118.105003,64.075943,4.201298,-89.247658,122.879662,-10.119753,-108.195946,86.461723,11.043659,-96.78331,104.2799,32.719688,-106.499565,64.097717,31.501049,-105.151077,63.91375,-25.757456,-97.79501199,103.3930586,-29.10107969
119,0.991,-88.033371,145.656891,35.80254,-86.501022,140.718048,2.376619,-86.851189,143.711716,-33.33279,-117.612839,64.270264,4.21982,-88.814377,123.066399,-10.104423,-107.395645,86.518593,11.01899,-96.432213,104.536728,32.730289,-105.993141,64.310585,31.462162,-104.584145,64.061722,-25.716082,-97.4311557,103.5895709,-29.09636278
120,1,-87.746155,145.96991,35.818935,-86.157021,140.988968,2.403076,-86.533768,143.971481,-33.314705,-117.018021,64.492508,4.260402,-88.21138,123.341797,-10.068836,-106.506096,86.589378,11.022406,-95.92318,104.812981,32.735851,-105.442429,64.517822,31.459675,-103.9328,64.261131,-25.658968,-96.90362383,103.8009462,-29.08985141
121,1.008,-87.465851,146.205688,35.823093,-85.837029,141.221481,2.422193,-86.247833,144.199203,-33.31876,-116.526115,64.660645,4.284853,-87.811028,123.550415,-10.065724,-105.736992,86.647774,11.02406,-95.532166,105.044159,32.785316,-104.904579,64.741623,31.452456,-103.306595,64.445679,-25.629456,-96.49839991,103.9778323,-29.08648685
122,1.016,-87.191589,146.483109,35.810764,-85.521194,141.4758,2.437788,-85.979256,144.44397,-33.308361,-115.950409,64.857063,4.312255,-87.39846,123.782791,-10.082939,-104.927086,86.706711,11.032589,-95.196136,105.247559,32.822491,-104.406067,64.938828,31.454636,-102.733086,64.613243,-25.613598,-96.15015818,104.133464,-29.08467893
123,1.024,-86.962349,146.744736,35.821091,-85.268631,141.733826,2.458596,-85.716293,144.688538,-33.276905,-115.393326,65.041451,4.354023,-87.011253,124.016251,-10.067042,-104.091774,86.751343,11.058551,-94.805573,105.489815,32.891418,-103.925194,65.120132,31.483768,-102.086044,64.811958,-25.60133,-95.74540165,104.3188265,-29.0832803
