,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072
,ID,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091,-124.434433,133.943146,37.383648,-124.296608,130.795273,3.655296,-126.024796,135.087906,-32.031212,-131.054504,46.591686,3.649586,-125.233902,113.671318,-9.401222,-129.350616,72.289444,10.720873,-127.303223,92.369057,34.35405,-130.947266,51.14529,33.95232,-130.398117,53.460758,-31.037167,-128.870819,93.375031,-28.710327
12,0.1,-124.363396,133.910004,37.346951,-124.23748,130.779587,3.639954,-126.005592,135.071335,-32.050808,-131.029877,46.57877,3.603965,-125.17868,113.659058,-9.441503,-129.279877,72.261421,10.681524,-127.226791,92.326149,34.307007,-130.968399,51.102715,33.888897,-130.347244,53.415829,-31.10627,-128.819382,93.346191,-28.782532
13,0.108,-124.322281,133.887512,37.328899,-124.175552,130.769089,3.599693,-125.997559,135.054474,-32.073219,-130.99707,46.549786,3.557521,-125.127495,113.648056,-9.470764,-129.250824,72.248611,10.642407,-127.182617,92.297203,34.279579,-130.975922,51.075684,33.844856,-130.301407,53.391724,-31.155481,-128.778702,93.32029,-28.830873
14,0.116,-124.281868,133.86647,37.317364,-124.126076,130.75708,3.573839,-125.973724,135.039978,-32.097595,-130.970413,46.524654,3.512333,-125.085831,113.631668,-9.493458,-129.22673,72.229263,10.61076,-127.142929,92.285248,34.241913,-130.946793,51.062347,33.79744,-130.258865,53.378166,-31.194098,-128.742752,93.3088,-28.871983
15,0.125,-124.224457,133.8517,37.303188,-124.087669,130.739944,3.561928,-125.944481,135.028717,-32.117073,-130.938416,46.502728,3.465455,-125.014809,113.623871,-9.50229,-129.200836,72.207054,10.584887,-127.104225,92.270294,34.206963,-130.901993,51.053776,33.743618,-130.195038,53.388969,-31.235371,-128.709595,93.299225,-28.911533
16,0.133,-124.190414,133.825394,37.293236,-124.05043,130.711349,3.549299,-125.927582,135.019501,-32.134983,-130.909256,46.489201,3.428427,-124.970436,113.597,-9.52751,-129.179398,72.18911,10.567877,-127.026428,92.256241,34.171295,-130.866318,51.040493,33.7043,-130.166809,53.381233,-31.27268,-128.689163,93.285057,-28.944794
17,0.141,-124.174713,133.802597,37.282372,-124.019501,130.695862,3.544292,-125.904022,135.00293,-32.147076,-130.856949,46.473755,3.395744,-124.920479,113.578201,-9.547436,-129.150314,72.175591,10.552769,-126.941658,92.243752,34.151459,-130.867538,51.008831,33.661869,-130.132111,53.375904,-31.301451,-128.655655,93.282883,-28.974304
18,0.15,-124.12841,133.78685,37.277893,-123.979797,130.672043,3.534372,-125.874207,134.98967,-32.153629,-130.816132,46.449642,3.359565,-124.870216,113.561699,-9.555702,-129.117065,72.167465,10.505402,-126.882996,92.22818,34.12439,-130.882339,50.979488,33.633286,-130.090637,53.355659,-31.335854,-128.611008,93.273506,-29.002827
19,0.158,-124.101509,133.768158,37.274616,-123.957047,130.656418,3.509887,-125.8507,134.971313,-32.15424,-130.793732,46.44128,3.340068,-124.789917,113.553986,-9.53906,-129.069519,72.168983,10.46559,-126.826775,92.209999,34.037575,-130.848343,50.967113,33.600292,-130.036743,53.34549,-31.377089,-128.536774,93.262016,-29.042786
20,0.166,-124.071075,133.75563,37.273399,-123.94075,130.649597,3.5021,-125.824547,134.945755,-32.151207,-130.765564,46.419399,3.309109,-124.723099,113.531723,-9.543221,-129.012741,72.172478,10.439238,-126.77951,92.192139,34.009308,-130.786209,50.964336,33.570286,-129.967499,53.341927,-31.400766,-128.476013,93.23513,-29.077234
21,0.175,-124.036552,133.741409,37.272446,-123.92907,130.642288,3.501177,-125.794815,134.928177,-32.149918,-130.73526,46.422081,3.271725,-124.673233,113.51503,-9.548758,-128.928299,72.178322,10.439864,-126.667824,92.178444,34.006927,-130.710159,50.962025,33.541965,-129.924927,53.3256,-31.422216,-128.414749,93.213448,-29.114298
22,0.183,-123.995186,133.733017,37.274731,-123.920631,130.632935,3.504387,-125.771461,134.91832,-32.155243,-130.702179,46.408825,3.260573,-124.597229,113.516808,-9.542631,-128.860123,72.166,10.446931,-126.603165,92.158905,34.010677,-130.645889,50.960808,33.521786,-129.888809,53.320461,-31.431133,-128.368958,93.199692,-29.131088
23,0.191,-123.963211,133.718246,37.277256,-123.910995,130.624298,3.506039,-125.723671,134.914154,-32.152699,-130.663879,46.398464,3.250741,-124.527443,113.503693,-9.546132,-128.792709,72.151222,10.446375,-126.560631,92.139778,33.999954,-130.597443,50.953178,33.514542,-129.841354,53.312214,-31.439568,-128.324432,93.184616,-29.140022
24,0.2,-123.923401,133.699524,37.279896,-123.90242,130.611694,3.504888,-125.672531,134.904892,-32.150379,-130.61438,46.385674,3.245013,-124.477592,113.490852,-9.552519,-128.723145,72.140892,10.436195,-126.479317,92.137772,33.997643,-130.567398,50.924797,33.515434,-129.750153,53.30162,-31.455761,-128.279236,93.170509,-29.141998
25,0.208,-123.872147,133.679504,37.286743,-123.89257,130.602173,3.505257,-125.627533,134.892685,-32.156399,-130.547272,46.334557,3.239809,-124.410889,113.492432,-9.55306,-128.67215,72.115921,10.431193,-126.415634,92.120796,34.002644,-130.538986,50.895382,33.517715,-129.669815,53.301003,-31.464077,-128.226547,93.163567,-29.131008
26,0.216,-123.826721,133.649124,37.28957,-123.859581,130.600662,3.512461,-125.590919,134.883057,-32.168407,-130.50882,46.316319,3.240338,-124.35788,113.486336,-9.566684,-128.611481,72.07473,10.456532,-126.342842,92.111153,34.017979,-130.476807,50.861805,33.523808,-129.59111,53.26836,-31.485188,-128.178329,93.156693,-29.096886
27,0.225,-123.763748,133.634903,37.28746,-123.837494,130.588943,3.519694,-125.529846,134.883072,-32.172874,-130.466675,46.302135,3.239663,-124.291061,113.479004,-9.586941,-128.523193,72.047928,10.471879,-126.295517,92.095261,34.026119,-130.374771,50.850063,33.523758,-129.483963,53.25111,-31.503487,-128.134079,93.159119,-29.067348
28,0.233,-123.716652,133.620636,37.283276,-123.815247,130.578644,3.517418,-125.464722,134.884033,-32.166161,-130.409653,46.307312,3.261255,-124.255798,113.474991,-9.598735,-128.449066,72.027489,10.466366,-126.259384,92.072762,34.035645,-130.278732,50.841915,33.519638,-129.38562,53.240204,-31.50692,-128.100143,93.162071,-29.04282
29,0.241,-123.660255,133.604736,37.278919,-123.778091,130.562561,3.509372,-125.418198,134.880859,-32.168045,-130.345917,46.301533,3.25999,-124.197426,113.473526,-9.611244,-128.370911,72.009018,10.453416,-126.179543,92.063309,34.041592,-130.184738,50.829155,33.51564,-129.312759,53.240849,-31.513046,-128.04454,93.174591,-29.011589
30,0.25,-123.592567,133.586578,37.274155,-123.746231,130.55072,3.50581,-125.352013,134.882233,-32.171486,-130.240402,46.277115,3.250816,-124.157372,113.454399,-9.640838,-128.276367,71.995628,10.452335,-126.094688,92.051888,34.052891,-130.120392,50.798447,33.510162,-129.220795,53.244556,-31.49901,-127.997734,93.175339,-28.986799
31,0.258,-123.494194,133.586624,37.239155,-123.695244,130.539673,3.494562,-125.278732,134.888809,-32.171844,-130.184998,46.267483,3.25014,-124.122116,113.453613,-9.656336,-128.196411,71.989655,10.446203,-126.047195,92.036942,34.058575,-130.064377,50.773884,33.512234,-129.134506,53.25544,-31.484043,-127.936745,93.188087,-28.964237
32,0.266,-123.437569,133.564896,37.222309,-123.646675,130.534058,3.498042,-125.195709,134.892975,-32.189358,-130.107315,46.269829,3.259513,-124.062416,113.457016,-9.667418,-128.123917,71.989906,10.43514,-126.002014,92.004219,34.056705,-130.017044,50.742405,33.520157,-129.068649,53.256393,-31.473866,-127.89563,93.192268,-28.956375
33,0.275,-123.329689,133.557892,37.205395,-123.562637,130.530838,3.490641,-125.087418,134.901642,-32.203503,-130.000397,46.262577,3.248081,-124.053993,113.44416,-9.693109,-128.030792,72.004219,10.396173,-125.931717,91.981796,34.052406,-129.943146,50.712006,33.518356,-128.975159,53.272366,-31.44924,-127.83551,93.204559,-28.946507
34,0.283,-123.236992,133.543518,37.197338,-123.503914,130.512985,3.474169,-125.000229,134.904724,-32.221317,-129.907211,46.256683,3.246421,-124.036621,113.446762,-9.709059,-127.975487,71.992508,10.351841,-125.872612,91.986755,34.026516,-129.83194,50.709385,33.508389,-128.897858,53.292095,-31.430542,-127.781021,93.213135,-28.94758
35,0.291,-123.139236,133.537155,37.185276,-123.431519,130.518677,3.44183,-124.905037,134.921112,-32.228695,-129.81424,46.266949,3.245891,-124.016068,113.450287,-9.725202,-127.897957,72.004585,10.336542,-125.806877,91.997215,34.023106,-129.727142,50.71521,33.499104,-128.828201,53.309231,-31.419186,-127.712082,93.22451,-28.945389
36,0.3,-123.006348,133.541199,37.167732,-123.32859,130.501587,3.404138,-124.793663,134.933304,-32.254276,-129.692657,46.26685,3.234183,-123.965576,113.467575,-9.730009,-127.797363,72.003952,10.333169,-125.752495,92.000572,34.02005,-129.61171,50.718861,33.491043,-128.722122,53.341858,-31.396061,-127.643074,93.236099,-28.951164
37,0.308,-122.884216,133.534973,37.139126,-123.222183,130.511261,3.400156,-124.681366,134.95311,-32.26609,-129.592575,46.269253,3.223456,-123.937332,113.475037,-9.738049,-127.721642,72.006416,10.322825,-125.709259,92.008278,34.009933,-129.486359,50.727962,33.48531,-128.647644,53.364975,-31.398016,-127.580811,93.251404,-28.961451
38,0.316,-122.759483,133.534973,37.137985,-123.100571,130.507263,3.370827,-124.563766,134.971283,-32.266548,-129.463928,46.290016,3.214065,-123.914673,113.489388,-9.756194,-127.66497,72.014908,10.299449,-125.651154,92.020531,33.993561,-129.359818,50.744228,33.474045,-128.545898,53.404732,-31.401279,-127.503441,93.274277,-28.967136
