Format Version,1.23,Take Name,Take 2024-03-18 05.27.03 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-18 05.27.03.342 下午,Capture Start Frame,276967,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,-0.000358,0.024202,-0.001012,0.999707,-28.244568,29.141272,40.694054,-55.23143,29.104259,80.581703,-58.578945,28.202291,3.069961,1.907623,30.045376,78.287155,-1.075521,29.213158,0.837404,-55.265713,29.101196,80.529678,-58.420849,28.208572,3.111122,1.955356,30.048409,78.326729,-1.329707,29.20413,0.801909,-55.416214,112.942596,72.291298,-60.211891,113.422523,7.188905,-55.675739,72.790314,73.096741,-59.474438,30.593916,8.213838,-58.010101,112.020287,39.67429,-59.651981,72.116058,7.783789,-60.26392,91.330925,30.147987,-57.014977,53.401428,52.455032,-57.382862,30.215029,40.82671,-61.489021,30.626158,73.053017
5,0.041,-0.000352,0.024169,-0.001039,0.999707,-28.241339,29.142353,40.695942,-55.230774,29.106432,80.581841,-58.573341,28.205341,3.069887,1.908475,30.044498,78.290993,-1.069719,29.213137,0.841042,-55.269497,29.103184,80.528145,-58.420555,28.211393,3.110108,1.956525,30.047455,78.328911,-1.32963,29.203888,0.80321,-55.40527,112.901878,72.311111,-60.202538,113.39798,7.189925,-55.662727,72.761169,73.101738,-59.424763,30.560053,8.22698,-58.005886,112.007019,39.675678,-59.628319,72.099403,7.784653,-60.247391,91.319733,30.149164,-56.982868,53.375118,52.448906,-57.359253,30.19743,40.826954,-61.430801,30.592123,73.052597
6,0.05,-0.000358,0.024193,-0.001043,0.999707,-28.242374,29.142088,40.696873,-55.229942,29.106873,80.584045,-58.576141,28.204874,3.072247,1.909211,30.044437,78.290504,-1.072615,29.212166,0.8407,-55.266739,29.103374,80.529808,-58.420509,28.211489,3.112638,1.95774,30.047718,78.32943,-1.327833,29.20252,0.806309,-55.393105,112.87439,72.31739,-60.188763,113.374748,7.196294,-55.64719,72.728966,73.107025,-59.346951,30.540577,8.255475,-57.997643,111.987076,39.676613,-59.596359,72.071243,7.782084,-60.229366,91.30751,30.150377,-56.944393,53.347023,52.452232,-57.322258,30.186268,40.831833,-61.335987,30.56418,73.070587
7,0.058,-0.000368,0.024211,-0.00104,0.999706,-28.244349,29.14336,40.696693,-55.230438,29.10873,80.584862,-58.579506,28.205204,3.073204,1.908618,30.04665,78.289185,-1.076069,29.212852,0.839514,-55.267693,29.105169,80.529755,-58.421673,28.211943,3.113709,1.958061,30.049988,78.328506,-1.329448,29.203262,0.806656,-55.384018,112.852356,72.316391,-60.181965,113.360954,7.193082,-55.636509,72.698936,73.114807,-59.263905,30.526457,8.257853,-57.986343,111.973633,39.67062,-59.567184,72.049484,7.783069,-60.211891,91.298424,30.154163,-56.911434,53.32589,52.451611,-57.292301,30.164543,40.837402,-61.257912,30.537096,73.081909
8,0.066,-0.000382,0.024224,-0.001044,0.999706,-28.246222,29.142839,40.696346,-55.231285,29.10952,80.58522,-58.582367,28.20388,3.073671,1.907736,30.04693,78.28804,-1.078978,29.211021,0.838456,-55.267982,29.105934,80.529716,-58.422077,28.210762,3.114408,1.957759,30.050335,78.327942,-1.329592,29.201511,0.807268,-55.370903,112.834534,72.309753,-60.171761,113.351425,7.186574,-55.654663,72.66024,73.143944,-59.194469,30.513081,8.25096,-57.970333,111.957123,39.668854,-59.541477,72.031799,7.790047,-60.205334,91.285301,30.149811,-56.881939,53.307755,52.45414,-57.25634,30.145607,40.844719,-61.188812,30.507919,73.094109
9,0.075,-0.000368,0.024187,-0.001052,0.999707,-28.242249,29.142645,40.698357,-55.23027,29.108732,80.58522,-58.575607,28.205181,3.0734,1.908928,30.045246,78.292305,-1.07204,29.211416,0.842491,-55.270874,29.105101,80.529953,-58.422352,28.211617,3.111729,1.958345,30.048454,78.329887,-1.328981,29.201803,0.808776,-55.356312,112.817551,72.306198,-60.162163,113.339294,7.184541,-55.65926,72.647736,73.148567,-59.125786,30.48921,8.25991,-57.949459,111.94191,39.658752,-59.508961,72.019989,7.791766,-60.1945,91.270538,30.149948,-56.840431,53.297852,52.459145,-57.203972,30.130228,40.847874,-61.118568,30.482418,73.108086
10,0.083,-0.000377,0.0242,-0.00106,0.999707,-28.245136,29.141638,40.697678,-55.232155,29.108774,80.58522,-58.579456,28.203997,3.073511,1.906997,30.044418,78.290855,-1.075929,29.209358,0.841129,-55.271751,29.105461,80.528694,-58.421749,28.210184,3.11301,1.957533,30.047434,78.329704,-1.327583,29.200592,0.810029,-55.340374,112.805618,72.298584,-60.15144,113.328064,7.175407,-55.651688,72.649269,73.149353,-59.036339,30.476633,8.278797,-57.934486,111.930702,39.652843,-59.478653,72.014977,7.786041,-60.17683,91.261223,30.14485,-56.813461,53.287601,52.463245,-57.149673,30.126402,40.848106,-61.059807,30.462414,73.115028
11,0.091,-0.000374,0.024196,-0.001049,0.999707,-28.243887,29.142078,40.697285,-55.23119,29.108467,80.584641,-58.577919,28.203981,3.072891,1.907963,30.045309,78.29068,-1.074407,29.210552,0.840926,-55.270481,29.105064,80.528755,-58.423023,28.210205,3.111271,1.957706,30.048374,78.328941,-1.328797,29.201475,0.809493,-55.323231,112.797226,72.287926,-60.137486,113.31675,7.169819,-55.62418,72.661385,73.123627,-58.940834,30.471806,8.26936,-57.921062,111.91938,39.646339,-59.434258,72.009773,7.771499,-60.154694,91.252502,30.141184,-56.772606,53.288914,52.461605,-57.100571,30.114332,40.844837,-60.991901,30.450258,73.113022
12,0.1,-0.000363,0.024223,-0.00103,0.999706,-28.246773,29.142279,40.695141,-55.231934,29.106749,80.583939,-58.582783,28.203932,3.072345,1.907054,30.045757,78.286949,-1.079419,29.212675,0.837329,-55.270493,29.102907,80.527534,-58.422298,28.211021,3.110553,1.958259,30.049292,78.326263,-1.328509,29.202986,0.809457,-55.306911,112.786255,72.283272,-60.116333,113.30584,7.162863,-55.620594,72.653786,73.116409,-58.857613,30.460554,8.260204,-57.903786,111.909653,39.639748,-59.392502,72.004768,7.760258,-60.130184,91.240616,30.135027,-56.725277,53.293228,52.458023,-57.044071,30.104551,40.83485,-60.918289,30.438217,73.106018
13,0.108,-0.000363,0.024241,-0.001048,0.999706,-28.249142,29.141945,40.694855,-55.232872,29.107338,80.584625,-58.586536,28.20467,3.073159,1.906061,30.044353,78.285576,-1.083228,29.211414,0.836071,-55.271011,29.103529,80.529404,-58.421833,28.211952,3.111205,1.957965,30.047956,78.325272,-1.327588,29.201904,0.809195,-55.28933,112.778557,72.271553,-60.106026,113.289902,7.151989,-55.618149,72.644707,73.104767,-58.767311,30.470709,8.254156,-57.88517,111.906815,39.632462,-59.356941,71.99662,7.750955,-60.107273,91.232697,30.126223,-56.691082,53.294109,52.447308,-56.993252,30.101446,40.817791,-60.849094,30.427488,73.103142
14,0.116,-0.000365,0.024275,-0.001058,0.999705,-28.252623,29.142376,40.693161,-55.233646,29.108555,80.584755,-58.592594,28.205513,3.073525,1.905152,30.04438,78.281822,-1.089409,29.211056,0.832537,-55.269283,29.105309,80.529068,-58.422482,28.212252,3.112083,1.957791,30.047611,78.323044,-1.328503,29.20273,0.808918,-55.264835,112.771164,72.25798,-60.080833,113.279633,7.148716,-55.610992,72.636101,73.091034,-58.659546,30.475307,8.240491,-57.867844,111.902786,39.625435,-59.307743,71.998093,7.74488,-60.088486,91.225914,30.114668,-56.664074,53.291374,52.437008,-56.946327,30.095057,40.806637,-60.7868,30.411127,73.097473
15,0.125,-0.000358,0.024338,-0.001032,0.999703,-28.261158,29.141989,40.690418,-55.237114,29.10614,80.585442,-58.60585,28.204132,3.074622,1.901343,30.044979,78.275269,-1.103008,29.212704,0.826344,-55.270683,29.102501,80.530807,-58.421753,28.212175,3.112074,1.955966,30.0488,78.318146,-1.328661,29.204115,0.80801,-55.25148,112.75927,72.256599,-60.059494,113.264534,7.142857,-55.599426,72.62719,73.075066,-58.568237,30.473959,8.225387,-57.848507,111.899506,39.614861,-59.252541,71.995552,7.732312,-60.069508,91.219292,30.104477,-56.61618,53.29417,52.412067,-56.892944,30.090952,40.784031,-60.713207,30.392286,73.085838
16,0.133,-0.000372,0.024398,-0.001045,0.999702,-28.26812,29.141041,40.688725,-55.239296,29.107008,80.586975,-58.61734,28.202862,3.076586,1.898912,30.044355,78.269936,-1.114747,29.209938,0.821391,-55.273663,29.103178,80.528656,-58.423336,28.211334,3.112939,1.955172,30.048248,78.313492,-1.328546,29.201885,0.808235,-55.238907,112.75164,72.255615,-60.046864,113.252411,7.136077,-55.583771,72.620338,73.06263,-58.468151,30.479431,8.209342,-57.832569,111.879005,39.617336,-59.186363,71.994148,7.715763,-60.052197,91.216125,30.10079,-56.598007,53.271545,52.408791,-56.840782,30.083763,40.766205,-60.634731,30.373112,73.065849
17,0.141,-0.000384,0.024383,-0.001049,0.999702,-28.268402,29.141727,40.687965,-55.240749,29.108816,80.585442,-58.616543,28.202925,3.074962,1.897535,30.045668,78.270042,-1.113859,29.209501,0.821427,-55.273014,29.105652,80.527649,-58.426632,28.210253,3.111947,1.952485,30.048986,78.313736,-1.328955,29.202307,0.808041,-55.226536,112.743317,72.249596,-60.024487,113.251495,7.134221,-55.577648,72.606964,73.052841,-58.364117,30.479067,8.180602,-57.801712,111.87307,39.602757,-59.140915,71.977936,7.703123,-60.02142,91.223022,30.083334,-56.572609,53.256531,52.399559,-56.795494,30.06575,40.748096,-60.563511,30.351145,73.05648
18,0.15,-0.000368,0.024366,-0.001061,0.999703,-28.266439,29.141787,40.68811,-55.240166,29.108324,80.584633,-58.613289,28.204845,3.074026,1.898214,30.043867,78.271255,-1.110509,29.210106,0.822517,-55.271339,29.105881,80.527672,-58.426147,28.210947,3.111761,1.952359,30.046535,78.315033,-1.328006,29.203897,0.808068,-55.209988,112.733437,72.241951,-60.006374,113.247383,7.127557,-55.567593,72.591766,73.04174,-58.259644,30.474876,8.152873,-57.787884,111.861298,39.598934,-59.104717,71.966682,7.699394,-60.00349,91.223099,30.077824,-56.558754,53.237164,52.392441,-56.748875,30.04348,40.735634,-60.492218,30.330622,73.048012
19,0.158,-0.000367,0.024339,-0.001058,0.999703,-28.264343,29.142036,40.688408,-55.24025,29.108391,80.583458,-58.609127,28.20504,3.072664,1.89825,30.044174,78.273216,-1.106235,29.210541,0.824299,-55.274181,29.10561,80.525955,-58.426117,28.211447,3.110635,1.95326,30.047079,78.316292,-1.328735,29.203722,0.807997,-55.195744,112.72316,72.236488,-59.990387,113.241562,7.124341,-55.55479,72.577049,73.039597,-58.149212,30.486689,8.125416,-57.77755,111.84996,39.597164,-59.067703,71.963829,7.695826,-59.985249,91.203392,30.076939,-56.544979,53.227924,52.387489,-56.677067,30.044657,40.724133,-60.43029,30.307344,73.030319
