Format Version,1.23,Take Name,textured_table_exp_8,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 01.58.46.352 下午,Capture Start Frame,56888,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,0.000302,0.000384,0.000482,1,-31.70483,28.93273,40.959915,-59.799313,30.326254,1.645944,-2.23445,28.372149,2.862093,-3.748959,27.541245,80.006592,-61.036606,29.491282,79.325134,-59.739292,30.353928,1.664596,-2.249796,28.343853,2.848459,-3.659695,27.584892,79.93795,-61.178482,29.454044,79.381355,-76.360649,64.346863,75.991997,-77.067551,44.868477,55.889542,-77.068726,63.670494,10.551176,-68.986328,104.120384,75.40699,-70.31562,81.874519,33.01033,-69.142273,103.900757,10.165957,-69.576508,102.500656,42.555176,-87.204132,22.746174,76.147339,-80.261497,22.121811,11.093778,-81.075976,25.433132,43.808872
5,0.041,0.00035,0.000332,0.000488,1,-31.707911,28.931496,40.963726,-59.798252,30.328438,1.646921,-2.233493,28.374928,2.868962,-3.756148,27.536615,80.013229,-61.043747,29.486006,79.325897,-59.738071,30.353325,1.668163,-2.248857,28.345558,2.849256,-3.659104,27.582121,79.935661,-61.178577,29.453827,79.38028,-76.178452,64.546051,75.98127,-76.957886,45.044006,55.877216,-76.929459,63.888527,10.528028,-68.705849,104.297913,75.410645,-70.129623,82.041611,33.016727,-68.884506,104.089066,10.181495,-69.316521,102.691711,42.552025,-87.190071,22.967995,76.107475,-80.25013,22.359779,11.072283,-81.061915,25.654953,43.799114
6,0.05,0.000337,0.000357,0.000507,1,-31.706419,28.929987,40.962498,-59.798794,30.324873,1.64707,-2.233902,28.373606,2.866268,-3.75264,27.537151,80.010628,-61.040348,29.484329,79.326134,-59.740681,30.349995,1.66638,-2.248173,28.345684,2.850194,-3.657336,27.581013,79.93634,-61.177765,29.45117,79.381111,-75.990349,64.729744,75.991539,-76.811913,45.273624,55.861938,-76.759705,64.112885,10.531543,-68.398743,104.490257,75.424927,-69.82254,82.27317,33.002827,-68.589813,104.309906,10.200024,-69.032738,102.895287,42.542267,-87.113228,23.23057,76.102043,-80.226578,22.609303,11.037665,-80.985072,25.917528,43.814167
7,0.058,0.000346,0.000351,0.000518,1,-31.707323,28.92889,40.963181,-59.799271,30.32387,1.647446,-2.234346,28.373844,2.867279,-3.753969,27.535967,80.011604,-61.041714,29.481894,79.326477,-59.739685,30.348932,1.667243,-2.249875,28.34551,2.85027,-3.657272,27.580366,79.936302,-61.178703,29.44906,79.381233,-75.79747,64.91507,76.000122,-76.664886,45.479214,55.867058,-76.590828,64.318741,10.530419,-68.113525,104.67305,75.423553,-69.592575,82.448486,32.988556,-68.324348,104.512741,10.205449,-68.751671,103.061172,42.55732,-87.038002,23.451958,76.083618,-80.192345,22.843685,11.003977,-80.909846,26.138916,43.815563
8,0.066,0.000349,0.000352,0.000487,1,-31.706825,28.92997,40.963749,-59.798805,30.326912,1.648116,-2.234003,28.373316,2.867755,-3.75343,27.535088,80.012085,-61.041058,29.484568,79.327141,-59.739147,30.351227,1.667443,-2.250521,28.345221,2.850877,-3.654962,27.579254,79.93541,-61.176006,29.452919,79.381218,-75.600471,65.122177,76.003448,-76.51683,45.675613,55.867153,-76.44487,64.526505,10.524561,-67.828659,104.8442,75.430473,-69.395958,82.612656,32.987038,-68.060135,104.709221,10.197771,-68.459908,103.250374,42.558716,-87.003784,23.697863,76.061592,-80.162094,23.09812,10.984385,-80.875628,26.384821,43.815914
9,0.075,0.000389,0.000294,0.000492,1,-31.710297,28.931686,40.968037,-59.797668,30.331442,1.649204,-2.232987,28.378365,2.875468,-3.761485,27.534014,80.019547,-61.049057,29.482933,79.328026,-59.740711,30.354572,1.671507,-2.246587,28.347084,2.850484,-3.656242,27.582327,79.935577,-61.176689,29.453918,79.379364,-75.379738,65.346024,76.013847,-76.418755,45.857574,55.871613,-76.265976,64.763596,10.52109,-67.500618,105.051041,75.440132,-69.150696,82.827766,32.995872,-67.770042,104.920113,10.207684,-68.145569,103.474892,42.559067,-86.909851,23.950207,76.070557,-80.099869,23.376499,10.960057,-80.781695,26.637165,43.805263
10,0.083,0.000334,0.000327,0.000509,1,-31.708965,28.931761,40.966042,-59.799034,30.326328,1.648957,-2.234209,28.375271,2.871537,-3.757471,27.539242,80.015816,-61.045147,29.486212,79.327942,-59.740875,30.35067,1.670157,-2.249242,28.344795,2.850216,-3.658478,27.586121,79.937225,-61.174244,29.45529,79.379829,-75.178787,65.526154,76.008232,-76.254997,46.094208,55.858917,-76.08783,64.975914,10.526792,-67.212135,105.222939,75.434418,-68.917061,83.008751,32.987453,-67.516022,105.104462,10.215291,-67.866722,103.660271,42.548416,-86.822159,24.190371,76.04818,-80.081825,23.588676,10.970755,-80.694003,26.877329,43.821247
11,0.091,0.000314,0.000367,0.000517,1,-31.705921,28.932783,40.964169,-59.79916,30.325285,1.649269,-2.234203,28.375248,2.867332,-3.751281,27.542315,80.011765,-61.039043,29.488293,79.328392,-59.739811,30.350988,1.670272,-2.249201,28.345615,2.848432,-3.657984,27.587646,79.938019,-61.172516,29.455032,79.381737,-74.958672,65.706429,75.999435,-76.121986,46.294785,55.857456,-75.937378,65.167397,10.528876,-66.924194,105.414436,75.431709,-68.624916,83.220932,32.980179,-67.240349,105.293449,10.200541,-67.580208,103.817116,42.5644,-86.741241,24.460058,76.050636,-80.049461,23.808022,10.963114,-80.613085,27.147016,43.806934
12,0.1,0.000373,0.000309,0.000487,1,-31.710669,28.931009,40.967766,-59.79924,30.329821,1.649758,-2.23454,28.376133,2.874303,-3.760669,27.534273,80.018463,-61.048233,29.483822,79.328629,-59.740765,30.354944,1.672725,-2.249063,28.3424,2.848619,-3.656584,27.58568,79.935333,-61.177135,29.452265,79.380325,-74.713745,65.929565,76.004723,-75.935478,46.505604,55.831917,-75.76088,65.41864,10.519052,-66.596855,105.610748,75.428543,-68.381241,83.413078,32.985134,-66.909096,105.523216,10.212525,-67.26062,104.028908,42.550087,-86.677704,24.683863,76.047203,-79.987083,24.06588,10.960209,-80.549548,27.370821,43.802677
13,0.108,0.000332,0.000347,0.000506,1,-31.70833,28.932623,40.964546,-59.799911,30.327171,1.648536,-2.235043,28.375753,2.868912,-3.755337,27.540121,80.013252,-61.04303,29.487452,79.327583,-59.740555,30.352724,1.669624,-2.250674,28.34503,2.848808,-3.658766,27.587193,79.93689,-61.174625,29.454699,79.380302,-74.489456,66.137779,76.009186,-75.755898,46.710323,55.824451,-75.596626,65.635399,10.525855,-66.293922,105.794456,75.441078,-68.155777,83.606598,32.988945,-66.628174,105.728027,10.232708,-66.999031,104.232956,42.54583,-86.572823,24.919924,76.037239,-79.924728,24.277468,10.955305,-80.444667,27.606882,43.818199
