Format Version,1.23,Take Name,leather_hang_exp_4,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.36.21.599 下午,Capture Start Frame,527325,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,-0.000013,0.000001,-0.001073,0.999999,-52.252304,69.435379,33.008118,-51.786465,71.726578,68.754959,-51.811634,67.190125,68.911888,-52.699841,67.053741,-2.909029,-52.711288,71.771072,-2.725348,-51.776375,71.731201,68.74263,-51.821552,67.185379,68.906631,-52.689106,67.048599,-2.898865,-52.721714,71.776466,-2.717495,-64.718643,107.632553,30.187595,-64.776077,108.275223,47.490845,-65.978615,107.83149,14.392916,-64.653084,91.286018,47.370808,-64.60997,98.486092,36.270733,-64.290871,91.308174,14.518847,-65.324631,86.894119,24.884806,-70.522324,75.291855,14.546865,-68.463005,75.25016,47.65744,-69.708488,76.308754,30.614329
5,0.041,-0.000014,0,-0.001077,0.999999,-52.253143,69.435852,33.008461,-51.787365,71.727119,68.755302,-51.812561,67.190674,68.912231,-52.700623,67.054153,-2.908677,-52.71204,71.771477,-2.725008,-51.776035,71.731964,68.742447,-51.823639,67.185677,68.907295,-52.689957,67.04982,-2.898615,-52.722378,71.776085,-2.71766,-64.783463,107.523407,30.178207,-64.849266,108.222183,47.4744,-66.064522,107.73201,14.388254,-64.618225,91.272316,47.373486,-64.704391,98.408249,36.272907,-64.334747,91.233894,14.527652,-65.22319,86.828186,24.904879,-70.041183,75.066315,14.639579,-68.015274,75.116089,47.718414,-69.227347,76.083214,30.616503
6,0.05,-0.00001,0.000003,-0.001314,0.999999,-52.252983,69.43679,33.008278,-51.785934,71.727608,68.755135,-51.813293,67.191162,68.912033,-52.701771,67.055527,-2.908876,-52.710945,71.772858,-2.725172,-51.774502,71.730118,68.742325,-51.824589,67.188408,68.905487,-52.688606,67.051636,-2.896507,-52.723621,71.777008,-2.716806,-64.874626,107.412231,30.155319,-64.94886,108.146599,47.45826,-66.194359,107.594551,14.374187,-64.572678,91.257835,47.368999,-64.815643,98.3256,36.276112,-64.425072,91.147034,14.54424,-65.133797,86.774765,24.92205,-69.446144,74.783272,14.706548,-67.480461,74.940323,47.765522,-68.632308,75.800171,30.619708
7,0.058,0.000003,0.000004,-0.00117,0.999999,-52.251659,69.435623,33.008034,-51.785206,71.725616,68.754936,-51.81126,67.189171,68.91172,-52.699821,67.055191,-2.909174,-52.710361,71.772514,-2.725348,-51.773857,71.728966,68.741974,-51.822384,67.185623,68.906227,-52.687191,67.05101,-2.898144,-52.722622,71.77697,-2.71707,-64.964607,107.319855,30.141766,-65.034142,108.076515,47.444977,-66.265854,107.511993,14.368121,-64.580055,91.223206,47.343723,-64.941833,98.261086,36.286762,-64.512459,91.063805,14.554116,-65.064812,86.7285,24.944946,-68.88739,74.546257,14.733364,-66.97953,74.809067,47.850555,-68.073554,75.563156,30.630358
8,0.066,-0.000039,0.000003,-0.001346,0.999999,-52.251114,69.434982,33.00816,-51.783859,71.727791,68.754883,-51.811504,67.191353,68.912033,-52.700108,67.051727,-2.908853,-52.708984,71.769073,-2.725416,-51.773716,71.73127,68.741951,-51.821495,67.187721,68.906502,-52.688389,67.046326,-2.898221,-52.720409,71.774742,-2.716275,-65.064079,107.210159,30.133183,-65.11277,108.008446,47.418423,-66.37336,107.411133,14.355365,-64.594826,91.179413,47.315586,-65.03627,98.193237,36.287975,-64.634911,90.985497,14.562169,-65.020386,86.680473,24.959879,-68.296234,74.301872,14.729155,-66.455078,74.707146,47.90205,-67.482398,75.318771,30.631571
9,0.075,-0.000024,-0.000004,-0.001273,0.999999,-52.251362,69.435387,33.008652,-51.785,71.727242,68.755447,-51.811981,67.190804,68.912468,-52.699451,67.053085,-2.908438,-52.709019,71.770432,-2.724868,-51.77409,71.730766,68.742004,-51.822643,67.18708,68.908218,-52.686333,67.047569,-2.898065,-52.721859,71.776283,-2.716143,-65.166916,107.086182,30.121666,-65.203629,107.923874,47.402031,-66.475334,107.294617,14.350041,-64.626968,91.121162,47.285435,-65.17733,98.104431,36.287613,-64.772263,90.907684,14.571261,-65.025658,86.616295,24.976557,-67.574844,74.055931,14.73644,-65.854446,74.63298,47.980614,-66.761008,75.07283,30.631209
10,0.083,-0.000016,0.000008,-0.001283,0.999999,-52.252941,69.436264,33.008984,-51.785648,71.727509,68.755806,-51.812721,67.191071,68.91275,-52.701973,67.054573,-2.908132,-52.711441,71.771912,-2.724487,-51.775204,71.73101,68.74334,-51.823002,67.187393,68.907066,-52.690517,67.050102,-2.897512,-52.722557,71.776619,-2.716172,-65.262589,106.978371,30.106453,-65.286011,107.847725,47.389931,-66.542488,107.203362,14.348504,-64.665512,91.061996,47.262104,-65.328789,98.020409,36.278316,-64.921745,90.814552,14.581028,-65.066994,86.56015,24.990158,-66.914963,73.894539,14.724467,-65.308357,74.5895,48.024006,-66.101127,74.911438,30.621912
11,0.091,-0.000018,-0.00001,-0.001095,0.999999,-52.252209,69.435287,33.007687,-51.787079,71.72683,68.754517,-51.81245,67.190376,68.911476,-52.699036,67.053314,-2.909437,-52.710281,71.770645,-2.725807,-51.77552,71.731125,68.741135,-51.823765,67.185883,68.906166,-52.686459,67.04818,-2.898075,-52.722466,71.77607,-2.717763,-65.33712,106.856537,30.097839,-65.353752,107.781456,47.380756,-66.637367,107.108009,14.33315,-64.700432,90.993805,47.235851,-65.503502,97.93103,36.260082,-65.101715,90.71479,14.594245,-65.129807,86.506477,24.995857,-66.196098,73.80629,14.729381,-64.753128,74.550179,48.029594,-65.382262,74.823189,30.603678
12,0.1,-0.000011,-0.000006,-0.000875,1,-52.252888,69.436249,33.008461,-51.788445,71.727547,68.755318,-51.811813,67.191078,68.912216,-52.698986,67.05452,-2.908695,-52.712315,71.771851,-2.725002,-51.775723,71.732521,68.742493,-51.824314,67.185974,68.906029,-52.689026,67.05201,-2.898933,-52.721985,71.77459,-2.717567,-65.425026,106.737091,30.099401,-65.430061,107.709862,47.364937,-66.702446,107.025337,14.32607,-64.772606,90.889374,47.213295,-65.652603,97.844734,36.264046,-65.334061,90.613838,14.600812,-65.231918,86.442268,24.9939,-65.383568,73.751549,14.764166,-64.080994,74.537636,48.042591,-64.569732,74.768448,30.607642
13,0.108,-0.000018,-0.000002,-0.00124,0.999999,-52.253132,69.435265,33.009453,-51.786781,71.726685,68.756271,-51.813465,67.190239,68.913231,-52.70121,67.053398,-2.907667,-52.711086,71.770737,-2.72403,-51.77388,71.732353,68.744522,-51.82618,67.184395,68.90789,-52.690582,67.049522,-2.89805,-52.721386,71.774834,-2.717762,-65.486,106.641212,30.090874,-65.51532,107.638824,47.358059,-66.789032,106.927872,14.327324,-64.823837,90.818604,47.184788,-65.773918,97.752213,36.263733,-65.592453,90.542542,14.620592,-65.341232,86.386505,24.987782,-64.643326,73.783722,14.778442,-63.499058,74.528831,48.019302,-63.82949,74.800621,30.607329
14,0.116,-0.000018,-0.000003,-0.001239,0.999999,-52.252895,69.435051,33.008514,-51.786621,71.726463,68.755333,-51.813286,67.190018,68.912292,-52.700893,67.053185,-2.908602,-52.710785,71.770523,-2.724975,-51.774395,71.731934,68.74482,-51.825405,67.184395,68.906876,-52.688557,67.047729,-2.899083,-52.722813,71.776161,-2.718431,-65.542389,106.566223,30.082729,-65.576622,107.575943,47.353096,-66.872665,106.845184,14.322361,-64.876572,90.751068,47.156441,-65.874443,97.679955,36.264267,-65.795586,90.492851,14.654549,-65.436432,86.339119,24.993887,-63.926815,73.903748,14.763906,-62.87458,74.580696,47.990639,-63.112979,74.920647,30.607863
15,0.125,-0.000023,-0.000013,-0.001542,0.999999,-52.255241,69.434395,33.008091,-51.788284,71.725861,68.754906,-51.817711,67.189438,68.911911,-52.703976,67.052467,-2.909014,-52.71101,71.769806,-2.725425,-51.77734,71.730629,68.743813,-51.828636,67.18454,68.905075,-52.692013,67.046394,-2.898372,-52.722633,71.776039,-2.717268,-65.60891,106.494331,30.075762,-65.632248,107.500183,47.361031,-66.926903,106.780708,14.312182,-64.965904,90.67112,47.137688,-65.968506,97.611847,36.264736,-65.893173,90.473,14.675024,-65.537384,86.298103,24.988335,-63.145004,74.069267,14.770002,-62.213623,74.725807,47.92704,-62.331168,75.086166,30.608332
16,0.133,-0.000014,-0.000014,-0.001859,0.999998,-52.254452,69.434174,33.008064,-51.786087,71.724709,68.754921,-51.81839,67.188301,68.911835,-52.704643,67.053169,-2.909088,-52.708691,71.770515,-2.725416,-51.774269,71.729866,68.743095,-51.83007,67.183014,68.906555,-52.691246,67.046089,-2.899195,-52.721828,71.777832,-2.717123,-65.679924,106.452301,30.074629,-65.682724,107.441643,47.368622,-66.964836,106.735786,14.306834,-65.03521,90.609322,47.127548,-66.062897,97.543037,36.282055,-66.163528,90.368317,14.675091,-65.610596,86.271492,24.957462,-62.538475,74.296432,14.809924,-61.654301,74.893097,47.83606,-61.724639,75.313331,30.625651
17,0.141,-0.000024,-0.000007,-0.0018,0.999998,-52.253891,69.433968,33.007462,-51.785339,71.725288,68.754265,-51.817108,67.188881,68.911278,-52.704269,67.052185,-2.909634,-52.708858,71.769539,-2.72606,-51.774227,71.72998,68.743179,-51.828129,67.184074,68.905434,-52.691277,67.045723,-2.899946,-52.721603,71.776192,-2.717584,-65.741829,106.421509,30.082661,-65.744591,107.380402,47.371246,-67.038986,106.682503,14.298905,-65.100929,90.552086,47.119678,-66.110146,97.499588,36.284889,-66.470238,90.248573,14.676046,-65.584709,86.278488,24.920622,-61.949242,74.597565,14.807415,-61.091496,75.134262,47.726418,-61.135406,75.614464,30.628485
18,0.15,-0.000019,0.000009,-0.00143,0.999999,-52.252674,69.434471,33.007965,-51.784634,71.725807,68.754784,-51.813038,67.189369,68.911758,-52.702477,67.052689,-2.909148,-52.710556,71.770027,-2.725527,-51.773708,71.730713,68.743233,-51.823814,67.184341,68.906776,-52.690517,67.04686,-2.899801,-52.722271,71.776085,-2.717706,-65.806915,106.416229,30.084377,-65.787766,107.322456,47.371593,-67.088898,106.643913,14.291042,-65.204414,90.492241,47.121136,-66.150612,97.465042,36.280327,-66.741837,90.182251,14.650824,-65.574852,86.279869,24.878366,-61.37719,75.005432,14.819324,-60.532635,75.421677,47.66774,-60.682003,75.99395,30.55752
19,0.158,-0.000029,0.000005,-0.001282,0.999999,-52.253025,69.435066,33.007927,-51.785995,71.727219,68.7547,-51.813049,67.190788,68.911758,-52.701794,67.05246,-2.909133,-52.711273,71.769806,-2.725607,-51.776009,71.73101,68.742455,-51.822895,67.18679,68.907272,-52.689682,67.045898,-2.89877,-52.723057,71.776649,-2.717777,-65.860779,106.422806,30.086735,-65.818176,107.28421,47.374733,-67.112511,106.613396,14.280178,-65.2948,90.450455,47.130779,-66.179237,97.44236,36.277634,-66.974487,90.16526,14.609168,-65.660927,86.25753,24.8297,-60.906719,75.372749,14.771122,-60.076481,75.674332,47.624607,-60.288631,76.312828,30.513218
20,0.166,-0.000022,0.000015,-0.001466,0.999999,-52.25296,69.433907,33.008007,-51.784336,71.725395,68.754791,-51.813065,67.188972,68.911797,-52.703358,67.051956,-2.909073,-52.711094,71.769295,-2.725482,-51.773979,71.729622,68.742569,-51.823257,67.18457,68.907997,-52.691483,67.045425,-2.900034,-52.722752,71.776131,-2.717499,-65.915863,106.417526,30.088329,-65.854614,107.247925,47.380596,-67.153076,106.579269,14.281567,-65.399467,90.415901,47.150993,-66.210487,97.424316,36.264736,-67.201851,90.184311,14.559009,-65.778854,86.22731,24.774786,-60.510983,75.79229,14.704132,-59.662174,75.929413,47.598,-60.01712,76.622429,30.459011
21,0.175,-0.000012,0.000018,-0.00144,0.999999,-52.251434,69.433228,33.008324,-51.782692,71.724037,68.755165,-51.811176,67.187607,68.912064,-52.701942,67.051971,-2.908808,-52.70993,71.76931,-2.725121,-51.772808,71.72834,68.743065,-51.820923,67.183197,68.907158,-52.690186,67.045563,-2.899643,-52.721512,71.77597,-2.716001,-65.96405,106.399597,30.084642,-65.890099,107.211128,47.389103,-67.179367,106.556908,14.280369,-65.479637,90.407234,47.178562,-66.243996,97.411728,36.249893,-67.443581,90.2397,14.461738,-65.883469,86.218605,24.743948,-60.122807,76.198532,14.620791,-59.274769,76.194633,47.510666,-59.836716,76.966728,30.38274
22,0.183,-0.000015,0.000015,-0.001283,0.999999,-52.252644,69.43438,33.007542,-51.784885,71.725555,68.754364,-51.811947,67.189117,68.911301,-52.702141,67.052757,-2.90958,-52.711613,71.770096,-2.725923,-51.774632,71.731277,68.742538,-51.82209,67.183296,68.905952,-52.69091,67.04586,-2.899743,-52.722572,71.777214,-2.717885,-65.99881,106.369125,30.082802,-65.923111,107.184578,47.392735,-67.20311,106.541237,14.276284,-65.521805,90.420471,47.215031,-66.265175,97.4095,36.247166,-67.610519,90.268364,14.413641,-65.947845,86.225418,24.747326,-59.874588,76.562599,14.574862,-59.003414,76.467407,47.430153,-59.657078,77.220741,30.327362
23,0.191,-0.000023,0.000002,-0.00122,0.999999,-52.25256,69.434067,33.008541,-51.786022,71.725845,68.755341,-51.812523,67.189407,68.912346,-52.700825,67.051842,-2.908549,-52.710884,71.76918,-2.724963,-51.77483,71.731659,68.742256,-51.82354,67.183495,68.90625,-52.689743,67.046097,-2.897699,-52.721619,71.775154,-2.716658,-66.034912,106.336006,30.073872,-65.96154,107.157097,47.3978,-67.224106,106.529495,14.271903,-65.551582,90.449883,47.247478,-66.283607,97.407715,36.243397,-67.729881,90.305794,14.398696,-66.00338,86.233337,24.736223,-59.683502,76.845161,14.519445,-58.763195,76.715729,47.347343,-59.467018,77.419418,30.274529
24,0.2,-0.00002,0.00001,-0.001075,0.999999,-52.252567,69.434181,33.008621,-51.78606,71.725891,68.755424,-51.811237,67.189445,68.912415,-52.700771,67.052025,-2.908474,-52.712204,71.769356,-2.724865,-51.77515,71.732491,68.743202,-51.821995,67.182762,68.906715,-52.691013,67.04689,-2.898514,-52.721661,71.774712,-2.717651,-66.076614,106.325485,30.076292,-65.989914,107.130554,47.406151,-67.246239,106.512405,14.26017,-65.561638,90.482422,47.25647,-66.288254,97.41478,36.23407,-67.789291,90.338699,14.405908,-66.024483,86.238754,24.712858,-59.548241,77.182472,14.459096,-58.553738,76.963219,47.292507,-59.288673,77.556297,30.238825
25,0.208,-0.000011,0.000005,-0.001222,0.999999,-52.253258,69.43412,33.009125,-51.786457,71.72506,68.755974,-51.812977,67.188614,68.912865,-52.701782,67.052742,-2.908015,-52.711826,71.770073,-2.724323,-51.774048,71.730988,68.743034,-51.825153,67.182533,68.907562,-52.690887,67.048111,-2.897614,-52.72237,71.774963,-2.717365,-66.107925,106.340157,30.077177,-66.021744,107.112709,47.404568,-67.288864,106.495033,14.25035,-65.539703,90.498138,47.238449,-66.276428,97.417709,36.228119,-67.818253,90.367722,14.408083,-66.02211,86.240265,24.693371,-59.454006,77.413185,14.411187,-58.43903,77.17495,47.278683,-59.151005,77.639076,30.211588
26,0.216,-0.00002,0.00001,-0.001118,0.999999,-52.253471,69.4338,33.008755,-51.78677,71.725464,68.755554,-51.812344,67.189011,68.912537,-52.701878,67.051689,-2.90834,-52.712906,71.76902,-2.724731,-51.775368,71.731865,68.74337,-51.823555,67.182518,68.907639,-52.690697,67.045593,-2.898683,-52.723812,71.775368,-2.717426,-66.136757,106.3517,30.073559,-66.045708,107.095825,47.401241,-67.306114,106.487,14.241886,-65.499557,90.510727,47.211514,-66.262115,97.419258,36.222462,-67.841408,90.39875,14.397697,-66.023933,86.24614,24.679375,-59.435844,77.639267,14.294772,-58.361416,77.331818,47.25766,-59.074097,77.694672,30.179089
27,0.225,-0.000022,0.000011,-0.001209,0.999999,-52.25317,69.434189,33.008705,-51.78603,71.725906,68.755493,-51.812424,67.189461,68.912491,-52.702034,67.05204,-2.908382,-52.712196,71.769371,-2.724785,-51.774628,71.732323,68.743721,-51.823677,67.182991,68.907112,-52.69186,67.046867,-2.899487,-52.722149,71.77475,-2.717199,-66.166885,106.345978,30.0672,-66.069427,107.079109,47.400543,-67.314217,106.482109,14.235271,-65.434937,90.524551,47.18626,-66.244995,97.427109,36.209412,-67.861633,90.427528,14.379212,-66.023598,86.257713,24.663853,-59.447266,77.830902,14.150403,-58.278282,77.435837,47.224659,-59.006165,77.733955,30.122999
28,0.233,-0.000017,0.000003,-0.00114,0.999999,-52.253353,69.433937,33.00861,-51.787079,71.725395,68.755432,-51.812859,67.188957,68.912399,-52.701332,67.052032,-2.90851,-52.712147,71.769363,-2.724877,-51.774536,71.731133,68.743546,-51.825287,67.183128,68.905846,-52.690933,67.048409,-2.899145,-52.722298,71.773155,-2.717123,-66.184959,106.334755,30.062012,-66.086266,107.068359,47.397457,-67.32032,106.477913,14.228702,-65.348106,90.549118,47.169033,-66.201469,97.447449,36.173267,-67.86628,90.451141,14.366238,-66.002731,86.272972,24.641798,-59.521519,77.965576,14.028098,-58.224384,77.453461,47.179024,-58.97485,77.735695,30.069225
29,0.241,-0.000016,0.000016,-0.00138,0.999999,-52.252865,69.433662,33.008125,-51.784534,71.724823,68.754936,-51.812481,67.188393,68.911888,-52.70295,67.052055,-2.908987,-52.711498,71.769394,-2.725336,-51.773514,71.729828,68.743919,-51.823418,67.183342,68.906441,-52.691216,67.045883,-2.900802,-52.723114,71.775757,-2.716441,-66.195244,106.331024,30.057468,-66.103096,107.055412,47.390324,-67.323288,106.477226,14.215408,-65.281624,90.564278,47.145695,-66.20713,97.442566,36.131306,-67.859688,90.463264,14.358189,-65.961685,86.285385,24.614815,-59.613438,78.036728,13.916477,-58.173962,77.420464,47.113014,-58.974266,77.696106,30.025745
30,0.25,-0.000027,0.000009,-0.001576,0.999999,-52.251518,69.433456,33.008297,-51.782845,71.72525,68.755066,-51.812572,67.18882,68.912125,-52.701973,67.051208,-2.908772,-52.708687,71.768555,-2.725235,-51.772594,71.728584,68.743011,-51.822723,67.185295,68.906502,-52.689301,67.045364,-2.897854,-52.721012,71.774635,-2.716743,-66.200157,106.332817,30.049103,-66.129616,107.04142,47.373112,-67.324577,106.484985,14.203416,-65.20063,90.571846,47.119904,-66.164803,97.447136,36.101891,-67.835724,90.465256,14.345627,-65.914085,86.290985,24.588451,-59.737808,78.040039,13.839066,-58.135677,77.314178,47.059261,-59.009338,77.582947,29.985216
31,0.258,-0.000032,0.000014,-0.00146,0.999999,-52.251404,69.4338,33.009136,-51.782902,71.726051,68.755875,-51.811577,67.189621,68.912971,-52.701675,67.051102,-2.907896,-52.709473,71.768448,-2.7244,-51.772644,71.73024,68.74369,-51.821632,67.185303,68.909393,-52.689545,67.044853,-2.899647,-52.72147,71.774994,-2.715804,-66.195023,106.340828,30.041849,-66.14872,107.029961,47.362705,-67.324593,106.49353,14.190498,-65.102333,90.576157,47.085728,-66.120018,97.451225,36.075607,-67.806473,90.461922,14.326629,-65.871773,86.287926,24.563044,-59.812809,77.990746,13.837936,-58.116596,77.136185,47.014385,-59.058674,77.428146,29.969524
