,Frame,Time (Seconds),X,Y,Z,W,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4,Y.4,Z.4,X.5,Y.5,Z.5,X.6,Y.6,Z.6,X.7,Y.7,Z.7,X.8,Y.8,Z.8,X.9,Y.9,Z.9,X.10,Y.10,Z.10,X.11,Y.11,Z.11,X.12,Y.12,Z.12,X.13,Y.13,Z.13,X.14,Y.14,Z.14,X.15,Y.15,Z.15,X.16,Y.16,Z.16,X.17,Y.17,Z.17,X.18,Y.18,Z.18,X.19,Y.19,Z.19,X.20,Y.20,Z.20
10,10,0.083,9.1e-05,6.1e-05,0.000182,1.0,-52.255638,69.439323,33.002575,-51.791279,71.724281,68.749832,-51.805042,67.187752,68.905815,-52.701481,67.064003,-2.915007,-52.724751,71.78125,-2.730346,-51.778442,71.7369,68.742485,-51.816647,67.176376,68.904381,-52.690243,67.084183,-2.911925,-52.735954,71.761055,-2.724656,-65.472801,108.144608,37.731827,-60.660286,74.510284,52.470207,-58.56982,90.812332,51.810352,-71.597343,92.899681,23.056873,-63.847542,98.558868,42.919628,-58.458965,107.919296,53.708916,-69.51355,88.044426,32.306129,-67.140472,75.826637,36.824875,-73.28656,76.154251,22.311861,-72.495941,109.557053,23.467756,,,
11,11,0.091,7.4e-05,4.9e-05,0.000126,1.0,-52.255512,69.439125,33.003059,-51.791721,71.725273,68.750252,-51.805992,67.188744,68.906387,-52.700794,67.062614,-2.91445,-52.723545,71.779877,-2.729946,-51.778774,71.73954,68.744759,-51.818024,67.175522,68.905327,-52.68858,67.08326,-2.912122,-52.735203,71.760109,-2.725711,-65.475449,108.135269,37.727673,-60.670368,74.500496,52.46703,-58.575226,90.799316,51.807373,-71.606377,92.89119,23.053238,-63.861053,98.545929,42.9338,-58.457344,107.907295,53.705399,-69.509193,88.034233,32.299255,-67.140564,75.81588,36.820835,-73.286667,76.148064,22.302914,-72.506592,109.544899,23.466316,,,
12,12,0.1,8.9e-05,5.1e-05,0.000311,1.0,-52.255474,69.439301,33.002598,-51.79245,71.72451,68.749855,-51.805042,67.187973,68.905853,-52.699959,67.063736,-2.91498,-52.724457,71.780983,-2.73034,-51.779537,71.738625,68.741524,-51.816345,67.175613,68.90448,-52.688473,67.084984,-2.910947,-52.73531,71.760841,-2.724875,-65.480728,108.120438,37.72776,-60.677074,74.488602,52.46566,-58.580963,90.788345,51.800644,-71.614265,92.879494,23.049107,-63.871418,98.533669,42.936172,-58.451599,107.893013,53.697853,-69.503647,88.022202,32.293556,-67.137115,75.802002,36.817169,-73.27803,76.139717,22.295153,-72.520889,109.529968,23.465282,,,
13,13,0.108,9.8e-05,4.5e-05,0.000178,1.0,-52.256084,69.439316,33.002434,-51.79282,71.723763,68.749741,-51.806622,67.187225,68.905655,-52.700829,67.064514,-2.915189,-52.724068,71.781769,-2.730465,-51.779205,71.736694,68.741081,-51.818077,67.176376,68.904808,-52.690186,67.085144,-2.912421,-52.735256,71.760017,-2.72404,-65.487083,108.103752,37.729675,-60.678173,74.478554,52.465256,-58.581917,90.774902,51.796658,-71.617699,92.866226,23.048391,-63.88126,98.523827,42.938877,-58.446045,107.875237,53.693645,-69.495934,88.011139,32.290565,-67.13092,75.785141,36.815556,-73.267189,76.125809,22.291393,-72.53196,109.514091,23.466705,,,
14,14,0.116,9.2e-05,4.2e-05,0.000191,1.0,-52.255421,69.438515,33.00272,-51.79245,71.723434,68.749992,-51.806129,67.186897,68.905975,-52.699875,67.06324,-2.914879,-52.72324,71.780487,-2.730209,-51.779133,71.736656,68.742088,-51.817715,67.175385,68.90509,-52.688778,67.084084,-2.911901,-52.734341,71.759613,-2.72463,-65.496399,108.088974,37.730457,-60.67527,74.465828,52.46471,-58.583366,90.762733,51.787586,-71.619949,92.852348,23.044933,-63.891811,98.510056,42.94133,-58.442379,107.861092,53.687721,-69.488213,87.995995,32.287144,-67.124138,75.765335,36.814178,-73.253647,76.108932,22.289299,-72.544029,109.496559,23.468229,,,
15,15,0.125,9.2e-05,5.1e-05,0.000333,1.0,-52.254623,69.438614,33.002506,-51.79166,71.723618,68.749786,-51.804054,67.18708,68.905746,-52.699043,67.063263,-2.915087,-52.72374,71.780502,-2.730417,-51.778965,71.736885,68.742355,-51.815258,67.175415,68.904472,-52.688343,67.082977,-2.912393,-52.734695,71.760231,-2.724503,-65.503326,108.069191,37.72419,-60.667843,74.453384,52.46299,-58.583183,90.748199,51.782818,-71.621048,92.830864,23.039236,-63.906914,98.495865,42.944466,-58.440323,107.845154,53.683365,-69.481201,87.977661,32.284389,-67.116234,75.739418,36.809303,-73.237457,76.088684,22.284988,-72.557518,109.477402,23.465929,,,
16,16,0.133,7.2e-05,6e-05,0.000132,1.0,-52.25489,69.439117,33.002876,-51.790394,71.725357,68.750061,-51.804607,67.188828,68.906197,-52.700882,67.062523,-2.914613,-52.723682,71.779785,-2.730128,-51.778488,71.739662,68.743866,-51.815826,67.1754,68.90432,-52.689899,67.082855,-2.911652,-52.734406,71.759781,-2.724923,-65.515244,108.046432,37.723576,-60.659134,74.440292,52.463047,-58.577202,90.730186,51.776855,-71.619003,92.813148,23.03401,-63.922249,98.480499,42.944889,-58.440548,107.828712,53.680374,-69.471237,87.961189,32.283909,-67.105644,75.724075,36.80426,-73.219666,76.070656,22.279366,-72.5765,109.456741,23.466106,,,
17,17,0.141,8.5e-05,5.2e-05,0.000364,1.0,-52.2551,69.438683,33.002575,-51.792229,71.724266,68.749825,-51.804344,67.187729,68.905853,-52.699425,67.062752,-2.914983,-52.724411,71.779999,-2.730387,-51.779263,71.737709,68.742393,-51.81567,67.175964,68.90509,-52.688019,67.083755,-2.911908,-52.73534,71.759865,-2.725503,-65.52446,108.026863,37.719501,-60.646343,74.431931,52.461517,-58.5728,90.713371,51.770008,-71.616325,92.795029,23.031193,-63.935669,98.467827,42.942299,-58.442993,107.810913,53.676842,-69.465546,87.943474,32.282742,-67.09108,75.707581,36.799294,-73.199547,76.049973,22.273804,-72.593384,109.438065,23.468647,,,
18,18,0.15,0.000103,5.3e-05,0.000442,1.0,-52.255596,69.438744,33.002396,-51.792973,71.723091,68.74971,-51.804375,67.186546,68.905586,-52.69965,67.064056,-2.915245,-52.72538,71.781288,-2.730474,-51.779312,71.736679,68.741432,-51.815617,67.175362,68.905586,-52.689316,67.084946,-2.912861,-52.735943,71.759956,-2.725165,-65.534157,108.003212,37.716911,-60.630302,74.421257,52.459812,-58.566189,90.695099,51.757938,-71.611023,92.774132,23.027834,-63.950718,98.453407,42.94297,-58.443089,107.795044,53.669357,-69.460281,87.92437,32.282715,-67.07309,75.69072,36.796524,-73.17157,76.027809,22.268808,-72.609451,109.415504,23.467941,,,
19,19,0.158,9.5e-05,4.5e-05,0.000202,1.0,-52.255863,69.439163,33.002388,-51.792759,71.723824,68.749687,-51.806343,67.187294,68.905617,-52.700443,67.06414,-2.915225,-52.723915,71.781387,-2.730522,-51.778328,71.73671,68.741402,-51.818855,67.176117,68.904533,-52.688702,67.083977,-2.912019,-52.735596,71.761597,-2.724737,-65.54377,107.983505,37.714134,-60.613586,74.413612,52.456867,-58.560257,90.680397,51.748169,-71.606049,92.759766,23.022797,-63.96011,98.442879,42.941219,-58.44537,107.782127,53.664799,-69.4562,87.902649,32.277103,-67.052963,75.67762,36.787109,-73.141151,76.004623,22.254559,-72.625839,109.395264,23.468014,,,
20,20,0.166,9.6e-05,4.6e-05,0.000191,1.0,-52.256138,69.43911,33.002285,-51.792896,71.723732,68.74958,-51.80658,67.187187,68.905518,-52.700859,67.064148,-2.915329,-52.72422,71.781395,-2.730626,-51.779831,71.737686,68.741966,-51.818062,67.17498,68.904182,-52.689869,67.08429,-2.912609,-52.735565,71.760498,-2.724514,-65.55191,107.965302,37.709976,-60.590012,74.405121,52.446453,-58.547825,90.660713,51.730007,-71.600952,92.744766,23.021156,-63.969982,98.432129,42.938248,-58.446575,107.768974,53.658997,-69.46347,87.888306,32.280342,-67.028137,75.664505,36.777313,-73.105934,75.989655,22.245689,-72.641563,109.375763,23.463703,,,
21,21,0.175,8.9e-05,6e-05,0.000173,1.0,-52.255791,69.43837,33.002258,-51.791443,71.723457,68.749512,-51.805283,67.18692,68.90551,-52.70163,67.062927,-2.915311,-52.724815,71.780182,-2.73067,-51.778351,71.737518,68.741219,-51.816387,67.174965,68.904907,-52.690445,67.085136,-2.911695,-52.735264,71.759445,-2.725791,-65.587479,107.938805,37.708561,-60.563404,74.397621,52.445042,-58.537346,90.642387,51.716087,-71.589714,92.728714,23.016254,-63.977711,98.420448,42.934013,-58.449902,107.75219,53.651802,-69.464531,87.870926,32.279781,-66.996651,75.653229,36.764553,-73.049339,75.969978,22.235365,-72.65313,109.35434,23.45956,,,
