,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071
,ID,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
194,1.616,67.383179,1093.884277,-52.806568,90.156197,1353.632812,28.570726,96.114441,1173.323364,-29.376144,-61.953896,1286.414062,-1.950244,201.921661,1225.996826,94.88456,-43.106277,1444.349731,-6.895212,197.719589,1369.608154,131.672424,-85.047928,1132.156128,-4.509241,48.592911,1291.339844,23.861069,186.843582,1068.486328,59.811184
195,1.625,71.788368,1098.265137,-60.49601,90.600975,1355.839722,28.949289,98.647537,1177.309692,-33.820145,-60.577545,1288.141235,-6.760182,202.506882,1227.178467,93.385246,-43.244007,1446.126221,-6.454176,196.944992,1369.578613,133.017227,-82.38253,1133.985352,-15.751509,49.586487,1293.179199,22.170292,189.048172,1070.691284,53.504345
196,1.633,75.563423,1102.330933,-67.106247,90.764679,1357.74646,29.430271,100.936234,1180.997559,-37.497108,-59.531452,1289.587036,-11.223362,202.926468,1228.47522,91.832642,-43.906845,1447.690063,-5.949184,196.47821,1369.539062,134.191315,-79.881821,1135.750732,-25.805075,50.347038,1294.93396,20.475451,191.016312,1072.643677,48.340721
197,1.641,79.129692,1106.599121,-73.279663,90.746254,1359.657227,30.021017,103.232544,1184.518799,-40.808876,-58.868065,1291.089233,-16.019083,203.55304,1229.848267,90.486702,-44.573723,1449.131226,-5.624683,195.816177,1369.389282,135.463425,-77.485435,1137.609619,-35.521584,51.111427,1296.532227,19.407789,192.809586,1074.58728,43.482468
198,1.649,82.548744,1110.857056,-79.120682,90.643059,1361.517822,30.293892,105.203606,1187.980469,-43.972973,-58.23344,1292.349609,-20.612881,203.899765,1231.156616,89.235939,-45.084667,1450.302612,-5.217195,195.336227,1369.171509,136.645691,-75.093193,1139.501099,-44.943554,52.037144,1298.058105,18.26329,194.620819,1076.640869,39.03059
199,1.658,86.447556,1115.47876,-84.858139,90.575722,1363.406372,30.98868,107.607544,1191.453491,-46.939949,-57.443195,1293.89209,-25.176485,204.388992,1232.576538,87.864494,-45.875076,1451.116577,-4.62417,194.666962,1369.016357,137.716385,-72.493591,1141.734253,-55.173294,52.945072,1299.723877,16.949158,196.682343,1078.995483,33.891411
200,1.666,89.765022,1119.266968,-89.77372,90.411407,1364.907837,31.593769,109.532967,1194.240356,-49.205914,-57.195469,1295.488647,-29.698729,204.878098,1233.262329,87.193001,-46.721848,1451.398315,-3.907147,194.032043,1368.728271,138.794266,-69.989998,1143.514893,-63.902534,53.653919,1301.271851,15.983652,198.531998,1081.247437,30.091413
201,1.675,93.366966,1123.432007,-94.453018,90.187729,1366.37854,32.528946,111.395401,1197.086914,-51.533539,-56.690884,1297.216797,-34.773621,205.668991,1233.862305,86.520744,-47.650135,1451.492676,-3.090274,193.477081,1368.485596,139.894714,-67.126289,1145.646362,-73.098869,54.511234,1302.782593,15.057169,200.482971,1083.348877,25.884129
202,1.683,96.267624,1126.600708,-98.047897,89.961838,1367.503296,33.119919,113.269272,1199.375122,-52.808189,-56.272205,1298.743408,-39.152657,206.507278,1234.273804,85.787361,-48.429653,1451.440308,-2.409891,192.847748,1368.151489,140.987076,-64.711945,1147.663452,-81.36602,55.209347,1303.769287,14.493717,202.248535,1084.982788,22.733438
203,1.691,99.076302,1129.79895,-101.282112,89.532753,1368.404053,33.765663,115.092667,1201.49939,-54.406578,-55.799721,1300.348755,-43.327427,207.19751,1234.926392,85.274765,-49.363693,1451.262939,-1.632605,192.427551,1367.825562,141.919312,-62.15884,1149.893921,-89.185791,55.736217,1304.526001,14.071616,204.056732,1086.544434,19.984026
204,1.7,101.850029,1132.951294,-104.376945,89.230995,1369.200806,34.870716,116.986526,1203.742065,-55.624447,-55.159496,1302.043457,-47.878635,208.037918,1235.927856,84.663445,-50.251995,1450.849854,-0.622851,192.007339,1367.375488,142.990921,-59.391418,1152.562866,-97.478004,56.382816,1305.422729,13.750733,205.936554,1088.350586,16.946938
205,1.708,104.013603,1135.225464,-106.709717,88.921577,1369.83728,35.660519,118.39328,1205.441528,-56.658939,-54.232811,1303.652466,-51.727528,208.550995,1236.643066,84.361427,-51.281147,1450.433838,0.214734,191.473038,1366.939209,143.948029,-56.928848,1154.727661,-104.432228,56.645458,1306.169189,13.511552,207.717712,1089.831055,14.613464
206,1.716,105.904701,1137.463623,-108.442917,88.609673,1370.247192,36.49683,119.621727,1207.050659,-57.571651,-53.355797,1305.156738,-55.056393,209.309784,1237.212402,84.15062,-52.027645,1449.875366,1.204286,191.175049,1366.515869,144.893433,-54.702473,1157.25061,-111.119492,56.978069,1306.562134,13.77451,209.66095,1090.807129,12.857853
207,1.725,107.83194,1139.446533,-109.965843,88.142906,1370.420776,37.71759,120.819298,1208.628052,-58.091972,-52.357025,1306.612915,-58.373547,209.985291,1237.548828,84.048416,-53.212402,1449.165039,2.141183,190.802811,1366.135986,145.862411,-52.219746,1160.14502,-118.24791,57.173538,1306.688354,14.042182,211.674286,1091.924194,11.091305
208,1.733,109.353081,1140.649048,-110.701958,87.668335,1370.503784,38.785969,121.934982,1209.93811,-58.742794,-51.52433,1307.881958,-61.066685,210.729736,1237.877075,84.0923,-53.888725,1448.315674,3.28142,190.347641,1365.701294,146.940628,-49.913876,1162.809082,-124.377693,57.292332,1306.63623,14.410612,213.328491,1092.955444,9.828083
209,1.741,110.711723,1141.600464,-111.114845,87.205772,1370.553345,39.840401,122.573715,1211.008667,-59.213329,-50.614677,1308.898193,-63.435703,211.377731,1238.152344,84.14959,-55.1264,1447.296631,4.176312,190.099838,1365.268311,147.969528,-47.716766,1165.247314,-129.997726,57.314983,1306.495117,14.799406,214.742691,1094.140137,8.651209
210,1.75,111.973679,1142.438599,-111.427704,86.428635,1370.503052,41.262592,123.572418,1211.990234,-58.986385,-49.727596,1309.935425,-65.719383,212.029526,1238.620972,84.633118,-56.285091,1445.964844,5.258354,189.761475,1364.916504,148.948166,-45.231152,1168.298584,-136.049774,57.295834,1306.23584,15.38157,216.268906,1095.37085,7.975287
211,1.758,112.706116,1142.748901,-111.303558,85.927139,1370.257324,42.283852,123.99852,1212.338745,-58.679836,-48.95945,1310.59375,-67.201729,212.430786,1238.985718,85.039848,-57.138535,1444.449707,6.243443,189.320862,1364.567993,149.922989,-42.794506,1170.805054,-141.064316,57.201294,1305.829102,16.403603,217.771576,1096.358643,7.656284
212,1.766,113.2071,1142.696167,-110.816742,85.46965,1370.016968,43.368702,124.317688,1212.394897,-58.186951,-48.426735,1310.969238,-68.484589,212.895294,1239.180298,85.575905,-58.233009,1442.437744,7.594346,189.028748,1364.232666,150.883545,-40.41507,1173.157227,-145.700012,57.033878,1305.224976,16.984129,219.221741,1097.018921,7.504449
213,1.774,113.668961,1142.42627,-109.880493,84.797066,1369.665527,44.645222,124.641922,1212.196655,-57.515541,-47.910084,1311.23645,-69.617577,213.33194,1239.315552,86.075859,-58.97089,1440.275391,8.90702,188.802933,1364.000366,151.82402,-37.955902,1175.566772,-149.89566,56.888428,1304.486816,18.01601,220.342239,1097.229736,7.708282
214,1.783,114.031151,1141.407593,-108.183571,84.187057,1369.041504,45.765675,125.042305,1211.270996,-56.158699,-47.430527,1311.364502,-70.421242,213.562607,1239.494873,86.848213,-60.005154,1438.026733,10.062388,188.495499,1363.575073,153.073853,-34.961021,1178.104126,-153.994049,56.607105,1303.438843,19.206059,221.735977,1097.294189,8.092424
215,1.791,114.350868,1140.268921,-106.610664,83.526474,1368.113892,46.944912,125.374947,1210.34375,-54.8106,-46.934086,1311.164917,-70.895073,213.827271,1239.7323,87.702606,-60.585258,1436.454102,11.124054,188.420364,1363.487671,153.478226,-32.286541,1180.078979,-157.219284,56.412884,1302.168701,20.575424,222.701736,1097.12439,9.135416
216,1.8,114.505608,1138.713623,-104.525948,82.89415,1366.765381,47.854031,125.544708,1209.504395,-53.216316,-46.160358,1310.578857,-71.088951,214.024536,1239.561523,88.903755,-61.58836,1434.657471,11.929249,188.380554,1363.479004,154.332962,-29.229012,1181.980713,-160.283661,56.079395,1300.689697,22.099661,223.472809,1096.792969,10.325671
217,1.808,114.51297,1136.464478,-101.999817,82.171333,1365.398926,49.036266,125.53392,1208.317505,-51.3955,-45.573776,1309.703613,-71.083504,214.294693,1238.986816,90.132553,-62.494183,1432.462769,13.189749,188.116714,1363.325928,155.230804,-26.415575,1183.165771,-162.396622,55.661163,1299.327637,23.617874,223.834595,1096.279175,11.633245
218,1.816,114.410248,1134.530762,-99.875473,81.846985,1364.016479,50.054306,125.123772,1207.071411,-49.765549,-45.002312,1308.691162,-70.758888,214.539215,1238.124268,91.469719,-63.330875,1429.925659,14.617362,187.679108,1362.984131,156.326263,-23.368641,1184.213135,-164.153625,55.27774,1297.528198,25.371557,224.225739,1095.503296,13.474843
219,1.825,114.593582,1132.305908,-97.211121,81.235016,1362.125244,51.393856,125.006424,1205.26001,-47.422974,-44.392044,1307.551392,-70.126244,214.899597,1237.276001,93.501778,-64.102844,1427.162109,16.349121,187.124115,1362.442749,157.608017,-20.136723,1184.991211,-165.426544,54.842346,1295.135376,27.458168,224.3629,1094.356201,15.856819
220,1.833,114.934052,1130.411011,-94.648575,81.1679,1359.45105,53.685162,124.429169,1203.444458,-45.389744,-43.532429,1306.052612,-69.648949,214.927628,1236.801392,94.921623,-64.879974,1424.536377,17.682384,186.799423,1361.825073,158.90863,-17.04055,1185.3573,-166.065659,54.45816,1292.911499,29.56942,224.26474,1093.12207,18.615229
221,1.841,115.256096,1128.296265,-92.088272,80.866882,1356.888794,55.636707,124.254753,1201.203613,-42.720081,-42.87624,1304.410278,-68.740593,215.053207,1236.394897,96.449997,-65.494743,1421.480591,19.257822,186.539413,1361.12439,160.210297,-13.900708,1185.446045,-166.160278,54.010273,1290.735229,31.765371,223.954514,1091.509766,21.491352
222,1.85,115.79377,1126.05957,-89.639763,80.497536,1354.293457,57.340687,123.526413,1198.26355,-40.084679,-42.219936,1302.298462,-67.356621,214.873734,1235.839722,97.987495,-66.420868,1418.188965,21.007496,186.289993,1360.222656,161.747604,-10.546524,1184.428833,-165.408829,53.474541,1287.830811,34.229481,223.426331,1089.453735,25.486395
223,1.858,116.534561,1123.819824,-87.098869,80.101822,1352.081909,58.86301,122.772202,1195.48584,-37.320107,-41.677906,1299.992432,-65.97747,214.692719,1235.060791,99.194687,-66.878021,1415.130005,22.698082,186.084839,1359.425537,163.157318,-7.339983,1181.847046,-162.599701,53.020077,1285.313721,36.578426,222.793304,1087.332764,29.247622
224,1.866,117.45562,1121.330933,-84.594589,79.762337,1349.768311,60.463726,121.989594,1192.817993,-34.480259,-41.191868,1297.649902,-64.145027,215.606125,1231.750732,103.769638,-67.608765,1412.020264,24.287428,185.778564,1358.739136,164.334869,-4.639281,1179.740234,-160.859482,52.4561,1282.628296,39.374222,222.026428,1085.114868,33.164574
225,1.875,118.550888,1118.410767,-81.638031,79.18866,1347.051392,62.563599,120.990494,1189.878906,-31.241777,-40.622501,1294.481689,-62.147129,215.516693,1230.234375,106.895859,-68.600479,1408.672974,26.038921,185.332611,1357.959106,165.677078,-1.980887,1177.1604,-158.330368,51.927132,1279.529663,42.029453,221.049698,1082.632324,38.129734
226,1.883,119.564575,1115.709717,-78.948822,78.733681,1344.540527,64.343338,120.508163,1186.806641,-27.91629,-40.397614,1291.459839,-59.786995,215.564178,1228.645264,109.671959,-69.250275,1405.504395,28.010134,185.178421,1357.146484,167.106842,0.069309,1174.905762,-155.931519,51.402649,1276.678589,44.962654,220.087738,1080.058472,42.92429
227,1.891,120.517639,1112.865479,-76.031723,78.172279,1341.969849,66.110229,120.162491,1183.348145,-24.276522,-40.226639,1288.078491,-57.250568,215.449707,1226.890137,112.622246,-70.152626,1402.290649,29.69105,184.954102,1356.315308,168.22847,1.435763,1172.110352,-153.09523,50.782639,1273.924805,47.949436,219.18689,1077.390503,47.896843
228,1.899,121.275429,1109.854004,-73.016769,77.477249,1339.386597,68.239449,119.643089,1179.484619,-20.568338,-40.533176,1284.39209,-54.510288,215.100464,1225.321167,115.183304,-70.665298,1399.020142,31.463608,184.563492,1355.53833,169.308899,2.555641,1168.998779,-150.038986,50.287964,1271.069092,50.631577,218.162399,1074.361084,53.056164
229,1.908,122.056351,1106.397339,-69.25473,76.778008,1336.470215,70.366394,119.130821,1175.012451,-15.835074,-40.769249,1280.141479,-51.181416,214.65239,1223.114136,118.816048,-71.496254,1395.412231,33.42514,184.321854,1354.664551,170.477234,3.564827,1165.025146,-146.474167,49.713253,1267.951904,53.812393,216.822296,1071.270874,59.05584
230,1.916,122.39698,1103.385498,-65.607445,76.163712,1333.891846,72.283112,118.603134,1170.872192,-11.229607,-41.393009,1276.029297,-47.989906,214.29924,1221.156738,122.201088,-72.219177,1392.373657,35.093857,184.209167,1353.82251,171.41832,4.187557,1160.690918,-142.594589,48.982143,1264.817017,57.24493,215.404022,1068.536743,64.400536
231,1.925,122.558563,1099.646851,-61.274452,75.399727,1330.879761,74.301773,117.809792,1166.213013,-5.94061,-42.489189,1271.304932,-43.928764,213.753738,1218.769287,125.833107,-73.159515,1388.8927,36.832298,184.036377,1352.856689,172.320145,4.064672,1155.880127,-137.894424,48.112457,1261.501831,60.923691,213.796249,1065.397217,70.448517
232,1.933,122.501076,1096.19397,-56.971226,74.652725,1328.293213,76.390213,117.006126,1162.335327,-1.298491,-43.411831,1267.017578,-40.441326,213.235077,1216.78894,129.03569,-73.898209,1385.905762,38.750454,184.002441,1352.002563,173.207092,3.509121,1151.446533,-133.711868,47.431232,1258.868408,64.104095,212.322754,1062.542358,76.122719
233,1.941,122.1297,1092.311646,-51.884186,73.774506,1325.701782,78.188499,116.252937,1158.132324,4.279716,-44.730331,1262.387695,-36.495823,212.717834,1214.668579,132.571869,-74.647987,1382.991211,40.550018,183.759705,1351.122559,173.696075,2.632233,1146.758911,-128.806458,46.636166,1256.147095,67.23484,210.984375,1059.408081,82.033058
234,1.95,121.480598,1088.235596,-46.319672,72.993492,1322.644897,80.248215,114.835167,1153.477539,10.301225,-46.139389,1257.463989,-32.119476,212.108749,1212.388916,136.500977,-75.669624,1379.719116,42.516563,183.649872,1350.232056,174.136429,1.183792,1141.231567,-123.436417,45.577137,1253.108398,70.957451,209.357193,1056.248413,88.744255
235,1.958,120.433815,1084.43457,-41.195393,72.239548,1320.049194,81.914734,113.705132,1149.555908,15.751297,-47.659386,1253.021729,-27.854609,211.272736,1210.517822,139.659348,-76.715874,1376.733154,44.336761,183.656418,1349.486938,174.547745,-0.780297,1135.983521,-118.391495,44.586494,1250.459717,74.49353,207.851456,1053.576538,94.757774
236,1.966,119.341751,1080.232422,-35.296329,71.451599,1317.248291,83.797356,112.709,1145.620605,21.834009,-49.180157,1248.695068,-23.761564,210.338379,1208.87854,142.391434,-77.310844,1373.764893,46.233734,183.674362,1348.749878,174.827393,-2.752999,1130.50708,-112.885567,43.56802,1247.86853,77.999397,206.32251,1051.013428,100.942139
237,1.975,117.800896,1075.595215,-28.722029,70.340889,1314.325195,85.928032,110.949432,1141.141235,28.251781,-50.827148,1243.720825,-18.878862,209.680603,1206.834106,145.629791,-78.306206,1370.592773,48.331013,183.747604,1347.838379,175.025818,-5.593672,1124.064575,-106.456474,42.388401,1245.03125,82.118271,204.9077,1047.957397,107.971367
238,1.983,116.069466,1071.094238,-22.257547,69.465393,1311.518799,87.760658,109.741272,1137.348633,33.852127,-52.390335,1239.606445,-14.300837,208.934616,1205.12085,148.257355,-78.972946,1367.898438,50.324245,183.796371,1347.041382,175.239166,-8.462933,1118.159058,-100.546432,41.355633,1242.359253,86.04097,203.227264,1045.310669,114.570427
239,1.991,114.438995,1066.948853,-16.229612,68.609612,1308.920776,89.384285,108.109619,1132.77356,40.160717,-53.990971,1235.490234,-10.02115,208.297348,1203.449707,150.906799,-79.913673,1365.443237,51.965477,183.81958,1346.365601,175.276169,-11.387633,1112.469238,-94.289589,40.186695,1240.045288,89.786636,201.867935,1043.18042,121.186028
240,2,112.275131,1062.268433,-8.856607,67.836151,1306.073853,91.611168,106.265038,1128.75293,46.693558,-56.046875,1231.064331,-4.958958,207.809219,1201.703369,153.771957,-80.899994,1362.936646,53.967796,183.701447,1345.848022,175.123093,-15.134688,1106.047485,-86.988556,38.891747,1237.634521,94.028961,200.16713,1041.083252,128.631882
241,2.008,109.505814,1057.824341,-1.348722,66.901894,1303.781982,93.362434,104.146271,1125.203125,52.273312,-57.737976,1227.366699,-0.69799,207.34465,1200.337402,156.157639,-81.507545,1360.861938,55.38372,183.732071,1345.334106,174.953888,-18.979239,1099.663452,-79.75956,37.754814,1235.542114,97.85862,198.610443,1039.029541,135.728256
242,2.016,106.490105,1053.446655,6.050275,65.972679,1301.492798,95.315506,101.911072,1121.900635,58.035107,-59.14687,1223.640381,3.485407,207.294571,1199.199829,158.596527,-81.82428,1358.916504,56.52808,183.778748,1344.765991,174.72374,-22.878384,1092.990479,-72.114059,36.621574,1233.578735,101.427757,197.191574,1037.082153,142.547714
243,2.024,103.403152,1048.686279,13.68526,65.207321,1299.28833,96.983177,99.872948,1118.415405,64.339546,-60.742725,1220.04187,7.868458,206.895706,1198.279907,160.706497,-82.435333,1357.045044,57.676006,183.760605,1344.141357,174.389877,-26.99427,1086.274658,-64.250549,35.457981,1231.67627,104.988365,195.552383,1035.302734,149.531967
244,2.033,100.022926,1043.826294,22.107773,64.301926,1297.107544,98.850929,97.11824,1114.891113,71.043175,-62.652664,1216.247803,12.579774,206.678894,1196.963379,163.544601,-82.880898,1355.134766,58.720352,183.87442,1343.350952,173.938263,-31.702719,1079.092896,-54.866859,34.013912,1229.851318,108.809952,193.912476,1033.727539,157.422226
245,2.041,96.578697,1038.850708,30.786491,63.569946,1295.166504,100.460625,94.474915,1111.88208,76.843933,-64.568245,1213.182983,16.792179,206.199493,1196.0979,165.374786,-83.117729,1353.675171,59.590878,183.971695,1342.678589,173.466919,-36.197105,1073.064453,-46.218796,32.716133,1228.415894,112.057076,192.396286,1032.471436,164.290878
246,2.049,92.895081,1034.360229,39.247692,62.822296,1293.411987,101.733185,91.789886,1109.001221,82.758965,-66.359085,1210.334229,20.60294,205.951004,1194.947021,167.606415,-83.65136,1352.334717,60.159985,184.033432,1342.110962,172.704498,-40.761864,1066.961548,-37.167301,31.379457,1227.03772,115.214676,190.698425,1031.403076,171.163788
247,2.058,88.396973,1029.782471,48.858685,61.790398,1291.638306,103.13562,88.703842,1105.922119,89.309464,-68.106033,1207.188354,25.378496,205.305603,1193.859009,169.4366,-84.065346,1351.041504,60.773792,184.212402,1341.418457,171.697083,-46.35603,1060.762451,-26.543898,29.856779,1225.61853,118.601921,189.059692,1030.404175,178.593964
248,2.066,84.040077,1025.892212,57.647152,61.186871,1290.055176,104.196907,85.757057,1103.4104,95.176537,-70.109764,1204.789429,28.900394,204.555328,1193.033325,170.866699,-84.334511,1350.046875,61.310547,184.397095,1340.786621,170.789246,-51.348934,1055.844604,-16.733322,28.570431,1224.531616,121.695534,187.663651,1029.507812,185.04303
249,2.075,78.827858,1021.939148,67.775093,60.51239,1288.242554,105.405373,82.36364,1100.832886,101.793816,-72.348396,1202.450073,33.230236,203.810974,1191.866333,172.779999,-84.609001,1349.042358,61.791325,184.621262,1340.076416,169.639389,-57.387939,1050.511963,-5.175269,27.106569,1223.635254,124.921547,185.748093,1028.955078,192.081131
250,2.083,73.918434,1018.810364,76.893089,59.895927,1286.94397,106.205086,79.18705,1099.061401,107.795624,-74.55191,1200.469849,36.949783,202.967056,1190.735474,174.076523,-84.854889,1348.10498,62.0252,185.024628,1339.484375,168.471359,-62.594936,1046.361206,5.239553,26.011202,1222.93689,127.936127,184.281342,1028.558472,197.970612
251,2.091,68.950699,1015.969543,86.175674,58.953533,1285.65564,107.195,76.370033,1097.19104,113.611946,-76.769989,1198.566528,40.330673,201.832169,1189.806885,175.374207,-85.329575,1347.338013,62.285225,185.4198,1338.838623,167.106354,-68.162804,1042.716064,15.934309,24.764544,1222.500122,130.400177,182.82814,1028.518066,203.784775
252,2.1,63.075237,1013.159058,97.140823,58.00795,1284.154419,108.184395,72.98362,1095.340088,120.011421,-79.144516,1196.812256,44.450809,200.425262,1188.861938,176.568726,-85.744873,1346.729614,62.455269,185.781967,1338.121948,165.751785,-74.452438,1039.410522,28.279741,23.368132,1222.071899,133.457123,181.123672,1028.733521,209.688309
253,2.108,57.94463,1011.367432,106.238243,57.343399,1282.813721,109.090462,69.777,1094.607056,125.251099,-81.877884,1195.259033,48.190273,199.131088,1188.092529,177.58696,-86.119812,1346.143066,62.581772,186.00882,1337.527588,164.39386,-80.061501,1037.02063,39.284283,22.060261,1221.890747,136.001465,179.563919,1028.855469,214.823639
254,2.116,52.894558,1010.193481,115.711372,56.89344,1282.133545,109.355759,66.732315,1093.533325,130.853806,-84.53286,1193.958862,51.962513,198.018784,1187.467896,178.353165,-86.20105,1345.589111,62.616402,186.463898,1336.96167,162.929123,-85.882462,1035.378174,50.676208,20.993874,1221.848022,138.477112,178.168442,1029.456177,219.744431
255,2.125,47.818882,1008.887268,125.997353,56.549091,1281.460815,109.380325,63.313141,1092.828125,136.97377,-87.848137,1192.705078,56.637783,196.675583,1186.822266,179.057449,-86.378815,1345.161377,62.478367,186.902603,1336.28833,161.472946,-92.167519,1034.199585,63.35228,19.777182,1221.832153,141.32785,176.567963,1030.229736,224.528976
256,2.133,43.214046,1008.376831,135.004837,55.966908,1280.952881,109.858154,60.313103,1092.130737,142.055954,-90.562859,1191.95752,60.927689,195.378937,1186.320068,179.788284,-86.658104,1344.879517,62.186073,187.147354,1335.683228,160.114532,-97.93956,1034.02356,74.226051,18.469213,1222.135498,143.32962,174.988022,1030.208862,229.561234
257,2.141,38.598854,1008.439331,143.929153,55.270988,1280.380127,110.165634,57.251453,1092.412354,146.563629,-93.452179,1191.407349,65.215157,194.200897,1185.990967,180.277649,-86.853615,1344.775391,61.821789,187.56604,1335.294922,158.397507,-103.685051,1034.297119,85.794182,17.390427,1222.583008,145.199799,173.464554,1031.210815,233.907974
258,2.149,34.406731,1008.987183,152.506531,54.671413,1279.848389,110.464279,54.141937,1092.287354,151.24852,-96.377739,1191.22168,69.891014,193.064423,1185.648682,180.583527,-87.007683,1344.797241,61.397678,187.897385,1334.919678,156.809784,-109.286514,1035.294067,96.751785,16.281679,1223.089966,147.160324,171.840057,1032.193237,237.886307
259,2.158,29.767635,1009.848328,161.925323,54.034016,1279.243286,110.655823,50.911781,1092.825806,155.759476,-99.472557,1191.273804,75.055008,191.88269,1185.335327,181.166748,-87.171982,1344.927246,60.779438,188.313843,1334.424683,155.171783,-115.207214,1036.967285,109.216354,14.917472,1223.824219,149.162613,170.02359,1033.222656,242.0383
260,2.166,25.752394,1011.108887,169.813995,53.498241,1278.935791,110.764168,48.034184,1093.408936,159.737106,-102.220833,1191.768433,79.803352,190.74556,1185.14209,181.466339,-87.233231,1344.970093,60.070221,188.733612,1334.036499,153.315186,-120.285019,1039.03418,119.713875,14.025044,1224.550903,150.93898,168.462326,1034.337524,245.611603
261,2.174,21.96553,1012.480042,177.217499,53.103966,1278.738892,110.72506,45.095592,1093.896484,163.291382,-104.991165,1192.637817,84.814079,189.774658,1185.030884,181.697769,-87.2677,1345.099487,59.400349,189.060333,1333.680664,151.499695,-125.082718,1041.686768,130.249176,12.880833,1225.55542,152.371735,167.144638,1035.873901,248.613312
262,2.183,17.986544,1014.255615,185.331543,52.653046,1278.553955,110.496986,41.962242,1094.939575,166.733017,-107.895126,1193.990967,90.067764,188.713303,1184.924805,181.900208,-87.306892,1345.468262,58.528809,189.539139,1333.271362,149.507828,-130.107452,1045.209229,141.84259,11.926718,1226.61792,153.64003,165.424133,1037.37561,252.049988
263,2.191,14.736634,1015.72168,192.289658,52.248238,1278.531616,110.062904,39.46236,1096.027954,169.439529,-110.12635,1195.541016,94.797806,187.691513,1184.941528,182.199158,-87.395493,1345.966309,57.63707,190.088562,1332.870239,147.800919,-134.219727,1048.959839,151.623047,10.959945,1227.616577,154.82283,163.847534,1038.703613,254.928589
264,2.2,11.12454,1017.776123,199.419922,51.899582,1278.602295,109.536964,36.896175,1097.469727,172.322983,-112.694855,1197.686646,99.959229,186.361633,1185.155273,182.129593,-87.492668,1346.588501,56.691586,190.556412,1332.672607,145.397385,-138.530838,1053.562622,162.402374,10.144673,1229.148926,155.647934,162.12677,1040.280518,257.806702
265,2.208,8.375649,1020.154236,205.011917,51.657417,1278.721191,108.94632,34.73243,1098.606323,174.935822,-114.82592,1199.901855,104.405159,185.472824,1185.445801,182.057602,-87.5756,1347.165527,55.756649,191.114746,1332.536377,143.484055,-141.669159,1057.95166,171.45694,9.593731,1230.328857,156.361176,161.12706,1041.78833,259.884308
266,2.216,6.18457,1022.907166,209.699951,51.482079,1278.853638,108.21125,32.63216,1100.226685,176.960159,-116.830589,1202.419067,108.668327,184.755447,1185.792847,181.917007,-87.580467,1347.735107,54.842941,191.556412,1332.469727,141.470078,-144.464523,1062.803223,179.999588,9.026777,1231.798462,156.722656,159.730881,1043.319702,261.938995
267,2.225,3.988742,1026.091675,214.429398,51.155476,1279.186279,107.164223,30.649632,1102.059448,179.081848,-118.775848,1205.28833,113.188988,183.889114,1186.141235,181.668472,-87.678024,1348.534912,53.537304,192.108185,1332.500732,139.124466,-147.119232,1068.498291,189.174789,8.466549,1233.12793,156.964264,158.671555,1045.243774,263.69223
268,2.233,2.176363,1028.925049,218.288116,50.906506,1279.652954,106.116234,29.091528,1103.697266,180.614243,-120.036018,1208.200684,116.626869,183.171158,1186.510742,181.452606,-87.744766,1349.404907,52.352604,192.644684,1332.561401,137.158569,-149.084686,1073.867065,196.773773,8.09973,1234.566406,156.876114,157.541092,1046.647583,265.095245
