,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071
,ID,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091,45.797432,988.608032,95.25441,56.413898,1295.865234,119.618568,66.628708,1070.536133,87.447815,-107.193642,1169.006958,95.477364,209.523254,1157.967529,138.742493,-104.554703,1320.230469,93.937172,210.589142,1305.986206,140.933105,-110.519424,1012.095215,87.125687,27.63813,1201.732422,109.039391,196.673569,995.457336,154.603943
12,0.1,45.236656,987.554504,94.446381,55.762859,1294.813965,120.051826,65.980377,1069.812256,86.946251,-107.530983,1168.1604,94.884537,208.957642,1157.036987,138.377197,-104.935257,1319.430054,92.993324,210.070007,1304.779907,141.535065,-110.93129,1011.341003,86.166725,27.179487,1200.790405,108.83783,196.424789,994.531738,152.734634
13,0.108,44.906857,986.778564,93.922653,55.440098,1293.817627,120.25235,65.725159,1069.354736,85.958748,-107.87323,1167.363647,94.244965,208.505325,1156.225952,138.176086,-105.198334,1318.638428,92.111435,209.517914,1303.74939,142.124451,-110.957169,1010.418762,85.499001,26.867584,1200.077881,108.660294,196.369522,993.561218,151.365067
14,0.116,44.490437,986.008667,93.532341,55.13921,1292.925415,120.320427,65.299515,1068.292847,85.609642,-108.328941,1166.502441,93.527573,208.085052,1155.364624,137.979752,-105.462914,1317.832764,91.24511,208.986084,1302.850098,142.734085,-111.13607,1009.502991,85.081581,26.576391,1199.3302,108.452942,196.317291,992.472534,149.927322
15,0.125,44.078892,985.211365,93.265472,54.682686,1292.016235,120.549995,64.970528,1067.37561,85.13073,-108.698677,1165.533325,92.588753,207.622665,1154.446411,137.656113,-105.630646,1316.827881,90.39003,208.308807,1301.914429,143.322937,-111.538849,1008.533691,84.93174,26.295111,1198.510864,108.1371,196.305634,991.513245,148.462204
16,0.133,43.875294,984.320557,93.038162,54.169418,1291.143188,120.665237,64.743515,1066.607544,84.828094,-108.972794,1164.792847,91.723495,207.323837,1153.714355,137.572464,-105.747948,1315.975708,89.656235,207.724045,1301.131348,143.880737,-111.876053,1007.728821,85.066086,26.177055,1197.758423,108.061897,196.284546,990.657104,147.220444
17,0.141,43.708008,983.427734,92.946007,53.825115,1289.98645,120.578201,64.627441,1065.920898,84.624794,-109.178429,1163.973145,90.790657,206.981934,1152.97937,137.501816,-105.877129,1315.276978,88.413818,207.232071,1300.199097,144.484406,-112.100502,1006.831055,85.178391,25.979078,1196.963013,107.927956,196.395065,990.033936,146.252136
18,0.15,43.616249,982.56781,92.942047,53.714424,1288.768677,120.604111,64.615105,1064.898193,84.453659,-109.17382,1162.998169,89.805603,206.735519,1152.174438,137.617386,-106.08007,1314.699951,87.34404,206.786469,1299.045532,145.324188,-112.082214,1005.522278,85.622925,25.836758,1196.066528,107.917366,196.562927,989.166565,145.280563
19,0.158,43.439323,981.807678,93.300209,53.481232,1287.721313,120.495232,64.470764,1063.987305,84.286568,-109.331215,1162.040527,88.75528,206.585968,1151.541138,137.756821,-106.252396,1313.757812,86.285065,206.492828,1298.070312,145.872604,-112.212517,1004.4646,86.166252,25.818697,1195.414062,107.9151,196.995529,988.409302,144.729904
20,0.166,43.366043,981.0625,93.48291,53.376232,1286.547852,120.179276,64.508102,1063.28479,84.144386,-109.268509,1161.195679,87.846352,206.361298,1150.993774,138.039734,-106.163727,1312.69397,85.564751,206.207489,1297.302734,146.156738,-112.468262,1003.314392,86.992111,25.913309,1194.77417,107.756897,197.261063,987.563538,144.148834
