Format Version,1.23,Take Name,Take 2023-10-19 07.20.41 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2023-10-19 07.20.42.493 下午,Capture Start Frame,2394878,Total Frames in Take,2002,Total Exported Frames,2002,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035
,ID,4D5CED923C6E4311EE,4D5CED923C6E4311EE,4D5CED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51BCED923C6E4311EE,51BCED923C6E4311EE,51BCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,52ACED923C6E4311EE,52ACED923C6E4311EE,52ACED923C6E4311EE,52BCED923C6E4311EE,52BCED923C6E4311EE,52BCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52ECED923C6E4311EE,52ECED923C6E4311EE,52ECED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,39.232315,1162.439209,176.66452,33.574551,947.922241,198.754303,78.332428,1256.88501,181.061371,-82.041229,1295.347656,183.485199,60.985596,1024.534424,176.821213,-94.871086,1142.033203,199.294434,-116.791588,985.968018,206.46904,192.67926,940.992981,196.501404,211.651016,1101.530273,182.237106,235.006744,1250.552246,174.868912
1,0.008,39.730633,1162.770386,176.206985,33.998062,948.194702,198.567154,78.648941,1256.88501,181.11145,-81.681297,1295.68396,183.57132,61.373234,1024.646118,176.783096,-94.353081,1142.450928,199.150223,-116.723457,986.293335,207.117767,192.763809,941.341858,195.82872,211.914154,1101.840576,181.981583,235.373352,1250.888672,174.358688
2,0.016,40.210369,1163.193481,175.746933,34.355335,948.522278,198.316528,78.901314,1256.834595,181.158524,-81.168655,1296.058228,183.637146,61.615166,1024.787842,176.711014,-93.873528,1142.899536,199.023392,-116.604561,986.735413,207.854004,192.886902,941.592712,195.284897,212.132462,1102.042358,181.861496,235.703644,1251.160889,173.904846
3,0.025,40.696289,1163.706909,175.185242,34.675522,948.917725,197.892822,79.155182,1256.759766,181.287582,-80.518959,1296.469482,183.644913,61.810883,1025.050293,176.624451,-93.332573,1143.471802,198.908203,-116.44278,987.2901,208.487442,193.040909,941.88147,194.72052,212.461594,1102.281006,181.820419,236.080902,1251.405273,173.424698
4,0.033,41.033558,1164.11853,174.762909,34.802334,949.226624,197.542496,79.347931,1256.613159,181.394882,-79.714546,1297.214111,183.555679,61.869068,1025.340332,176.46489,-92.812622,1144.002197,198.827194,-116.192276,987.802673,208.786331,193.234421,942.135132,194.248016,212.847809,1102.487305,181.675888,236.515945,1251.601807,173.038177
5,0.041,41.374439,1164.602661,174.455307,34.737862,949.577515,197.168137,79.614227,1256.38147,181.612061,-79.080811,1297.898438,183.252548,61.699673,1025.758911,176.079773,-92.163483,1144.592651,198.771835,-115.869385,988.327332,208.871475,193.636154,942.362549,193.83316,213.298981,1102.746948,181.481537,236.867798,1251.76709,172.614929
6,0.05,41.797382,1165.18396,174.000381,34.597458,950.05481,196.729233,79.958984,1256.018433,181.887939,-78.657257,1298.750854,183.078964,61.649769,1026.226807,175.659027,-91.623062,1145.207031,198.785873,-115.342743,989.085815,208.666718,193.91188,942.59436,193.438675,213.580963,1102.925415,181.068634,237.233459,1252.019287,172.136719
7,0.058,42.1548,1165.688965,173.717285,34.475033,950.442566,196.405655,80.291481,1255.661255,182.210403,-78.71357,1299.596069,182.908234,61.559296,1026.689331,175.235443,-91.202354,1145.833984,198.852707,-114.858643,989.70575,208.44957,194.02533,942.845337,193.173737,213.746216,1103.081421,180.713898,237.451782,1252.306763,171.709
8,0.066,42.407307,1166.16626,173.535706,34.315407,950.881409,196.034286,80.671432,1255.265869,182.631851,-78.532593,1300.596802,182.805466,61.588634,1027.308594,174.700745,-90.77063,1146.496826,199.046402,-114.508514,990.408386,208.230606,194.097382,943.055481,192.944443,213.82785,1103.253296,180.384781,237.596375,1252.67688,171.287476
9,0.075,42.388184,1166.764404,173.151657,34.089275,951.351257,195.623688,80.823257,1254.991577,182.957535,-78.013763,1301.49585,182.701843,61.450478,1027.734009,173.773666,-90.291504,1147.231689,199.330688,-114.171448,991.171448,207.836914,194.311066,943.303284,192.742065,213.710541,1103.539307,179.610413,237.835953,1253.176392,170.859634
10,0.083,42.364403,1167.27771,172.94223,33.796124,951.830078,195.196625,80.891251,1254.77002,183.301422,-77.475044,1302.320923,182.640381,61.344376,1028.143555,173.174026,-89.872871,1147.904053,199.690811,-113.800339,991.885681,207.42836,194.479019,943.499573,192.559296,213.816406,1103.772827,179.017532,237.944382,1253.684082,170.402786
11,0.091,42.353016,1167.787354,172.887238,33.53175,952.231873,194.75412,80.870705,1254.578857,183.639664,-76.955841,1302.856934,182.961456,61.176403,1028.53125,172.560364,-89.553772,1148.659546,200.115265,-113.39592,992.524902,206.905212,194.62236,943.72467,192.370438,214.004913,1103.949585,178.356384,238.036697,1254.165161,170.015823
