Format Version,1.23,Take Name,Take 2023-10-19 07.22.23 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2023-10-19 07.22.23.895 下午,Capture Start Frame,2407046,Total Frames in Take,2373,Total Exported Frames,2373,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088
,ID,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,53BCED923C6E4311EE,53BCED923C6E4311EE,53BCED923C6E4311EE,53FCED923C6E4311EE,53FCED923C6E4311EE,53FCED923C6E4311EE,540CED923C6E4311EE,540CED923C6E4311EE,540CED923C6E4311EE,541CED923C6E4311EE,541CED923C6E4311EE,541CED923C6E4311EE,542CED923C6E4311EE,542CED923C6E4311EE,542CED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,42.86552,930.683838,-84.319084,-73.194031,1136.670898,-74.139717,-41.344959,1290.765991,-91.03672,268.562439,1215.103149,-76.445694,-101.213959,983.051086,-50.77692,78.606308,1009.147522,-92.268417,203.277252,909.552612,-64.493767,111.782127,1233.422852,-79.88501,239.422073,1068.078003,-76.776184,64.757294,1142.125366,-78.429367
1,0.008,43.050041,930.484741,-84.596733,-72.770851,1136.525391,-74.46402,-41.139252,1290.573364,-91.038017,268.786804,1214.825928,-76.397194,-101.17086,982.82428,-52.169189,78.793747,1008.951172,-92.561554,203.363815,909.334961,-64.264915,112.044563,1233.265869,-79.956528,239.630798,1067.851562,-76.790283,64.87619,1141.950073,-78.538139
2,0.016,43.199062,930.284485,-84.933884,-72.483978,1136.358643,-74.887978,-40.990318,1290.436279,-91.03553,269.114807,1214.541504,-76.309151,-101.047913,982.618225,-53.672203,79.038223,1008.793457,-92.824936,203.424957,909.13855,-64.059456,112.163712,1233.043091,-79.991348,239.812836,1067.644043,-76.799644,64.90435,1141.650024,-78.624168
3,0.025,43.342583,930.072693,-85.49173,-72.311836,1136.136597,-75.377045,-40.834507,1290.305298,-91.056953,269.380737,1214.210693,-76.326515,-101.114601,982.315552,-55.315323,79.408142,1008.612732,-93.075958,203.482407,908.934265,-63.826443,112.332466,1232.806396,-80.073257,240.017136,1067.393677,-76.757912,64.928009,1141.359985,-78.633621
4,0.033,43.604618,929.894897,-85.823898,-72.192696,1136.005493,-75.753586,-40.686127,1290.188477,-91.06176,269.629211,1213.912476,-76.311073,-101.236404,982.175598,-56.60265,79.735977,1008.503662,-93.30835,203.533264,908.751038,-63.62035,112.509583,1232.674683,-80.116249,240.166641,1067.186157,-76.728882,64.919716,1141.137695,-78.652031
5,0.041,43.869438,929.80011,-86.193001,-72.003258,1135.893433,-76.185028,-40.508301,1290.067017,-91.055779,269.875214,1213.545654,-76.317284,-101.164505,981.948914,-58.057247,80.130653,1008.570679,-93.560555,203.566559,908.550964,-63.435158,112.671204,1232.539795,-80.139915,240.288834,1066.961792,-76.672195,64.844246,1140.908569,-78.627266
6,0.05,44.079128,929.621216,-86.723053,-71.820473,1135.836914,-76.846458,-40.129925,1289.952637,-91.039848,270.123169,1213.16272,-76.260086,-101.155128,981.694946,-59.889565,80.508484,1008.50592,-93.800514,203.578232,908.30835,-63.21109,112.82724,1232.410156,-80.195969,240.461349,1066.709839,-76.508446,64.72303,1140.651123,-78.583038
7,0.058,44.207409,929.533813,-87.183983,-71.468521,1135.640015,-77.414848,-39.871296,1289.894043,-91.08873,270.246155,1212.948853,-76.375191,-100.97065,981.761841,-61.458084,80.611336,1008.414978,-93.912361,203.618515,907.999146,-62.92802,112.986588,1232.259888,-80.197487,240.564407,1066.480591,-76.448265,64.725166,1140.458618,-78.583641
8,0.066,44.248253,929.480713,-87.592743,-71.107803,1135.590942,-77.999565,-39.717033,1289.893188,-91.19902,270.321259,1212.829712,-76.536804,-100.965248,981.698547,-62.962807,80.663864,1008.136719,-94.120338,203.670395,907.653442,-62.509552,113.124268,1232.127808,-80.243401,240.659531,1066.28833,-76.419632,64.822136,1140.321045,-78.637291
9,0.075,44.194542,929.368835,-88.005424,-70.765945,1135.587524,-78.69973,-39.338573,1289.843872,-91.32795,270.395844,1212.716309,-76.699493,-100.983437,981.695129,-64.758499,80.551781,1007.681702,-94.261887,203.597595,907.328186,-62.213951,113.274109,1231.991821,-80.331688,240.791306,1065.91748,-76.300781,65.036102,1140.235718,-78.820549
10,0.083,44.060429,929.305481,-88.304283,-70.536041,1135.580322,-79.277832,-39.116753,1289.797119,-91.368134,270.477203,1212.555298,-76.823105,-100.885231,981.654236,-66.130966,80.473282,1007.552612,-94.349403,203.401382,907.067688,-62.013081,113.368866,1231.744141,-80.440628,240.882004,1065.546265,-76.123863,65.200653,1140.236816,-78.93795
11,0.091,43.893894,929.258972,-88.775238,-70.428764,1135.656982,-79.781281,-38.95417,1289.840088,-91.414284,270.62439,1212.303101,-76.8507,-101.034859,981.653564,-67.712303,80.453552,1007.5047,-94.463669,203.173264,906.891907,-61.810097,113.485962,1231.581543,-80.440025,240.969528,1065.226196,-75.923553,65.317879,1140.211548,-79.010246
