Format Version,1.23,Take Name,silk_hang_exp_6,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.26.09.270 下午,Capture Start Frame,453845,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,0.000096,0.000034,-0.000623,1,-52.25219,69.439209,33.004864,-51.786053,71.723068,68.752182,-51.807125,67.186562,68.908119,-52.699955,67.064964,-2.912769,-52.715641,71.782242,-2.728066,-51.777298,71.73381,68.741425,-51.815369,67.176849,68.904457,-52.691238,67.081932,-2.911297,-52.726982,71.759567,-2.712211,-74.791115,90.60836,22.324234,-63.503475,90.110626,51.816654,-68.629097,105.80336,37.148857,-74.168304,106.445038,21.929596,-63.292217,105.627968,52.027576,-68.137283,80.074783,41.176533,-72.67363,96.179344,28.761307,-64.669167,74.262466,50.978325,-75.555008,74.955322,21.856602,-70.257484,73.185112,36.365978
5,0.041,0.000095,0.000036,-0.000403,1,-52.252506,69.43895,33.004848,-51.787228,71.723068,68.752159,-51.806305,67.186554,68.908096,-52.699368,67.064461,-2.912778,-52.717133,71.781731,-2.728072,-51.778931,71.734612,68.739822,-51.814114,67.176041,68.904579,-52.691097,67.081848,-2.910141,-52.727516,71.759354,-2.712413,-74.79142,90.608643,22.329063,-63.513237,90.109322,51.823502,-68.629478,105.802811,37.150345,-74.16848,106.444611,21.93095,-63.292252,105.629623,52.02673,-68.145531,80.077408,41.183395,-72.675636,96.176567,28.764486,-64.645752,74.26165,50.969791,-75.591476,74.949684,21.874348,-70.260193,73.185493,36.37027
6,0.05,0.000084,0.00003,-0.000348,1,-52.251781,69.439354,33.004601,-51.787178,71.724289,68.751862,-51.805759,67.187775,68.90789,-52.697952,67.064056,-2.912974,-52.716232,71.781326,-2.728379,-51.778633,71.735451,68.739929,-51.813972,67.177399,68.903984,-52.689438,67.081833,-2.910065,-52.72678,71.75872,-2.71295,-74.789062,90.606316,22.335432,-63.524349,90.110023,51.827454,-68.631577,105.803429,37.152477,-74.168274,106.444252,21.931917,-63.293709,105.628708,52.027466,-68.155235,80.078545,41.192879,-72.67701,96.175552,28.768456,-64.629356,74.260696,50.966389,-75.62516,74.946045,21.890953,-70.265312,73.185394,36.377586
7,0.058,0.000099,0.000034,-0.00064,1,-52.253002,69.438652,33.004944,-51.786835,71.722237,68.752274,-51.80806,67.185738,68.90818,-52.700798,67.064682,-2.912703,-52.71632,71.78196,-2.727968,-51.777584,71.7341,68.741562,-51.816505,67.175255,68.904861,-52.692284,67.082329,-2.911107,-52.727283,71.75869,-2.713204,-74.787155,90.601288,22.342628,-63.532299,90.11245,51.830547,-68.630348,105.804947,37.151726,-74.169144,106.440331,21.934261,-63.293884,105.631783,52.027599,-68.172333,80.083427,41.215248,-72.677353,96.172562,28.769627,-64.618973,74.261299,50.967945,-75.650009,74.942764,21.904615,-70.270538,73.184708,36.383507
8,0.066,0.000096,0.000033,-0.000574,1,-52.252831,69.4394,33.003712,-51.787025,71.723328,68.751022,-51.807655,67.186821,68.90696,-52.700245,67.065086,-2.913916,-52.7164,71.782372,-2.729216,-51.777588,71.735535,68.740807,-51.816601,67.175659,68.902229,-52.6908,67.082489,-2.911804,-52.728344,71.759712,-2.713731,-74.786812,90.59864,22.34593,-63.54747,90.109161,51.839874,-68.629524,105.80555,37.151535,-74.170242,106.438042,21.933041,-63.294621,105.632889,52.027935,-68.18248,80.085854,41.220757,-72.675308,96.170334,28.769133,-64.609665,74.261955,50.970234,-75.671234,74.942558,21.920704,-70.280724,73.180466,36.398602
9,0.075,0.000104,0.000032,-0.000701,1,-52.253296,69.43985,33.004227,-51.786949,71.723045,68.751572,-51.808727,67.186531,68.907425,-52.701275,67.066269,-2.913436,-52.716225,71.783546,-2.728653,-51.777321,71.734184,68.740891,-51.81778,67.176437,68.903549,-52.691883,67.083649,-2.911747,-52.728416,71.760429,-2.712938,-74.785515,90.598083,22.349874,-63.554382,90.111786,51.843254,-68.628563,105.804733,37.152523,-74.171158,106.437981,21.930574,-63.292538,105.639244,52.027775,-68.206299,80.082138,41.242565,-72.669258,96.169212,28.76622,-64.601967,74.266724,50.976707,-75.69455,74.935898,21.935364,-70.293877,73.178955,36.409245
10,0.083,0.000107,0.000036,-0.000856,1,-52.253323,69.4394,33.004906,-51.785976,71.722214,68.752266,-51.809155,67.185715,68.908096,-52.702339,67.0662,-2.912778,-52.715832,71.783485,-2.727959,-51.776375,71.732849,68.741669,-51.81794,67.176315,68.905106,-52.69302,67.084,-2.911858,-52.728439,71.758804,-2.712131,-74.783882,90.595375,22.355637,-63.556564,90.116325,51.84388,-68.626907,105.805313,37.151047,-74.171967,106.43618,21.933203,-63.291775,105.645073,52.025772,-68.218315,80.080574,41.254593,-72.662865,96.169624,28.763958,-64.58342,74.283257,50.97789,-75.713058,74.93457,21.947424,-70.308075,73.179619,36.423771
11,0.091,0.000095,0.000031,-0.000744,1,-52.252724,69.439514,33.005066,-51.786263,71.723289,68.752373,-51.80843,67.18679,68.90831,-52.700825,67.065346,-2.91256,-52.715374,71.782631,-2.72786,-51.776707,71.734001,68.741096,-51.817196,67.177246,68.905571,-52.691395,67.082634,-2.911049,-52.727802,71.759346,-2.712639,-74.783516,90.594696,22.357874,-63.558994,90.122894,51.846813,-68.626328,105.808342,37.14975,-74.173592,106.432953,21.932558,-63.290714,105.650917,52.024342,-68.227905,80.083237,41.260555,-72.65686,96.169174,28.765232,-64.583099,74.286232,50.982159,-75.727692,74.930725,21.959141,-70.325737,73.188805,36.441204
12,0.1,0.00009,0.00003,-0.000636,1,-52.252144,69.439568,33.004757,-51.786293,71.723869,68.752052,-51.807487,67.187363,68.908043,-52.699619,67.06488,-2.912852,-52.715183,71.782166,-2.728203,-51.777466,71.734688,68.739166,-51.81551,67.177818,68.905571,-52.691086,67.081619,-2.911242,-52.72644,71.759567,-2.711734,-74.7826,90.592415,22.360397,-63.558216,90.12925,51.850311,-68.624802,105.812096,37.148224,-74.176338,106.430641,21.929874,-63.289444,105.658958,52.028404,-68.240181,80.084602,41.275742,-72.647774,96.167717,28.765562,-64.585907,74.289467,50.990505,-75.739349,74.929741,21.973698,-70.342476,73.193886,36.457424
13,0.108,0.000096,0.000037,-0.000683,1,-52.251976,69.439903,33.004478,-51.785397,71.723679,68.751785,-51.807014,67.18718,68.907715,-52.700188,67.065735,-2.91315,-52.715309,71.78302,-2.728438,-51.776527,71.734802,68.740257,-51.815163,67.177338,68.904465,-52.691631,67.082512,-2.911944,-52.726616,71.760216,-2.711916,-74.782112,90.589455,22.364925,-63.555431,90.131828,51.851147,-68.62426,105.815491,37.147846,-74.176727,106.429634,21.928253,-63.288467,105.662476,52.026878,-68.246826,80.085381,41.286018,-72.638634,96.164917,28.764715,-64.59301,74.294319,51.004238,-75.749931,74.931969,21.992853,-70.362434,73.19175,36.473324
