Format Version,1.23,Take Name,textured_hang_exp_4,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 03.28.21.638 下午,Capture Start Frame,37729,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,0.000082,-0.00001,-0.000218,1,-52.248032,69.385193,32.996841,-51.786922,71.67041,68.744133,-51.804333,67.133888,68.900192,-52.690674,67.009613,-2.920759,-52.710197,71.726883,-2.736187,-51.776993,71.697525,68.745819,-51.81237,67.113068,68.8927,-52.683205,67.020424,-2.927071,-52.719654,71.71196,-2.720898,-62.756115,74.846672,13.276145,-69.026756,79.901421,21.853037,-69.579239,89.19986,27.265659,-74.846092,56.605,42.527344,-63.671936,90.658096,11.83091,-75.213882,88.735443,42.970894,-74.213821,72.734291,42.078346,-73.218849,67.271622,33.003433,-61.696022,58.546406,13.537378,-70.150284,56.820118,27.057901
5,0.041,0.000101,-0.000014,-0.00008,1,-52.247643,69.384727,32.99754,-51.78743,71.668694,68.744919,-51.8036,67.132164,68.900803,-52.689362,67.010406,-2.920154,-52.710186,71.727669,-2.735394,-51.777683,71.697487,68.745789,-51.810776,67.111931,68.895088,-52.682209,67.021248,-2.926807,-52.7197,71.712021,-2.720036,-62.753315,74.84967,13.272448,-69.026634,79.901619,21.850338,-69.578445,89.202736,27.263376,-74.822037,56.60553,42.521805,-63.674145,90.663513,11.829934,-75.217476,88.734032,42.967438,-74.204704,72.733894,42.079128,-73.20723,67.269745,32.997597,-61.712711,58.586319,13.526209,-70.130836,56.831699,27.04443
6,0.05,0.000102,-0.000007,-0.000089,1,-52.247765,69.38562,32.997246,-51.787048,71.669525,68.744621,-51.803284,67.132988,68.900497,-52.689987,67.011368,-2.920446,-52.710732,71.728622,-2.73568,-51.77824,71.69899,68.745567,-51.80965,67.112778,68.894592,-52.683945,67.022148,-2.927483,-52.718735,71.713074,-2.719601,-62.752636,74.855408,13.26507,-69.024948,79.903931,21.845726,-69.576157,89.208504,27.266485,-74.791565,56.606422,42.514706,-63.676537,90.670876,11.829686,-75.221741,88.727806,42.966633,-74.197632,72.731064,42.075764,-73.191643,67.274544,32.996868,-61.722969,58.589577,13.508765,-70.114265,56.832973,27.03754
7,0.058,0.00011,-0.000015,-0.00009,1,-52.248161,69.384918,32.996906,-51.787994,71.668282,68.744316,-51.804245,67.131752,68.900124,-52.689838,67.011192,-2.920824,-52.710575,71.728447,-2.73599,-51.778214,71.698532,68.745827,-51.81094,67.111992,68.895157,-52.683495,67.022133,-2.92851,-52.71899,71.712646,-2.720549,-62.761974,74.876923,13.265326,-69.022949,79.904366,21.845936,-69.573036,89.210663,27.264515,-74.773148,56.618412,42.514996,-63.6791,90.675446,11.83034,-75.224983,88.725105,42.966385,-74.189056,72.729134,42.074699,-73.175117,67.273941,32.991886,-61.731052,58.593811,13.492205,-70.102928,56.834759,27.030447
8,0.066,0.000112,-0.000005,-0.000143,1,-52.248798,69.385735,32.996853,-51.787682,71.668854,68.744263,-51.804413,67.132324,68.900047,-52.691441,67.01226,-2.92089,-52.71167,71.729515,-2.736029,-51.777832,71.698639,68.746414,-51.811375,67.112312,68.893867,-52.68502,67.02343,-2.928088,-52.7201,71.713547,-2.720527,-62.753685,74.87397,13.246396,-69.019562,79.901268,21.838835,-69.571342,89.21125,27.261566,-74.748215,56.61797,42.507439,-63.681496,90.679268,11.82609,-75.228806,88.721748,42.963116,-74.183762,72.726616,42.072285,-73.163063,67.273483,32.988892,-61.762596,58.58773,13.462923,-70.094627,56.839901,27.014336
9,0.075,0.000098,-0.000005,-0.000079,1,-52.248741,69.385986,32.997559,-51.787914,71.670189,68.744911,-51.804058,67.133659,68.900826,-52.691078,67.011429,-2.920112,-52.711914,71.728683,-2.735388,-51.778942,71.69899,68.746933,-51.811047,67.112343,68.893684,-52.684616,67.022926,-2.926452,-52.720036,71.712997,-2.7207,-62.749512,74.872131,13.232498,-69.014671,79.92556,21.819551,-69.573578,89.211761,27.260143,-74.718132,56.616688,42.500732,-63.682102,90.68119,11.825253,-75.232407,88.719353,42.959831,-74.176735,72.724579,42.069851,-73.151367,67.272507,32.987423,-61.775536,58.587837,13.443147,-70.087273,56.837814,27.002945
10,0.083,0.000104,-0.000026,-0.000045,1,-52.248878,69.384735,32.997414,-51.789688,71.668533,68.744812,-51.805542,67.132011,68.900665,-52.68956,67.010574,-2.920303,-52.710724,71.727829,-2.735519,-51.778496,71.69873,68.747536,-51.813202,67.112335,68.89595,-52.682465,67.021416,-2.929255,-52.720062,71.712288,-2.720015,-62.749512,74.878624,13.216074,-69.015778,79.933746,21.818695,-69.577919,89.210106,27.258699,-74.653091,56.573505,42.475792,-63.681686,90.680969,11.824752,-75.237427,88.712967,42.955833,-74.169769,72.720352,42.067528,-73.14093,67.266472,32.986893,-61.785561,58.586903,13.427369,-70.079628,56.839645,26.999802
11,0.091,0.000105,-0.000023,-0.0002,1,-52.249275,69.38459,32.996891,-51.789188,71.668198,68.744293,-51.806442,67.131676,68.900139,-52.690887,67.010612,-2.920827,-52.710587,71.727875,-2.736044,-51.777958,71.698776,68.746948,-51.814045,67.111946,68.894974,-52.684063,67.021271,-2.92879,-52.719559,71.712646,-2.721184,-62.752377,74.880127,13.208839,-69.01326,79.930618,21.81822,-69.584969,89.205757,27.258053,-74.62751,56.570656,42.480804,-63.681847,90.683311,11.824145,-75.241074,88.708183,42.954914,-74.160606,72.717979,42.066319,-73.135437,67.262535,32.987202,-61.797791,58.582241,13.412876,-70.071121,56.836975,26.987827
12,0.1,0.000111,-0.000018,-0.00016,1,-52.248859,69.384621,32.997234,-51.788563,71.667862,68.744659,-51.80545,67.131332,68.900452,-52.690678,67.011032,-2.920508,-52.710754,71.728287,-2.735665,-51.778351,71.698456,68.747955,-51.812511,67.111168,68.894501,-52.684021,67.021873,-2.928195,-52.719463,71.712814,-2.720833,-62.756096,74.877945,13.201879,-69.012276,79.924896,21.81595,-69.591904,89.200264,27.258074,-74.602715,56.566082,42.484089,-63.683216,90.682053,11.824209,-75.244919,88.701614,42.953281,-74.153419,72.716759,42.069592,-73.165016,67.239861,32.983131,-61.808861,58.579868,13.399027,-70.065742,56.835621,26.982624
13,0.108,0.000104,-0.000021,-0.00007,1,-52.249294,69.384926,32.996906,-51.789658,71.668716,68.744301,-51.805733,67.132187,68.900154,-52.690434,67.010788,-2.920804,-52.711357,71.728043,-2.73602,-51.778835,71.69838,68.747856,-51.813351,67.112381,68.893509,-52.683407,67.021736,-2.928553,-52.720539,71.712341,-2.720512,-62.758469,74.872589,13.194156,-69.010094,79.920815,21.813478,-69.595276,89.193115,27.256214,-74.581665,56.56498,42.486824,-63.682079,90.678131,11.823203,-75.24855,88.695976,42.953213,-74.126991,72.726295,42.062595,-73.166008,67.234451,32.981129,-61.820801,58.577202,13.392237,-70.064148,56.829845,26.97784
14,0.116,0.000104,-0.000014,-0.000105,1,-52.248554,69.384537,32.99741,-51.788223,71.668297,68.744797,-51.804615,67.131767,68.900658,-52.690399,67.010422,-2.920297,-52.710991,71.727676,-2.735517,-51.778168,71.698204,68.747284,-51.811947,67.111,68.893936,-52.683784,67.022247,-2.927074,-52.719475,71.711235,-2.720661,-62.760681,74.870026,13.190224,-69.00824,79.917511,21.812328,-69.596962,89.188797,27.257332,-74.555931,56.554787,42.482792,-63.681084,90.675156,11.82282,-75.251945,88.690033,42.952049,-74.116531,72.719101,42.065769,-73.151009,67.232735,32.98188,-61.831581,58.572914,13.38203,-70.061676,56.830109,26.975323
15,0.125,0.000101,-0.000014,-0.000028,1,-52.248539,69.384743,32.9977,-51.788567,71.66877,68.745079,-51.804249,67.132233,68.900963,-52.69001,67.010361,-2.919993,-52.71133,71.727615,-2.735239,-51.777996,71.698883,68.748276,-51.811783,67.111855,68.893845,-52.68306,67.020943,-2.927451,-52.720291,71.712585,-2.719454,-62.7649,74.865448,13.184116,-69.011536,79.890709,21.829809,-69.595757,89.186485,27.25729,-74.52346,56.555187,42.485271,-63.679081,90.673462,11.826123,-75.255219,88.683846,42.949192,-74.106285,72.713127,42.066269,-73.138412,67.229683,32.981831,-61.86343,58.550484,13.372106,-70.060257,56.823719,26.969219
16,0.133,0.000101,-0.000016,0.000027,1,-52.247936,69.385269,32.997253,-51.788342,71.66935,68.744629,-51.803535,67.132812,68.900513,-52.689014,67.010834,-2.92044,-52.71085,71.728081,-2.735686,-51.777916,71.698402,68.746773,-51.811356,67.112122,68.893272,-52.681732,67.021469,-2.927273,-52.72023,71.713051,-2.719856,-62.76936,74.860657,13.178102,-69.005508,79.881271,21.818489,-69.593086,89.186745,27.257627,-74.496391,56.559837,42.490849,-63.680756,90.670135,11.826431,-75.258789,88.679214,42.948021,-74.095345,72.711159,42.067223,-73.128807,67.226959,32.98053,-61.872845,58.547699,13.364482,-70.047737,56.822491,26.972923
17,0.141,0.000104,-0.000013,-0.000218,1,-52.248722,69.385429,32.997288,-51.78783,71.669098,68.744682,-51.805244,67.132584,68.900536,-52.691151,67.011383,-2.920419,-52.71067,71.728645,-2.735641,-51.777184,71.6978,68.74604,-51.813103,67.112473,68.893768,-52.683784,67.021858,-2.927499,-52.720432,71.713409,-2.718832,-62.773991,74.855003,13.173125,-69.004715,79.878235,21.825869,-69.58696,89.183556,27.25713,-74.478943,56.565868,42.49966,-63.678776,90.667343,11.825668,-75.261292,88.675491,42.947647,-74.087074,72.706474,42.066563,-73.121925,67.222656,32.98074,-61.877323,58.544785,13.35778,-70.045425,56.820518,26.970036
18,0.15,0.000097,-0.000013,-0.000104,1,-52.248055,69.385727,32.996872,-51.787655,71.670013,68.744225,-51.804031,67.133484,68.900146,-52.689968,67.011078,-2.920797,-52.710567,71.72834,-2.736086,-51.777737,71.698029,68.746147,-51.811813,67.112648,68.892441,-52.682434,67.02169,-2.927496,-52.720284,71.713295,-2.719803,-62.777866,74.849991,13.167946,-69.002457,79.875954,21.817406,-69.581657,89.183289,27.257761,-74.452698,56.572407,42.511784,-63.679409,90.662231,11.829092,-75.264244,88.670181,42.94656,-74.076523,72.706497,42.068207,-73.112701,67.217422,32.98061,-61.888607,58.545113,13.341742,-70.04937,56.817402,26.96785
