Format Version,1.23,Take Name,leather_table_exp_10_2,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 03.13.25.991 下午,Capture Start Frame,234207,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033,-0.000165,-0.000047,-0.000898,1,-52.251793,69.436142,33.011894,-52.720497,71.739647,-2.709517,-52.691467,67.077316,-2.90018,-51.782196,71.741577,68.754082,-51.813019,67.186035,68.903183,-52.7197,71.770851,-2.716044,-52.692039,67.055519,-2.896509,-51.782959,71.741089,68.754295,-51.812233,67.186172,68.903893,-64.07782,101.432487,31.329578,-59.539486,100.902382,15.562256,-58.901524,84.76535,18.349648,-72.007462,70.431808,49.6446,-69.460716,86.715508,48.262669,-58.701153,68.688301,20.344116,-66.656075,68.882317,34.531155,-63.437939,93.266357,26.83593,-69.021866,78.025528,39.197628,-69.026726,102.642075,47.033169
5,0.041,-0.000153,-0.000049,-0.000813,1,-52.252422,69.436317,33.012115,-52.721382,71.740555,-2.70924,-52.691544,67.078239,-2.900004,-51.783363,71.74102,68.754364,-51.813412,67.185471,68.903351,-52.719944,71.771469,-2.716832,-52.692581,67.056519,-2.895367,-51.784397,71.741135,68.753418,-51.812382,67.184891,68.905052,-64.084335,101.430237,31.32827,-59.546726,100.899338,15.563303,-58.903915,84.762711,18.353361,-71.994041,70.43074,49.651085,-69.460793,86.712936,48.268822,-58.715801,68.681526,20.34548,-66.657349,68.883575,34.534573,-63.44313,93.264412,26.838884,-69.023987,78.022339,39.200165,-69.029594,102.641769,47.035252
6,0.05,-0.000148,-0.000054,-0.000977,1,-52.252834,69.436249,33.013058,-52.720661,71.740974,-2.708277,-52.692352,67.078644,-2.899092,-51.783401,71.740463,68.755325,-51.814945,67.184914,68.904266,-52.719452,71.770996,-2.71613,-52.693237,67.057114,-2.893191,-51.784073,71.741577,68.754799,-51.814278,67.183334,68.904663,-64.088737,101.426384,31.331524,-59.555237,100.89576,15.566082,-58.92926,84.730293,18.377527,-71.976395,70.430901,49.657818,-69.461075,86.713493,48.271191,-58.731209,68.679108,20.347279,-66.667229,68.880203,34.534103,-63.44738,93.260559,26.840643,-69.020813,78.023758,39.203518,-69.03463,102.641655,47.03661
7,0.058,-0.000147,-0.000054,-0.000857,1,-52.251751,69.437614,33.012306,-52.720173,71.74231,-2.709028,-52.69075,67.079987,-2.899852,-51.782822,71.741875,68.754578,-51.813271,67.186317,68.903526,-52.719044,71.770927,-2.714902,-52.691586,67.058548,-2.89493,-51.783859,71.742111,68.753746,-51.812233,67.185684,68.903938,-64.093956,101.425278,31.332767,-59.567677,100.888252,15.567143,-58.94088,84.72348,18.377741,-71.959602,70.428505,49.662331,-69.459785,86.713318,48.273365,-58.744453,68.673706,20.341478,-66.68203,68.873161,34.534081,-63.450878,93.261398,26.841715,-69.02504,78.020561,39.205494,-69.032272,102.642509,47.037571
8,0.066,-0.000163,-0.000054,-0.000969,1,-52.25119,69.436737,33.012081,-52.719074,71.740433,-2.70932,-52.690697,67.078102,-2.900002,-51.781769,71.741974,68.75428,-51.81324,67.186432,68.903358,-52.717625,71.770752,-2.71625,-52.691746,67.056763,-2.895662,-51.782703,71.741333,68.753563,-51.812321,67.186646,68.904678,-64.099419,101.42292,31.329063,-59.57098,100.886131,15.566847,-58.947136,84.720818,18.374931,-71.940117,70.429703,49.667019,-69.454849,86.712692,48.271999,-58.754875,68.668526,20.339163,-66.69146,68.869301,34.535007,-63.455574,93.259293,26.844639,-69.025131,78.019699,39.206379,-69.036606,102.640236,47.039333
9,0.075,-0.000147,-0.000046,-0.000754,1,-52.252357,69.43589,33.014851,-52.721809,71.740532,-2.706471,-52.691425,67.078217,-2.897301,-51.783348,71.740189,68.757126,-51.812859,67.184624,68.906059,-52.718376,71.770477,-2.714277,-52.693939,67.056801,-2.896316,-51.785881,71.739822,68.762383,-51.810371,67.184883,68.905464,-64.105537,101.415909,31.34177,-59.575878,100.882843,15.565554,-58.958847,84.718956,18.371746,-71.884308,70.435562,49.675014,-69.450256,86.71347,48.274769,-58.76445,68.666855,20.332811,-66.703056,68.865952,34.529324,-63.455315,93.256798,26.847509,-69.025238,78.018356,39.208748,-69.044212,102.637138,47.038765
10,0.083,-0.000162,-0.000051,-0.00087,1,-52.251507,69.43615,33.01226,-52.720078,71.739784,-2.709141,-52.690773,67.077454,-2.899828,-51.782303,71.741463,68.754463,-51.812874,67.185913,68.903542,-52.718987,71.770355,-2.715207,-52.691566,67.05574,-2.896366,-51.782936,71.742104,68.754295,-51.812244,67.184921,68.904594,-64.108788,101.413704,31.342093,-59.578884,100.880745,15.563524,-58.965839,84.715424,18.370607,-71.860519,70.423248,49.680756,-69.446747,86.711433,48.272728,-58.773403,68.663445,20.326687,-66.71006,68.863914,34.53009,-63.458282,93.2537,26.846504,-69.024765,78.017769,39.207104,-69.052231,102.633286,47.03912
11,0.091,-0.000159,-0.000053,-0.000984,1,-52.251751,69.435173,33.012249,-52.719646,71.739174,-2.709129,-52.691406,67.076836,-2.899852,-51.782181,71.740112,68.754471,-51.813782,67.184578,68.903511,-52.718967,71.7696,-2.716449,-52.691914,67.055618,-2.895867,-51.782715,71.741653,68.753502,-51.813244,67.182587,68.905678,-64.11042,101.418724,31.328995,-59.581177,100.877846,15.563605,-58.973156,84.71244,18.367853,-71.839539,70.418411,49.689507,-69.438766,86.713127,48.272572,-58.781528,68.66272,20.325201,-66.721222,68.859901,34.529022,-63.460457,93.252495,26.843134,-69.028893,78.016129,39.208565,-69.052681,102.636269,47.037041
12,0.1,-0.000158,-0.000062,-0.000936,1,-52.251537,69.435204,33.01236,-52.719013,71.739182,-2.709037,-52.690327,67.076851,-2.899757,-51.782822,71.740166,68.754601,-51.813992,67.184624,68.903641,-52.717964,71.77076,-2.71525,-52.691086,67.054871,-2.897093,-51.783691,71.740791,68.75444,-51.813103,67.18364,68.905464,-64.115456,101.418182,31.328529,-59.58379,100.876045,15.563358,-58.981884,84.706932,18.362312,-71.816673,70.421684,49.700321,-69.430771,86.71347,48.273109,-58.79438,68.661301,20.323671,-66.729286,68.857697,34.53051,-63.463066,93.251328,26.859968,-69.025711,78.016205,39.209961,-69.056343,102.636673,47.035038
13,0.108,-0.000162,-0.000047,-0.000851,1,-52.251762,69.434914,33.012882,-52.720715,71.738586,-2.708509,-52.691235,67.076256,-2.899203,-51.782364,71.740189,68.755081,-51.812752,67.184647,68.904152,-52.718948,71.768799,-2.715689,-52.692509,67.055153,-2.895586,-51.783596,71.741501,68.754051,-51.811512,67.182884,68.906647,-64.115364,101.409996,31.340519,-59.584797,100.873924,15.561906,-58.990395,84.70343,18.35931,-71.800369,70.424805,49.707256,-69.411102,86.71537,48.278473,-58.802967,68.659416,20.325481,-66.736565,68.856552,34.535133,-63.45789,93.249298,26.85284,-69.027405,78.016747,39.209419,-69.05442,102.640381,47.040207
